date,return_on_invested_capital
"Dec. 31, 2019",38.11%
"Sept. 30, 2019",36.65%
"June 30, 2019",37.09%
"March 31, 2019",36.53%
"Dec. 31, 2018",34.29%
"Sept. 30, 2018",20.47%
"June 30, 2018",17.07%
"March 31, 2018",15.43%
"Dec. 31, 2017",12.70%
"Sept. 30, 2017",22.13%
"June 30, 2017",30.50%
"March 31, 2017",29.88%
"Dec. 31, 2016",29.65%
"Sept. 30, 2016",31.77%
"June 30, 2016",24.07%
"March 31, 2016",25.41%
"Dec. 31, 2015",28.87%
"Sept. 30, 2015",32.62%
"June 30, 2015",33.28%
"March 31, 2015",33.17%
"Dec. 31, 2014",34.23%
"Sept. 30, 2014",31.55%
"June 30, 2014",34.02%
"March 31, 2014",36.75%
"Dec. 31, 2013",38.92%
"Sept. 30, 2013",42.31%
"June 30, 2013",38.93%
"March 31, 2013",36.70%
"Dec. 31, 2012",34.73%
"Sept. 30, 2012",33.13%
"June 30, 2012",33.32%
"March 31, 2012",32.77%
"Dec. 31, 2011",30.81%
"Sept. 30, 2011",32.91%
"June 30, 2011",32.22%
"March 31, 2011",32.60%
"Dec. 31, 2010",32.36%
"Sept. 30, 2010",31.39%
"June 30, 2010",36.10%
"March 31, 2010",36.93%
"Dec. 31, 2009",41.24%
"Sept. 30, 2009",37.31%
"June 30, 2009",31.52%
"March 31, 2009",28.50%
"Dec. 31, 2008",25.57%
"Sept. 30, 2008",23.45%
"June 30, 2008",24.06%
"March 31, 2008",24.26%
"Dec. 31, 2007",25.11%
"Sept. 30, 2007",25.24%
"June 30, 2007",23.82%
"March 31, 2007",21.66%
"Dec. 31, 2006",20.37%
"Sept. 30, 2006",18.63%
"June 30, 2006",16.92%
"March 31, 2006",15.96%
"Dec. 31, 2005",14.41%
"Sept. 30, 2005",12.77%
"June 30, 2005",11.77%
"March 31, 2005",10.45%
"Dec. 31, 2004",9.78%
"Sept. 30, 2004",9.51%
"June 30, 2004",8.95%
"March 31, 2004",8.59%
"Dec. 31, 2003",8.24%
"Sept. 30, 2003",2.74%
"June 30, 2003",3.18%
"March 31, 2003",3.78%
"Dec. 31, 2002",3.49%
"Sept. 30, 2002",-4.48%
"June 30, 2002",-4.93%
"March 31, 2002",-6.04%
"Dec. 31, 2001",-6.54%
"Sept. 30, 2001",3.24%
"June 30, 2001",-2.10%
"March 31, 2001",-2.62%
"Dec. 31, 2000",-2.87%
"Sept. 30, 2000",-1.72%
"June 30, 2000",3.38%
"March 31, 2000",2.95%
"Dec. 31, 1999",2.19%
"Sept. 30, 1999",1.23%
"June 30, 1999",1.81%
"March 31, 1999",3.68%
"Dec. 31, 1998",5.70%
"Sept. 30, 1998",6.95%
"June 30, 1998",6.98%
"March 31, 1998",7.07%
"Dec. 31, 1997",7.13%
"Sept. 30, 1997",7.47%
"June 30, 1997",7.30%
"March 31, 1997",7.95%
"Dec. 31, 1996",8.67%
"Sept. 30, 1996",8.62%
"June 30, 1996",9.77%
"March 31, 1996",8.14%
"Dec. 31, 1995",6.83%
"Sept. 30, 1995",6.45%
"June 30, 1995",6.11%
