date,gross_profit_margin
"Dec. 31, 2019",13.37%
"Sept. 30, 2019",13.60%
"June 30, 2019",13.81%
"March 31, 2019",15.26%
"Dec. 31, 2018",13.48%
"Sept. 30, 2018",13.42%
"June 30, 2018",13.80%
"March 31, 2018",14.25%
"Dec. 31, 2017",12.34%
"Sept. 30, 2017",12.96%
"June 30, 2017",13.18%
"March 31, 2017",12.54%
"Dec. 31, 2016",12.27%
"Sept. 30, 2016",11.98%
"June 30, 2016",10.62%
"March 31, 2016",11.33%
"Dec. 31, 2015",10.45%
"Sept. 30, 2015",11.05%
"June 30, 2015",11.78%
"March 31, 2015",12.49%
"Dec. 31, 2014",10.12%
"Sept. 30, 2014",11.47%
"June 30, 2014",11.86%
"March 31, 2014",12.87%
"Dec. 31, 2013",9.57%
"Sept. 30, 2013",10.43%
"June 30, 2013",10.73%
"March 31, 2013",9.67%
"Dec. 31, 2012",8.43%
"Sept. 30, 2012",8.79%
"June 30, 2012",9.83%
"March 31, 2012",8.93%
"Dec. 31, 2011",9.53%
"Sept. 30, 2011",8.22%
"June 30, 2011",7.85%
"March 31, 2011",7.66%
"Dec. 31, 2010",10.45%
"Sept. 30, 2010",6.96%
"June 30, 2010",9.24%
"March 31, 2010",8.67%
"Dec. 31, 2009",9.70%
"Sept. 30, 2009",9.16%
"June 30, 2009",9.14%
"March 31, 2009",9.69%
"Dec. 31, 2008",12.20%
"Sept. 30, 2008",10.61%
"June 30, 2008",10.79%
"March 31, 2008",10.71%
"Dec. 31, 2007",10.37%
"Sept. 30, 2007",10.33%
"June 30, 2007",9.90%
"March 31, 2007",9.81%
"Dec. 31, 2006",9.51%
"Sept. 30, 2006",8.36%
"June 30, 2006",8.43%
"March 31, 2006",8.25%
"Dec. 31, 2005",7.05%
"Sept. 30, 2005",6.69%
"June 30, 2005",7.08%
"March 31, 2005",6.39%
"Dec. 31, 2004",4.52%
"Sept. 30, 2004",6.13%
"June 30, 2004",6.07%
"March 31, 2004",5.61%
"Dec. 31, 2003",6.19%
"Sept. 30, 2003",6.66%
"June 30, 2003",5.32%
"March 31, 2003",6.69%
"Dec. 31, 2002",6.11%
"Sept. 30, 2002",8.45%
"June 30, 2002",7.68%
"March 31, 2002",7.34%
"Dec. 31, 2001",4.85%
"Sept. 30, 2001",7.04%
"June 30, 2001",6.59%
"March 31, 2001",7.37%
"Dec. 31, 2000",-3.13%
"Sept. 30, 2000",11.09%
"June 30, 2000",10.75%
"March 31, 2000",5.63%
"Dec. 31, 1999",11.79%
"Sept. 30, 1999",11.86%
"June 30, 1999",5.87%
"March 31, 1999",7.87%
"Dec. 31, 1998",-4.78%
"Sept. 30, 1998",14.90%
"June 30, 1998",9.79%
"March 31, 1998",9.94%
"Dec. 31, 1997",4.15%
"Sept. 30, 1997",10.23%
"June 30, 1997",9.23%
"March 31, 1997",9.83%
"Dec. 31, 1996",5.76%
"Sept. 30, 1996",9.60%
"June 30, 1996",9.79%
"March 31, 1996",9.24%
"Dec. 31, 1995",8.89%
"Sept. 30, 1995",9.19%
"June 30, 1995",8.38%
"March 31, 1995",8.06%
"Dec. 31, 1994",7.28%
"Sept. 30, 1994",7.77%
"June 30, 1994",8.14%
"March 31, 1994",7.98%
