date,cash_on_hand
"Dec. 31, 2019",1.514B
"Sept. 30, 2019",2.539B
"June 30, 2019",1.167B
"March 31, 2019",991.00M
"Dec. 31, 2018",772.00M
"Sept. 30, 2018",897.00M
"June 30, 2018",1.181B
"March 31, 2018",2.393B
"Dec. 31, 2017",2.861B
"Sept. 30, 2017",2.941B
"June 30, 2017",2.452B
"March 31, 2017",2.216B
"Dec. 31, 2016",1.837B
"Sept. 30, 2016",2.895B
"June 30, 2016",1.269B
"March 31, 2016",1.452B
"Dec. 31, 2015",1.09B
"Sept. 30, 2015",3.30B
"June 30, 2015",3.202B
"March 31, 2015",3.486B
"Dec. 31, 2014",1.446B
"Sept. 30, 2014",2.963B
"June 30, 2014",3.436B
"March 31, 2014",3.264B
"Dec. 31, 2013",2.617B
"Sept. 30, 2013",2.661B
"June 30, 2013",2.845B
"March 31, 2013",3.065B
"Dec. 31, 2012",1.898B
"Sept. 30, 2012",4.652B
"June 30, 2012",3.802B
"March 31, 2012",3.518B
"Dec. 31, 2011",3.582B
"Sept. 30, 2011",4.567B
"June 30, 2011",3.522B
"March 31, 2011",3.861B
"Dec. 31, 2010",2.777B
"Sept. 30, 2010",3.423B
"June 30, 2010",3.599B
"March 31, 2010",3.288B
"Dec. 31, 2009",2.737B
"Sept. 30, 2009",2.709B
"June 30, 2009",2.672B
"March 31, 2009",2.384B
"Dec. 31, 2008",2.168B
"Sept. 30, 2008",2.534B
"June 30, 2008",3.31B
"March 31, 2008",2.947B
"Dec. 31, 2007",2.981B
"Sept. 30, 2007",3.429B
"June 30, 2007",3.337B
"March 31, 2007",3.074B
"Dec. 31, 2006",2.293B
"Sept. 30, 2006",2.683B
"June 30, 2006",3.386B
"March 31, 2006",3.139B
"Dec. 31, 2005",2.673B
"Sept. 30, 2005",3.566B
"June 30, 2005",3.476B
"March 31, 2005",3.133B
"Dec. 31, 2004",1.456B
"Sept. 30, 2004",2.91B
"June 30, 2004",2.243B
"March 31, 2004",2.124B
"Dec. 31, 2003",1.25B
"Sept. 30, 2003",2.082B
"June 30, 2003",2.138B
"March 31, 2003",2.09B
"Dec. 31, 2002",2.738B
"Sept. 30, 2002",3.49B
"June 30, 2002",2.429B
"March 31, 2002",1.367B
"Dec. 31, 2001",912.00M
"Sept. 30, 2001",1.801B
"June 30, 2001",1.222B
"March 31, 2001",2.389B
"Dec. 31, 2000",1.505B
"Sept. 30, 2000",1.938B
"June 30, 2000",1.249B
"March 31, 2000",533.00M
"Dec. 31, 1999",455.00M
"Sept. 30, 1999",
"June 30, 1999",
"March 31, 1999",43.00M
"Dec. 31, 1998",285.00M
"Sept. 30, 1998",183.00M
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",0.00
"Sept. 30, 1997",110.00M
"June 30, 1997",0.00
"March 31, 1997",0.00
"Dec. 31, 1996",
"Sept. 30, 1996",323.00M
"June 30, 1996",390.00M
"March 31, 1996",156.00M
"Dec. 31, 1995",653.00M
"Sept. 30, 1995",122.00M
"June 30, 1995",247.00M
"March 31, 1995",513.00M
"Dec. 31, 1994",639.00M
