date,market_beta_60_month
"Feb. 29, 2020",0.9986
"Jan. 31, 2020",0.9299
"Dec. 31, 2019",0.9443
"Nov. 30, 2019",0.9556
"Oct. 31, 2019",0.9495
"Sept. 30, 2019",0.9633
"Aug. 31, 2019",0.9466
"July 31, 2019",0.9742
"June 30, 2019",0.9616
"May 31, 2019",0.9555
"April 30, 2019",1.038
"March 31, 2019",1.006
"Feb. 28, 2019",1.015
"Jan. 31, 2019",1.020
"Dec. 31, 2018",0.9645
"Nov. 30, 2018",0.8752
"Oct. 31, 2018",0.8902
"Sept. 30, 2018",0.7129
"Aug. 31, 2018",0.7247
"July 31, 2018",0.7131
"June 30, 2018",0.7267
"May 31, 2018",0.7082
"April 30, 2018",0.7338
"March 31, 2018",0.7232
"Feb. 28, 2018",0.721
"Jan. 31, 2018",0.729
"Dec. 31, 2017",0.5821
"Nov. 30, 2017",0.5841
"Oct. 31, 2017",0.5827
"Sept. 30, 2017",0.5942
"Aug. 31, 2017",0.5944
"July 31, 2017",0.6013
"June 30, 2017",0.5967
"May 31, 2017",0.5993
"April 30, 2017",0.6752
"March 31, 2017",0.6759
"Feb. 28, 2017",0.665
"Jan. 31, 2017",0.6766
"Dec. 31, 2016",0.6623
"Nov. 30, 2016",0.675
"Oct. 31, 2016",0.6467
"Sept. 30, 2016",0.5918
"Aug. 31, 2016",0.581
"July 31, 2016",0.5704
"June 30, 2016",0.6081
"May 31, 2016",0.5993
"April 30, 2016",0.6047
"March 31, 2016",0.594
"Feb. 29, 2016",0.6185
"Jan. 31, 2016",0.6092
"Dec. 31, 2015",0.6192
"Nov. 30, 2015",0.5886
"Oct. 31, 2015",0.5955
"Sept. 30, 2015",0.5862
"Aug. 31, 2015",0.5552
"July 31, 2015",0.6008
"June 30, 2015",0.5551
"May 31, 2015",0.5941
"April 30, 2015",0.6102
"March 31, 2015",0.6073
"Feb. 28, 2015",0.6237
"Jan. 31, 2015",0.6162
"Dec. 31, 2014",0.6088
"Nov. 30, 2014",0.6042
"Oct. 31, 2014",0.6524
"Sept. 30, 2014",0.6944
"Aug. 31, 2014",0.7123
"July 31, 2014",0.7021
"June 30, 2014",0.6232
"May 31, 2014",0.632
"April 30, 2014",0.6472
"March 31, 2014",0.7028
"Feb. 28, 2014",0.7192
"Jan. 31, 2014",0.8721
"Dec. 31, 2013",0.8513
"Nov. 30, 2013",0.8465
"Oct. 31, 2013",0.8594
"Sept. 30, 2013",0.9488
"Aug. 31, 2013",0.9317
"July 31, 2013",0.948
"June 30, 2013",0.9266
"May 31, 2013",0.9416
"April 30, 2013",0.9367
"March 31, 2013",0.9416
"Feb. 28, 2013",0.9321
"Jan. 31, 2013",0.9329
"Dec. 31, 2012",0.9321
"Nov. 30, 2012",0.9351
"Oct. 31, 2012",0.9234
"Sept. 30, 2012",0.9255
"Aug. 31, 2012",0.9369
"July 31, 2012",0.9354
"June 30, 2012",0.9214
"May 31, 2012",0.9215
"April 30, 2012",0.9124
"March 31, 2012",0.9011
"Feb. 29, 2012",0.9029
"Jan. 31, 2012",0.8896
"Dec. 31, 2011",0.8986
"Nov. 30, 2011",0.8976
"Oct. 31, 2011",0.9011
"Sept. 30, 2011",0.9333
"Aug. 31, 2011",0.9551
"July 31, 2011",0.972
"June 30, 2011",0.9666
"May 31, 2011",0.9737
"April 30, 2011",0.977
"March 31, 2011",0.9842
"Feb. 28, 2011",0.9854
"Jan. 31, 2011",0.9916
"Dec. 31, 2010",0.9819
"Nov. 30, 2010",0.9989
"Oct. 31, 2010",0.9898
"Sept. 30, 2010",0.9993
"Aug. 31, 2010",1.04
"July 31, 2010",1.031
"June 30, 2010",1.044
"May 31, 2010",1.037
"April 30, 2010",1.059
"March 31, 2010",1.058
"Feb. 28, 2010",1.051
"Jan. 31, 2010",1.048
"Dec. 31, 2009",1.042
"Nov. 30, 2009",1.016
"Oct. 31, 2009",1.005
"Sept. 30, 2009",0.9842
"Aug. 31, 2009",0.9865
"July 31, 2009",0.9962
"June 30, 2009",1.088
"May 31, 2009",1.092
"April 30, 2009",1.095
"March 31, 2009",1.072
"Feb. 28, 2009",1.086
"Jan. 31, 2009",0.9274
"Dec. 31, 2008",0.9472
"Nov. 30, 2008",0.974
"Oct. 31, 2008",0.9451
"Sept. 30, 2008",0.6287
"Aug. 31, 2008",0.6339
"July 31, 2008",0.6018
"June 30, 2008",0.6395
"May 31, 2008",0.4974
"April 30, 2008",0.368
"March 31, 2008",0.3502
"Feb. 29, 2008",0.3342
"Jan. 31, 2008",0.3581
"Dec. 31, 2007",0.5449
"Nov. 30, 2007",0.3045
"Oct. 31, 2007",0.1683
"Sept. 30, 2007",-0.0457
"Aug. 31, 2007",-0.0926
"July 31, 2007",-0.0915
"June 30, 2007",0.0543
"May 31, 2007",-0.0912
"April 30, 2007",-0.0924
"March 31, 2007",-0.1523
"Feb. 28, 2007",-0.1455
"Jan. 31, 2007",-0.1669
"Dec. 31, 2006",-0.2041
"Nov. 30, 2006",-0.2049
"Oct. 31, 2006",-0.2518
"Sept. 30, 2006",-0.2381
"Aug. 31, 2006",-0.3186
"July 31, 2006",-0.3056
"June 30, 2006",-0.3162
"May 31, 2006",-0.3004
"April 30, 2006",-0.3196
"March 31, 2006",-0.3238
"Feb. 28, 2006",-0.271
"Jan. 31, 2006",-0.3061
"Dec. 31, 2005",-0.3136
"Nov. 30, 2005",-0.3137
"Oct. 31, 2005",-0.258
"Sept. 30, 2005",-0.264
"Aug. 31, 2005",-0.3207
"July 31, 2005",-0.3133
"June 30, 2005",-0.3133
"May 31, 2005",-0.3127
"April 30, 2005",-0.3234
"March 31, 2005",-0.3719
"Feb. 28, 2005",-0.225
"Jan. 31, 2005",-0.2123
"Dec. 31, 2004",-0.1438
"Nov. 30, 2004",-0.0779
"Oct. 31, 2004",-0.1083
"Sept. 30, 2004",-0.2915
"Aug. 31, 2004",-0.2663
"July 31, 2004",-0.2684
"June 30, 2004",-0.2508
"May 31, 2004",-0.2875
"April 30, 2004",-0.28
"March 31, 2004",-0.237
"Feb. 29, 2004",-0.2384
"Jan. 31, 2004",-0.245
"Dec. 31, 2003",-0.2857
"Nov. 30, 2003",-0.3988
"Oct. 31, 2003",-0.4166
"Sept. 30, 2003",-0.3552
"Aug. 31, 2003",-0.2988
"July 31, 2003",-0.1543
"June 30, 2003",-0.1595
"May 31, 2003",-0.1735
"April 30, 2003",-0.1541
"March 31, 2003",-0.185
"Feb. 28, 2003",-0.1956
"Jan. 31, 2003",-0.1512
