date,shares_outstanding
"Feb. 24, 2020",281.87M
"Jan. 31, 2020",281.94M
"Dec. 31, 2019",281.00M
"Oct. 18, 2019",282.07M
"Sept. 29, 2019",281.00M
"June 30, 2019",282.40M
"March 31, 2019",282.54M
"Feb. 22, 2019",282.81M
"Jan. 25, 2019",282.56M
"Dec. 31, 2018",281.00M
"Sept. 30, 2018",283.00M
"June 24, 2018",284.78M
"March 25, 2018",285.53M
"Feb. 23, 2018",285.82M
"Jan. 26, 2018",285.57M
"Dec. 31, 2017",285.00M
"Sept. 24, 2017",286.73M
"June 25, 2017",287.99M
"March 26, 2017",289.44M
"Feb. 24, 2017",289.82M
"Jan. 27, 2017",290.32M
"Dec. 31, 2016",289.00M
"Sept. 25, 2016",292.98M
"June 26, 2016",302.91M
"March 27, 2016",304.45M
"Feb. 26, 2016",304.77M
"Jan. 29, 2016",305.49M
"Dec. 31, 2015",305.00M
"Sept. 27, 2015",307.30M
"June 28, 2015",310.53M
"March 29, 2015",314.76M
"Feb. 27, 2015",316.28M
"Jan. 23, 2015",315.58M
"Dec. 31, 2014",316.00M
"Sept. 28, 2014",315.93M
"June 29, 2014",317.39M
"March 30, 2014",317.38M
"Feb. 21, 2014",319.27M
"Feb. 3, 2014",321.46M
"Jan. 31, 2014",321.43M
"Dec. 31, 2013",321.00M
"Sept. 29, 2013",320.31M
"June 30, 2013",320.94M
"March 31, 2013",320.41M
"March 1, 2013",321.87M
"Jan. 31, 2013",322.58M
"Dec. 31, 2012",321.00M
"Sept. 30, 2012",323.59M
"June 24, 2012",324.42M
"March 25, 2012",324.64M
"March 1, 2012",324.65M
"Jan. 31, 2012",325.11M
"Dec. 31, 2011",323.00M
"Sept. 25, 2011",323.57M
"June 26, 2011",335.62M
"March 27, 2011",347.30M
"March 1, 2011",349.52M
"Feb. 1, 2011",349.87M
"Jan. 31, 2011",349.86M
"Dec. 31, 2010",348.00M
"Sept. 26, 2010",360.13M
"June 27, 2010",362.50M
"March 28, 2010",371.00M
"Feb. 1, 2010",375.31M
"Jan. 31, 2010",375.43M
"Dec. 31, 2009",373.00M
"Oct. 23, 2009",380.78M
"Sept. 27, 2009",380.78M
"June 28, 2009",384.36M
"March 29, 2009",388.88M
"Jan. 31, 2009",395.27M
"Sept. 30, 2008",396.35M
"Sept. 28, 2008",400.61M
"June 30, 2008",396.35M
"June 29, 2008",396.35M
"March 31, 2008",402.12M
"March 30, 2008",402.12M
"Jan. 31, 2008",408.12M
"Dec. 31, 2007",408.12M
"Sept. 30, 2007",413.15M
"June 30, 2007",413.35M
"March 31, 2007",419.62M
"Jan. 31, 2007",422.48M
"Dec. 31, 2006",421.00M
"Sept. 30, 2006",423.90M
"June 30, 2006",423.87M
"March 31, 2006",431.88M
"Jan. 31, 2006",436.91M
"Dec. 31, 2005",436.91M
"Sept. 30, 2005",436.06M
"June 30, 2005",443.78M
"March 31, 2005",443.99M
"Jan. 31, 2005",441.14M
"Dec. 31, 2004",441.14M
"Sept. 30, 2004",442.68M
"July 31, 2004",444.89M
"June 30, 2004",448.79M
"April 30, 2004",448.79M
"March 31, 2004",448.79M
"Jan. 31, 2004",447.25M
"Dec. 31, 2003",447.25M
"Oct. 31, 2003",450.88M
"Sept. 30, 2003",450.88M
"July 31, 2003",450.87M
"June 30, 2003",450.10M
"April 30, 2003",450.10M
"March 31, 2003",450.10M
"Jan. 31, 2003",455.71M
"Dec. 31, 2002",455.71M
"Oct. 31, 2002",456.08M
"Sept. 30, 2002",456.08M
"July 31, 2002",454.91M
"June 30, 2002",454.91M
"April 30, 2002",450.71M
"March 31, 2002",450.71M
"Jan. 31, 2002",443.39M
"Dec. 31, 2001",443.39M
"Oct. 31, 2001",440.52M
"Sept. 30, 2001",440.52M
"July 31, 2001",435.99M
"June 30, 2001",435.99M
"April 30, 2001",434.33M
"March 31, 2001",434.33M
"Jan. 31, 2001",432.15M
"Dec. 31, 2000",432.15M
"Oct. 31, 2000",430.76M
"Sept. 30, 2000",430.76M
"July 31, 2000",401.84M
"June 30, 2000",401.84M
"April 30, 2000",400.25M
"March 31, 2000",400.25M
"Jan. 31, 2000",398.16M
"Dec. 31, 1999",398.16M
"Sept. 30, 1999",395.95M
"July 31, 1999",395.16M
"June 30, 1999",395.16M
"April 30, 1999",3.494B
"March 31, 1999",394.32M
"Jan. 31, 1999",393.41M
"Dec. 31, 1998",393.42M
"Oct. 15, 1998",392.51M
"Sept. 30, 1998",392.51M
"July 31, 1998",391.44M
"June 30, 1998",391.44M
"April 30, 1998",391.08M
"March 31, 1998",391.08M
"Jan. 31, 1998",389.40M
"Dec. 31, 1997",389.40M
"Oct. 31, 1997",388.76M
"Sept. 30, 1997",388.76M
"July 31, 1997",388.03M
"June 30, 1997",388.03M
"April 30, 1997",386.26M
"March 31, 1997",386.26M
"Jan. 31, 1997",385.78M
"Dec. 31, 1996",385.78M
"Oct. 31, 1996",385.41M
"Sept. 30, 1996",385.41M
"July 31, 1996",400.21M
"June 30, 1996",400.21M
"March 31, 1996",398.10M
"Jan. 31, 1996",397.50M
"Dec. 31, 1995",397.50M
"Oct. 31, 1995",398.30M
"Sept. 30, 1995",398.30M
"July 31, 1995",200.29M
"June 30, 1995",400.58M
"April 30, 1995",399.49M
"March 31, 1995",399.30M
"Dec. 31, 1994",399.30M
"Sept. 30, 1994",399.30M
"June 30, 1994",399.30M
"March 31, 1994",399.30M
