date,free_cash_flow
"Dec. 31, 2019",847.00M
"Sept. 30, 2019",2.182B
"June 30, 2019",1.419B
"March 31, 2019",1.379B
"Dec. 31, 2018",1.758B
"Sept. 30, 2018",22.00M
"June 30, 2018",-336.00M
"March 31, 2018",416.00M
"Dec. 31, 2017",1.005B
"Sept. 30, 2017",1.532B
"June 30, 2017",1.266B
"March 31, 2017",1.496B
"Dec. 31, 2016",293.00M
"Sept. 30, 2016",1.079B
"June 30, 2016",1.238B
"March 31, 2016",1.516B
"Dec. 31, 2015",925.00M
"Sept. 30, 2015",1.326B
"June 30, 2015",1.072B
"March 31, 2015",839.00M
"Dec. 31, 2014",-590.00M
"Sept. 30, 2014",787.00M
"June 30, 2014",827.00M
"March 31, 2014",1.997B
"Dec. 31, 2013",593.00M
"Sept. 30, 2013",691.00M
"June 30, 2013",447.00M
"March 31, 2013",1.979B
"Dec. 31, 2012",-1.743B
"Sept. 30, 2012",1.365B
"June 30, 2012",670.00M
"March 31, 2012",327.00M
"Dec. 31, 2011",671.00M
"Sept. 30, 2011",310.00M
"June 30, 2011",696.00M
"March 31, 2011",1.589B
"Dec. 31, 2010",-266.00M
"Sept. 30, 2010",342.00M
"June 30, 2010",1.094B
"March 31, 2010",1.557B
"Dec. 31, 2009",-976.00M
"Sept. 30, 2009",1.242B
"June 30, 2009",969.00M
"March 31, 2009",1.086B
"Dec. 31, 2008",574.00M
"Sept. 30, 2008",827.00M
"June 30, 2008",1.318B
"March 31, 2008",776.00M
"Dec. 31, 2007",-43.00M
"Sept. 30, 2007",709.00M
"June 30, 2007",1.234B
"March 31, 2007",1.398B
"Dec. 31, 2006",-125.00M
"Sept. 30, 2006",462.00M
"June 30, 2006",1.448B
"March 31, 2006",1.087B
"Dec. 31, 2005",-447.00M
"Sept. 30, 2005",739.00M
"June 30, 2005",578.00M
"March 31, 2005",1.459B
"Dec. 31, 2004",-287.00M
"Sept. 30, 2004",906.00M
"June 30, 2004",580.00M
"March 31, 2004",956.00M
"Dec. 31, 2003",-185.00M
"Sept. 30, 2003",120.00M
"June 30, 2003",721.00M
"March 31, 2003",466.00M
"Dec. 31, 2002",-706.00M
"Sept. 30, 2002",1.045B
"June 30, 2002",964.00M
"March 31, 2002",323.00M
"Dec. 31, 2001",-676.00M
"Sept. 30, 2001",878.00M
"June 30, 2001",27.00M
"March 31, 2001",977.00M
"Dec. 31, 2000",54.00M
"Sept. 30, 2000",49.00M
"June 30, 2000",1.015B
"March 31, 2000",398.00M
"Dec. 31, 1999",-736.00M
"Sept. 30, 1999",393.00M
"June 30, 1999",-168.00M
"March 31, 1999",-284.00M
"Dec. 31, 1998",1.104B
"Sept. 30, 1998",617.00M
"June 30, 1998",-36.00M
"March 31, 1998",-351.00M
"Dec. 31, 1997",762.00M
"Sept. 30, 1997",90.00M
"June 30, 1997",-281.00M
"March 31, 1997",-113.00M
"Dec. 31, 1996",160.00M
"Sept. 30, 1996",679.00M
"June 30, 1996",322.00M
"March 31, 1996",-262.00M
"Dec. 31, 1995",567.00M
"Sept. 30, 1995",235.00M
"June 30, 1995",-69.00M
"March 31, 1995",59.00M
"Dec. 31, 1994",46.00M
"Sept. 30, 1994",682.00M
"June 30, 1994",67.00M
"March 31, 1994",189.00M
