date,assets
"Dec. 31, 2019",47.53B
"Sept. 30, 2019",49.28B
"June 30, 2019",47.84B
"March 31, 2019",47.68B
"Dec. 31, 2018",44.88B
"Sept. 30, 2018",45.50B
"June 30, 2018",45.12B
"March 31, 2018",46.63B
"Dec. 31, 2017",46.62B
"Sept. 30, 2017",48.95B
"June 30, 2017",48.71B
"March 31, 2017",48.84B
"Dec. 31, 2016",47.81B
"Sept. 30, 2016",48.74B
"June 30, 2016",50.41B
"March 31, 2016",50.16B
"Dec. 31, 2015",49.30B
"Sept. 30, 2015",39.62B
"June 30, 2015",39.85B
"March 31, 2015",39.75B
"Dec. 31, 2014",37.05B
"Sept. 30, 2014",36.93B
"June 30, 2014",37.25B
"March 31, 2014",36.92B
"Dec. 31, 2013",36.19B
"Sept. 30, 2013",38.91B
"June 30, 2013",38.95B
"March 31, 2013",39.58B
"Dec. 31, 2012",38.66B
"Sept. 30, 2012",39.32B
"June 30, 2012",38.39B
"March 31, 2012",38.34B
"Dec. 31, 2011",37.91B
"Sept. 30, 2011",36.19B
"June 30, 2011",35.72B
"March 31, 2011",36.68B
"Dec. 31, 2010",35.11B
"Sept. 30, 2010",35.55B
"June 30, 2010",36.24B
"March 31, 2010",36.29B
"Dec. 31, 2009",35.11B
"Sept. 30, 2009",35.74B
"June 30, 2009",34.79B
"March 31, 2009",34.53B
"Dec. 31, 2008",33.44B
"Sept. 30, 2008",29.36B
"June 30, 2008",29.46B
"March 31, 2008",29.15B
"Dec. 31, 2007",28.93B
"Sept. 30, 2007",29.79B
"June 30, 2007",29.81B
"March 31, 2007",28.85B
"Dec. 31, 2006",28.23B
"Sept. 30, 2006",29.09B
"June 30, 2006",28.44B
"March 31, 2006",28.44B
"Dec. 31, 2005",27.74B
"Sept. 30, 2005",27.36B
"June 30, 2005",27.39B
"March 31, 2005",26.88B
"Dec. 31, 2004",25.55B
"Sept. 30, 2004",26.64B
"June 30, 2004",26.24B
"March 31, 2004",26.82B
"Dec. 31, 2003",26.18B
"Sept. 30, 2003",24.88B
"June 30, 2003",24.80B
"March 31, 2003",25.02B
"Dec. 31, 2002",26.98B
"Sept. 30, 2002",28.92B
"June 30, 2002",28.33B
"March 31, 2002",27.78B
"Dec. 31, 2001",27.65B
"Sept. 30, 2001",29.20B
"June 30, 2001",28.97B
"March 31, 2001",30.51B
"Dec. 31, 2000",30.43B
"Sept. 30, 2000",32.27B
"June 30, 2000",29.89B
"March 31, 2000",29.60B
"Dec. 31, 1999",30.26B
"Sept. 30, 1999",29.56B
"June 30, 1999",28.38B
"March 31, 1999",28.60B
"Dec. 31, 1998",28.74B
"Sept. 30, 1998",29.76B
"June 30, 1998",29.56B
"March 31, 1998",29.38B
"Dec. 31, 1997",28.36B
"Sept. 30, 1997",29.58B
"June 30, 1997",29.40B
"March 31, 1997",29.37B
"Dec. 31, 1996",29.54B
"Sept. 30, 1996",30.27B
"June 30, 1996",30.33B
"March 31, 1996",17.68B
"Dec. 31, 1995",17.56B
"Sept. 30, 1995",18.37B
"June 30, 1995",18.28B
"March 31, 1995",17.96B
"Dec. 31, 1994",18.05B
