date,long_term_debt
"Dec. 31, 2019",11.40B
"Sept. 30, 2019",12.65B
"June 30, 2019",12.64B
"March 31, 2019",12.62B
"Dec. 31, 2018",12.60B
"Sept. 30, 2018",13.49B
"June 30, 2018",13.48B
"March 31, 2018",13.47B
"Dec. 31, 2017",13.51B
"Sept. 30, 2017",14.27B
"June 30, 2017",14.28B
"March 31, 2017",14.28B
"Dec. 31, 2016",14.28B
"Sept. 30, 2016",14.30B
"June 30, 2016",14.31B
"March 31, 2016",14.32B
"Dec. 31, 2015",14.30B
"Sept. 30, 2015",7.46B
"June 30, 2015",7.95B
"March 31, 2015",8.404B
"Dec. 31, 2014",6.142B
"Sept. 30, 2014",6.165B
"June 30, 2014",6.169B
"March 31, 2014",6.152B
"Dec. 31, 2013",6.152B
"Sept. 30, 2013",6.156B
"June 30, 2013",6.14B
"March 31, 2013",6.154B
"Dec. 31, 2012",6.158B
"Sept. 30, 2012",6.374B
"June 30, 2012",6.343B
"March 31, 2012",6.472B
"Dec. 31, 2011",6.46B
"Sept. 30, 2011",6.538B
"June 30, 2011",5.031B
"March 31, 2011",5.023B
"Dec. 31, 2010",5.019B
"Sept. 30, 2010",5.019B
"June 30, 2010",5.019B
"March 31, 2010",5.053B
"Dec. 31, 2009",5.052B
"Sept. 30, 2009",3.563B
"June 30, 2009",3.563B
"March 31, 2009",3.563B
"Dec. 31, 2008",3.563B
"Sept. 30, 2008",3.804B
"June 30, 2008",3.803B
"March 31, 2008",4.803B
"Dec. 31, 2007",4.303B
"Sept. 30, 2007",4.303B
"June 30, 2007",4.302B
"March 31, 2007",4.405B
"Dec. 31, 2006",4.405B
"Sept. 30, 2006",4.403B
"June 30, 2006",4.746B
"March 31, 2006",4.762B
"Dec. 31, 2005",4.784B
"Sept. 30, 2005",4.874B
"June 30, 2005",4.874B
"March 31, 2005",5.104B
"Dec. 31, 2004",5.104B
"Sept. 30, 2004",6.07B
"June 30, 2004",6.07B
"March 31, 2004",6.072B
"Dec. 31, 2003",6.072B
"Sept. 30, 2003",6.073B
"June 30, 2003",6.075B
"March 31, 2003",6.201B
"Dec. 31, 2002",6.217B
"Sept. 30, 2002",6.693B
"June 30, 2002",6.687B
"March 31, 2002",7.093B
"Dec. 31, 2001",7.422B
"Sept. 30, 2001",7.639B
"June 30, 2001",8.517B
"March 31, 2001",9.029B
"Dec. 31, 2000",9.065B
"Sept. 30, 2000",10.96B
"June 30, 2000",10.65B
"March 31, 2000",11.41B
"Dec. 31, 1999",11.43B
"Sept. 30, 1999",10.46B
"June 30, 1999",9.984B
"March 31, 1999",8.788B
"Dec. 31, 1998",8.957B
"Sept. 30, 1998",10.18B
"June 30, 1998",10.18B
"March 31, 1998",10.49B
"Dec. 31, 1997",10.53B
"Sept. 30, 1997",9.388B
"June 30, 1997",9.376B
"March 31, 1997",9.889B
"Dec. 31, 1996",10.19B
"Sept. 30, 1996",11.08B
"June 30, 1996",11.09B
"March 31, 1996",3.003B
"Dec. 31, 1995",3.01B
"Sept. 30, 1995",2.892B
"June 30, 1995",2.894B
"March 31, 1995",3.596B
"Dec. 31, 1994",3.594B
