date,accruals
"Dec. 31, 2019",8.00M
"Sept. 30, 2019",-882.00M
"June 30, 2019",-248.00M
"March 31, 2019",41.00M
"Dec. 31, 2018",-964.00M
"Sept. 30, 2018",1.112B
"June 30, 2018",1.235B
"March 31, 2018",525.00M
"Dec. 31, 2017",-2.256B
"Sept. 30, 2017",-791.00M
"June 30, 2017",-589.00M
"March 31, 2017",-877.00M
"Dec. 31, 2016",130.00M
"Sept. 30, 2016",1.075B
"June 30, 2016",-452.00M
"March 31, 2016",-769.00M
"Dec. 31, 2015",-431.00M
"Sept. 30, 2015",-652.00M
"June 30, 2015",-334.00M
"March 31, 2015",-79.00M
"Dec. 31, 2014",1.105B
"Sept. 30, 2014",-102.00M
"June 30, 2014",-88.00M
"March 31, 2014",-1.167B
"Dec. 31, 2013",-450.00M
"Sept. 30, 2013",-27.00M
"June 30, 2013",236.00M
"March 31, 2013",-1.324B
"Dec. 31, 2012",1.884B
"Sept. 30, 2012",-846.00M
"June 30, 2012",-64.00M
"March 31, 2012",210.00M
"Dec. 31, 2011",-406.00M
"Sept. 30, 2011",149.00M
"June 30, 2011",-152.00M
"March 31, 2011",-1.189B
"Dec. 31, 2010",547.00M
"Sept. 30, 2010",47.00M
"June 30, 2010",-401.00M
"March 31, 2010",-1.116B
"Dec. 31, 2009",1.067B
"Sept. 30, 2009",-627.00M
"June 30, 2009",-402.00M
"March 31, 2009",-552.00M
"Dec. 31, 2008",-174.00M
"Sept. 30, 2008",-274.00M
"June 30, 2008",-606.00M
"March 31, 2008",-150.00M
"Dec. 31, 2007",382.00M
"Sept. 30, 2007",-169.00M
"June 30, 2007",-626.00M
"March 31, 2007",-792.00M
"Dec. 31, 2006",414.00M
"Sept. 30, 2006",-23.00M
"June 30, 2006",-1.033B
"March 31, 2006",-594.00M
"Dec. 31, 2005",512.00M
"Sept. 30, 2005",-466.00M
"June 30, 2005",-236.00M
"March 31, 2005",-1.179B
"Dec. 31, 2004",283.00M
"Sept. 30, 2004",-732.00M
"June 30, 2004",-438.00M
"March 31, 2004",-771.00M
"Dec. 31, 2003",209.00M
"Sept. 30, 2003",-68.00M
"June 30, 2003",-603.00M
"March 31, 2003",-294.00M
"Dec. 31, 2002",93.00M
"Sept. 30, 2002",-890.00M
"June 30, 2002",-781.00M
"March 31, 2002",-210.00M
"Dec. 31, 2001",-1.139B
"Sept. 30, 2001",-784.00M
"June 30, 2001",-4.00M
"March 31, 2001",-944.00M
"Dec. 31, 2000",-182.00M
"Sept. 30, 2000",-851.00M
"June 30, 2000",-1.074B
"March 31, 2000",-428.00M
"Dec. 31, 1999",-401.00M
"Sept. 30, 1999",-342.00M
"June 30, 1999",-18.00M
"March 31, 1999",66.00M
"Dec. 31, 1998",-1.199B
"Sept. 30, 1998",-469.00M
"June 30, 1998",146.00M
"March 31, 1998",492.00M
"Dec. 31, 1997",-606.00M
"Sept. 30, 1997",63.00M
"June 30, 1997",412.00M
"March 31, 1997",223.00M
"Dec. 31, 1996",149.00M
"Sept. 30, 1996",-602.00M
"June 30, 1996",-247.00M
"March 31, 1996",411.00M
"Dec. 31, 1995",-362.00M
"Sept. 30, 1995",-73.00M
"June 30, 1995",-126.00M
"March 31, 1995",-49.00M
"Dec. 31, 1994",54.00M
"Sept. 30, 1994",-539.00M
"June 30, 1994",75.00M
"March 31, 1994",-65.00M
