date,shareholders_equity
"Dec. 31, 2019",3.127B
"Sept. 30, 2019",3.893B
"June 30, 2019",2.85B
"March 31, 2019",2.465B
"Dec. 31, 2018",1.394B
"Sept. 30, 2018",943.00M
"June 30, 2018",416.00M
"March 31, 2018",-182.00M
"Dec. 31, 2017",-850.00M
"Sept. 30, 2017",2.098B
"June 30, 2017",1.265B
"March 31, 2017",1.483B
"Dec. 31, 2016",1.511B
"Sept. 30, 2016",2.323B
"June 30, 2016",2.997B
"March 31, 2016",3.177B
"Dec. 31, 2015",3.097B
"Sept. 30, 2015",2.813B
"June 30, 2015",2.982B
"March 31, 2015",3.52B
"Dec. 31, 2014",3.40B
"Sept. 30, 2014",4.574B
"June 30, 2014",4.319B
"March 31, 2014",4.80B
"Dec. 31, 2013",4.918B
"Sept. 30, 2013",1.277B
"June 30, 2013",694.00M
"March 31, 2013",304.00M
"Dec. 31, 2012",39.00M
"Sept. 30, 2012",2.442B
"June 30, 2012",2.204B
"March 31, 2012",1.573B
"Dec. 31, 2011",1.001B
"Sept. 30, 2011",2.943B
"June 30, 2011",3.288B
"March 31, 2011",3.791B
"Dec. 31, 2010",3.497B
"Sept. 30, 2010",3.918B
"June 30, 2010",3.734B
"March 31, 2010",4.028B
"Dec. 31, 2009",4.129B
"Sept. 30, 2009",3.14B
"June 30, 2009",2.82B
"March 31, 2009",2.819B
"Dec. 31, 2008",2.865B
"Sept. 30, 2008",9.808B
"June 30, 2008",9.334B
"March 31, 2008",9.367B
"Dec. 31, 2007",9.805B
"Sept. 30, 2007",7.428B
"June 30, 2007",7.159B
"March 31, 2007",7.028B
"Dec. 31, 2006",6.884B
"Sept. 30, 2006",8.083B
"June 30, 2006",7.658B
"March 31, 2006",7.936B
"Dec. 31, 2005",7.867B
"Sept. 30, 2005",7.733B
"June 30, 2005",7.886B
"March 31, 2005",7.441B
"Dec. 31, 2004",7.021B
"Sept. 30, 2004",7.24B
"June 30, 2004",7.034B
"March 31, 2004",7.024B
"Dec. 31, 2003",6.756B
"Sept. 30, 2003",6.298B
"June 30, 2003",6.091B
"March 31, 2003",5.839B
"Dec. 31, 2002",5.865B
"Sept. 30, 2002",7.70B
"June 30, 2002",7.394B
"March 31, 2002",6.861B
"Dec. 31, 2001",6.443B
"Sept. 30, 2001",7.832B
"June 30, 2001",7.41B
"March 31, 2001",7.26B
"Dec. 31, 2000",7.16B
"Sept. 30, 2000",7.082B
"June 30, 2000",6.439B
"March 31, 2000",6.475B
"Dec. 31, 1999",6.361B
"Sept. 30, 1999",6.126B
"June 30, 1999",5.971B
"March 31, 1999",6.053B
"Dec. 31, 1998",6.137B
"Sept. 30, 1998",6.008B
"June 30, 1998",5.736B
"March 31, 1998",5.436B
"Dec. 31, 1997",5.176B
"Sept. 30, 1997",7.654B
"June 30, 1997",7.33B
"March 31, 1997",7.092B
"Dec. 31, 1996",6.856B
"Sept. 30, 1996",7.189B
"June 30, 1996",6.912B
"March 31, 1996",6.656B
"Dec. 31, 1995",6.433B
"Sept. 30, 1995",6.255B
"June 30, 1995",6.059B
"March 31, 1995",6.178B
"Dec. 31, 1994",6.086B
