date,total_employee_number
"Dec. 31, 2019",110000
"Dec. 31, 2018",105000
"Dec. 31, 2017",100000
"Dec. 31, 2016",97000
"Dec. 31, 2015",126000
"Dec. 31, 2014",112000
"Dec. 31, 2013",115000
"Dec. 31, 2012",120000
"Dec. 31, 2011",123000
"Dec. 31, 2010",132000
"Dec. 31, 2009",140000
"Dec. 31, 2008",146000
"Dec. 31, 2007",140000
"Dec. 31, 2006",140000
"Dec. 31, 2005",135000
"Dec. 31, 2004",130000
"Dec. 31, 2003",130000
"Dec. 31, 2002",125000
"Dec. 31, 2001",125000
"Dec. 31, 2000",126000
"Dec. 31, 1999",147000
"Dec. 31, 1998",165000
"Dec. 31, 1997",173000
"Dec. 31, 1996",190000
"Dec. 31, 1995",160000
"Dec. 31, 1994",77300
