date,max_drawdown_all
"Feb. 29, 2020",70.46%
"Jan. 31, 2020",70.46%
"Dec. 31, 2019",70.46%
"Nov. 30, 2019",70.46%
"Oct. 31, 2019",70.46%
"Sept. 30, 2019",70.46%
"Aug. 31, 2019",70.46%
"July 31, 2019",70.46%
"June 30, 2019",70.46%
"May 31, 2019",70.46%
"April 30, 2019",70.46%
"March 31, 2019",70.46%
"Feb. 28, 2019",70.46%
"Jan. 31, 2019",70.46%
"Dec. 31, 2018",70.46%
"Nov. 30, 2018",70.46%
"Oct. 31, 2018",70.46%
"Sept. 30, 2018",70.46%
"Aug. 31, 2018",70.46%
"July 31, 2018",70.46%
"June 30, 2018",70.46%
"May 31, 2018",70.46%
"April 30, 2018",70.46%
"March 31, 2018",70.46%
"Feb. 28, 2018",70.46%
"Jan. 31, 2018",70.46%
"Dec. 31, 2017",70.46%
"Nov. 30, 2017",70.46%
"Oct. 31, 2017",70.46%
"Sept. 30, 2017",70.46%
"Aug. 31, 2017",70.46%
"July 31, 2017",70.46%
"June 30, 2017",70.46%
"May 31, 2017",70.46%
"April 30, 2017",70.46%
"March 31, 2017",70.46%
"Feb. 28, 2017",70.46%
"Jan. 31, 2017",70.46%
"Dec. 31, 2016",70.46%
"Nov. 30, 2016",70.46%
"Oct. 31, 2016",70.46%
"Sept. 30, 2016",70.46%
"Aug. 31, 2016",70.46%
"July 31, 2016",70.46%
"June 30, 2016",70.46%
"May 31, 2016",70.46%
"April 30, 2016",70.46%
"March 31, 2016",70.46%
"Feb. 29, 2016",70.46%
"Jan. 31, 2016",70.46%
"Dec. 31, 2015",70.46%
"Nov. 30, 2015",70.46%
"Oct. 31, 2015",70.46%
"Sept. 30, 2015",70.46%
"Aug. 31, 2015",70.46%
"July 31, 2015",70.46%
"June 30, 2015",70.46%
"May 31, 2015",70.46%
"April 30, 2015",70.46%
"March 31, 2015",70.46%
"Feb. 28, 2015",70.46%
"Jan. 31, 2015",70.46%
"Dec. 31, 2014",70.46%
"Nov. 30, 2014",70.46%
"Oct. 31, 2014",70.46%
"Sept. 30, 2014",70.46%
"Aug. 31, 2014",70.46%
"July 31, 2014",70.46%
"June 30, 2014",70.46%
"May 31, 2014",70.46%
"April 30, 2014",70.46%
"March 31, 2014",70.46%
"Feb. 28, 2014",70.46%
"Jan. 31, 2014",70.46%
"Dec. 31, 2013",70.46%
"Nov. 30, 2013",70.46%
"Oct. 31, 2013",70.46%
"Sept. 30, 2013",70.46%
"Aug. 31, 2013",70.46%
"July 31, 2013",70.46%
"June 30, 2013",70.46%
"May 31, 2013",70.46%
"April 30, 2013",70.46%
"March 31, 2013",70.46%
"Feb. 28, 2013",70.46%
"Jan. 31, 2013",70.46%
"Dec. 31, 2012",70.46%
"Nov. 30, 2012",70.46%
"Oct. 31, 2012",70.46%
"Sept. 30, 2012",70.46%
"Aug. 31, 2012",70.46%
"July 31, 2012",70.46%
"June 30, 2012",70.46%
"May 31, 2012",70.46%
"April 30, 2012",70.46%
"March 31, 2012",70.46%
"Feb. 29, 2012",70.46%
"Jan. 31, 2012",70.46%
"Dec. 31, 2011",70.46%
"Nov. 30, 2011",70.46%
"Oct. 31, 2011",70.46%
"Sept. 30, 2011",70.46%
"Aug. 31, 2011",70.46%
"July 31, 2011",70.46%
"June 30, 2011",70.46%
"May 31, 2011",70.46%
"April 30, 2011",70.46%
"March 31, 2011",70.46%
"Feb. 28, 2011",70.46%
"Jan. 31, 2011",70.46%
"Dec. 31, 2010",70.46%
"Nov. 30, 2010",70.46%
"Oct. 31, 2010",70.46%
"Sept. 30, 2010",70.46%
"Aug. 31, 2010",70.46%
"July 31, 2010",70.46%
"June 30, 2010",70.46%
"May 31, 2010",70.46%
"April 30, 2010",70.46%
"March 31, 2010",70.46%
"Feb. 28, 2010",70.46%
"Jan. 31, 2010",70.46%
"Dec. 31, 2009",70.46%
"Nov. 30, 2009",70.46%
"Oct. 31, 2009",70.46%
"Sept. 30, 2009",70.46%
"Aug. 31, 2009",70.46%
"July 31, 2009",70.46%
"June 30, 2009",70.46%
"May 31, 2009",70.46%
"April 30, 2009",70.46%
"March 31, 2009",70.46%
"Feb. 28, 2009",70.46%
"Jan. 31, 2009",70.46%
"Dec. 31, 2008",70.46%
"Nov. 30, 2008",70.46%
"Oct. 31, 2008",70.46%
"Sept. 30, 2008",70.46%
"Aug. 31, 2008",70.46%
"July 31, 2008",70.46%
"June 30, 2008",70.46%
"May 31, 2008",70.46%
"April 30, 2008",70.46%
"March 31, 2008",70.46%
"Feb. 29, 2008",70.46%
"Jan. 31, 2008",70.46%
"Dec. 31, 2007",70.46%
"Nov. 30, 2007",70.46%
"Oct. 31, 2007",70.46%
"Sept. 30, 2007",70.46%
"Aug. 31, 2007",70.46%
"July 31, 2007",70.46%
"June 30, 2007",70.46%
"May 31, 2007",70.46%
"April 30, 2007",70.46%
"March 31, 2007",70.46%
"Feb. 28, 2007",70.46%
"Jan. 31, 2007",70.46%
"Dec. 31, 2006",70.46%
"Nov. 30, 2006",70.46%
"Oct. 31, 2006",70.46%
"Sept. 30, 2006",70.46%
"Aug. 31, 2006",70.46%
"July 31, 2006",70.46%
"June 30, 2006",70.46%
"May 31, 2006",70.46%
"April 30, 2006",70.46%
"March 31, 2006",70.46%
"Feb. 28, 2006",70.46%
"Jan. 31, 2006",70.46%
"Dec. 31, 2005",70.46%
"Nov. 30, 2005",70.46%
"Oct. 31, 2005",70.46%
"Sept. 30, 2005",70.46%
"Aug. 31, 2005",70.46%
"July 31, 2005",70.46%
"June 30, 2005",70.46%
"May 31, 2005",70.46%
"April 30, 2005",70.46%
"March 31, 2005",70.46%
"Feb. 28, 2005",70.46%
"Jan. 31, 2005",70.46%
"Dec. 31, 2004",70.46%
"Nov. 30, 2004",70.46%
"Oct. 31, 2004",70.46%
"Sept. 30, 2004",70.46%
"Aug. 31, 2004",70.46%
"July 31, 2004",70.46%
"June 30, 2004",70.46%
"May 31, 2004",70.46%
"April 30, 2004",70.46%
"March 31, 2004",70.46%
