date,cash_financing_ttm
"Dec. 31, 2019",-5.328B
"Sept. 30, 2019",-5.191B
"June 30, 2019",-4.669B
"March 31, 2019",-4.325B
"Dec. 31, 2018",-4.152B
"Sept. 30, 2018",-3.312B
"June 30, 2018",-4.06B
"March 31, 2018",-4.198B
"Dec. 31, 2017",-4.305B
"Sept. 30, 2017",-4.558B
"June 30, 2017",-2.979B
"March 31, 2017",-3.42B
"Dec. 31, 2016",-3.457B
"Sept. 30, 2016",3.645B
"June 30, 2016",1.889B
"March 31, 2016",1.944B
"Dec. 31, 2015",4.277B
"Sept. 30, 2015",-2.129B
"June 30, 2015",-1.728B
"March 31, 2015",-812.00M
"Dec. 31, 2014",-3.314B
"Sept. 30, 2014",-3.302B
"June 30, 2014",-3.116B
"March 31, 2014",-3.263B
"Dec. 31, 2013",-2.706B
"Sept. 30, 2013",-2.85B
"June 30, 2013",-2.705B
"March 31, 2013",-2.465B
"Dec. 31, 2012",-2.068B
"Sept. 30, 2012",-2.351B
"June 30, 2012",-1.155B
"March 31, 2012",-1.992B
"Dec. 31, 2011",-2.144B
"Sept. 30, 2011",-2.174B
"June 30, 2011",-3.412B
"March 31, 2011",-3.153B
"Dec. 31, 2010",-3.358B
"Sept. 30, 2010",-1.706B
"June 30, 2010",-1.77B
"March 31, 2010",-1.452B
"Dec. 31, 2009",-1.432B
"Sept. 30, 2009",-2.792B
"June 30, 2009",-3.598B
"March 31, 2009",-3.846B
"Dec. 31, 2008",-3.938B
"Sept. 30, 2008",-3.565B
"June 30, 2008",-2.555B
"March 31, 2008",-2.501B
"Dec. 31, 2007",-2.30B
"Sept. 30, 2007",-2.151B
"June 30, 2007",-2.373B
"March 31, 2007",-2.431B
"Dec. 31, 2006",-2.46B
"Sept. 30, 2006",-2.626B
"June 30, 2006",-2.655B
"March 31, 2006",-2.008B
"Dec. 31, 2005",-1.511B
"Sept. 30, 2005",-2.401B
"June 30, 2005",-2.001B
"March 31, 2005",-2.204B
"Dec. 31, 2004",-2.166B
"Sept. 30, 2004",-1.136B
"June 30, 2004",-1.076B
"March 31, 2004",-1.211B
"Dec. 31, 2003",-2.076B
"Sept. 30, 2003",-1.88B
"June 30, 2003",-1.708B
"March 31, 2003",-978.00M
"Dec. 31, 2002",77.00M
"Sept. 30, 2002",-40.00M
"June 30, 2002",-1.148B
"March 31, 2002",-2.428B
"Dec. 31, 2001",-2.557B
"Sept. 30, 2001",-4.409B
"June 30, 2001",-3.351B
"March 31, 2001",-2.472B
"Dec. 31, 2000",-2.728B
"Sept. 30, 2000",-807.00M
"June 30, 2000",173.00M
"March 31, 2000",581.00M
"Dec. 31, 1999",731.00M
"Sept. 30, 1999",-220.00M
"June 30, 1999",-1.608B
"March 31, 1999",-1.70B
"Dec. 31, 1998",-1.291B
"Sept. 30, 1998",-1.137B
"June 30, 1998",-625.00M
"March 31, 1998",-814.00M
"Dec. 31, 1997",-1.393B
"Sept. 30, 1997",-924.00M
"June 30, 1997",-1.752B
"March 31, 1997",5.632B
"Dec. 31, 1996",5.74B
"Sept. 30, 1996",6.186B
"June 30, 1996",6.678B
"March 31, 1996",-737.00M
"Dec. 31, 1995",-579.00M
"Sept. 30, 1995",-892.00M
"June 30, 1995",-664.00M
"March 31, 1995",-569.00M
"Dec. 31, 1994",-718.00M
