date,kz_index
"Dec. 31, 2019",-5.563
"Dec. 31, 2018",0.5229
"Dec. 31, 2017",-43.67
"Dec. 31, 2016",0.0345
"Dec. 31, 2015",-8.532
"Dec. 31, 2014",
"Dec. 31, 2013",
"Dec. 31, 2012",204.92
"Dec. 31, 2011",-1.212
"Dec. 31, 2010",-6.244
"Dec. 31, 2009",-6.004
"Dec. 31, 2008",
"Dec. 31, 2007",-5.675
"Dec. 31, 2006",-4.184
"Dec. 31, 2005",-4.518
"Dec. 31, 2004",-3.360
"Dec. 31, 2003",-1.704
"Dec. 31, 2002",-1.15
"Dec. 31, 2001",
"Dec. 31, 2000",
"Dec. 31, 1999",
"Dec. 31, 1998",
"Dec. 31, 1997",-1.123
