date,graham_number
"Dec. 31, 2019",74.12
"Sept. 30, 2019",80.98
"June 30, 2019",68.26
"March 31, 2019",61.98
"Dec. 31, 2018",44.32
"Sept. 30, 2018",28.67
"June 30, 2018",17.33
"March 31, 2018",
"Dec. 31, 2017",
"Sept. 30, 2017",45.62
"June 30, 2017",41.29
"March 31, 2017",44.65
"Dec. 31, 2016",45.39
"Sept. 30, 2016",55.35
"June 30, 2016",51.71
"March 31, 2016",52.26
"Dec. 31, 2015",51.17
"Sept. 30, 2015",48.18
"June 30, 2015",49.32
"March 31, 2015",52.80
"Dec. 31, 2014",52.09
"Sept. 30, 2014",56.76
"June 30, 2014",54.75
"March 31, 2014",57.36
"Dec. 31, 2013",56.10
"Sept. 30, 2013",28.98
"June 30, 2013",20.82
"March 31, 2013",13.59
"Dec. 31, 2012",4.778
"Sept. 30, 2012",38.44
"June 30, 2012",36.24
"March 31, 2012",30.17
"Dec. 31, 2011",23.35
"Sept. 30, 2011",41.41
"June 30, 2011",41.52
"March 31, 2011",44.05
"Dec. 31, 2010",42.02
"Sept. 30, 2010",41.98
"June 30, 2010",42.33
"March 31, 2010",42.49
"Dec. 31, 2009",43.68
"Sept. 30, 2009",37.72
"June 30, 2009",35.23
"March 31, 2009",35.64
"Dec. 31, 2008",35.75
"Sept. 30, 2008",65.52
"June 30, 2008",63.42
"March 31, 2008",61.69
"Dec. 31, 2007",61.99
"Sept. 30, 2007",52.83
"June 30, 2007",50.56
"March 31, 2007",47.87
"Dec. 31, 2006",46.27
"Sept. 30, 2006",48.27
"June 30, 2006",44.77
"March 31, 2006",43.66
"Dec. 31, 2005",40.76
"Sept. 30, 2005",38.11
"June 30, 2005",36.71
"March 31, 2005",33.69
"Dec. 31, 2004",31.83
"Sept. 30, 2004",31.93
"June 30, 2004",30.05
"March 31, 2004",29.31
"Dec. 31, 2003",28.20
"Sept. 30, 2003",15.76
"June 30, 2003",17.01
"March 31, 2003",18.40
"Dec. 31, 2002",17.85
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",23.07
"June 30, 2001",
"March 31, 2001",
"Dec. 31, 2000",
"Sept. 30, 2000",
"June 30, 2000",23.87
"March 31, 2000",22.25
"Dec. 31, 1999",18.86
"Sept. 30, 1999",13.96
"June 30, 1999",16.70
"March 31, 1999",24.16
"Dec. 31, 1998",30.38
"Sept. 30, 1998",
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",35.19
"June 30, 1997",34.00
"March 31, 1997",33.19
"Dec. 31, 1996",32.22
"Sept. 30, 1996",31.09
"June 30, 1996",29.57
"March 31, 1996",23.89
"Dec. 31, 1995",21.37
"Sept. 30, 1995",20.31
"June 30, 1995",19.40
"March 31, 1995",24.75
"Dec. 31, 1994",25.84
