date,net_income_ttm
"Dec. 31, 2019",6.23B
"Sept. 30, 2019",5.985B
"June 30, 2019",5.85B
"March 31, 2019",5.593B
"Dec. 31, 2018",5.046B
"Sept. 30, 2018",3.049B
"June 30, 2018",2.539B
"March 31, 2018",2.331B
"Dec. 31, 2017",1.963B
"Sept. 30, 2017",3.566B
"June 30, 2017",4.998B
"March 31, 2017",5.064B
"Dec. 31, 2016",5.173B
"Sept. 30, 2016",5.247B
"June 30, 2016",3.717B
"March 31, 2016",3.625B
"Dec. 31, 2015",3.605B
"Sept. 30, 2015",3.576B
"June 30, 2015",3.599B
"March 31, 2015",3.559B
"Dec. 31, 2014",3.614B
"Sept. 30, 2014",3.198B
"June 30, 2014",3.183B
"March 31, 2014",3.153B
"Dec. 31, 2013",2.981B
"Sept. 30, 2013",3.062B
"June 30, 2013",2.916B
"March 31, 2013",2.838B
"Dec. 31, 2012",2.745B
"Sept. 30, 2012",2.859B
"June 30, 2012",2.832B
"March 31, 2012",2.793B
"Dec. 31, 2011",2.655B
"Sept. 30, 2011",2.933B
"June 30, 2011",2.793B
"March 31, 2011",2.875B
"Dec. 31, 2010",2.878B
"Sept. 30, 2010",2.693B
"June 30, 2010",2.93B
"March 31, 2010",2.84B
"Dec. 31, 2009",2.973B
"Sept. 30, 2009",3.02B
"June 30, 2009",3.005B
"March 31, 2009",3.153B
"Dec. 31, 2008",3.217B
"Sept. 30, 2008",3.193B
"June 30, 2008",3.177B
"March 31, 2008",3.073B
"Dec. 31, 2007",3.033B
"Sept. 30, 2007",2.963B
"June 30, 2007",2.826B
"March 31, 2007",2.628B
"Dec. 31, 2006",2.529B
"Sept. 30, 2006",2.368B
"June 30, 2006",2.166B
"March 31, 2006",2.047B
"Dec. 31, 2005",1.825B
"Sept. 30, 2005",1.629B
"June 30, 2005",1.509B
"March 31, 2005",1.344B
"Dec. 31, 2004",1.266B
"Sept. 30, 2004",1.238B
"June 30, 2004",1.148B
"March 31, 2004",1.094B
"Dec. 31, 2003",1.053B
"Sept. 30, 2003",362.00M
"June 30, 2003",435.00M
"March 31, 2003",532.00M
"Dec. 31, 2002",500.00M
"Sept. 30, 2002",-661.00M
"June 30, 2002",-738.00M
"March 31, 2002",-933.00M
"Dec. 31, 2001",-1.046B
"Sept. 30, 2001",551.00M
"June 30, 2001",-366.00M
"March 31, 2001",-468.00M
"Dec. 31, 2000",-519.00M
"Sept. 30, 2000",-315.00M
"June 30, 2000",606.00M
"March 31, 2000",523.00M
"Dec. 31, 1999",382.00M
"Sept. 30, 1999",214.00M
"June 30, 1999",315.00M
"March 31, 1999",645.00M
"Dec. 31, 1998",1.001B
"Sept. 30, 1998",1.247B
"June 30, 1998",1.26B
"March 31, 1998",1.279B
"Dec. 31, 1997",1.30B
"Sept. 30, 1997",1.394B
"June 30, 1997",1.374B
"March 31, 1997",1.365B
"Dec. 31, 1996",1.347B
"Sept. 30, 1996",1.193B
"June 30, 1996",1.169B
"March 31, 1996",817.00M
"Dec. 31, 1995",682.00M
"Sept. 30, 1995",641.00M
"June 30, 1995",608.00M
"March 31, 1995",920.00M
"Dec. 31, 1994",1.018B
