date,profit_margin
"Dec. 31, 2019",9.43%
"Sept. 30, 2019",10.60%
"June 30, 2019",9.84%
"March 31, 2019",11.89%
"Dec. 31, 2018",8.69%
"Sept. 30, 2018",10.29%
"June 30, 2018",8.68%
"March 31, 2018",9.94%
"Dec. 31, 2017",-5.37%
"Sept. 30, 2017",7.80%
"June 30, 2017",7.60%
"March 31, 2017",7.04%
"Dec. 31, 2016",6.23%
"Sept. 30, 2016",20.73%
"June 30, 2016",8.82%
"March 31, 2016",8.66%
"Dec. 31, 2015",8.10%
"Sept. 30, 2015",8.60%
"June 30, 2015",7.98%
"March 31, 2015",8.68%
"Dec. 31, 2014",13.15%
"Sept. 30, 2014",7.99%
"June 30, 2014",7.86%
"March 31, 2014",8.76%
"Dec. 31, 2013",4.23%
"Sept. 30, 2013",7.69%
"June 30, 2013",7.53%
"March 31, 2013",6.87%
"Dec. 31, 2012",4.70%
"Sept. 30, 2012",6.13%
"June 30, 2012",6.55%
"March 31, 2012",5.92%
"Dec. 31, 2011",5.59%
"Sept. 30, 2011",5.78%
"June 30, 2011",6.43%
"March 31, 2011",4.99%
"Dec. 31, 2010",7.53%
"Sept. 30, 2010",4.94%
"June 30, 2010",7.30%
"March 31, 2010",5.16%
"Dec. 31, 2009",6.43%
"Sept. 30, 2009",7.40%
"June 30, 2009",6.63%
"March 31, 2009",6.42%
"Dec. 31, 2008",8.42%
"Sept. 30, 2008",7.39%
"June 30, 2008",7.99%
"March 31, 2008",7.31%
"Dec. 31, 2007",7.37%
"Sept. 30, 2007",6.90%
"June 30, 2007",7.30%
"March 31, 2007",7.44%
"Dec. 31, 2006",6.73%
"Sept. 30, 2006",6.55%
"June 30, 2006",5.82%
"March 31, 2006",6.41%
"Dec. 31, 2005",5.55%
"Sept. 30, 2005",4.64%
"June 30, 2005",4.96%
"March 31, 2005",4.35%
"Dec. 31, 2004",3.73%
"Sept. 30, 2004",3.64%
"June 30, 2004",3.37%
"March 31, 2004",3.49%
"Dec. 31, 2003",3.83%
"Sept. 30, 2003",2.69%
"June 30, 2003",3.14%
"March 31, 2003",3.54%
"Dec. 31, 2002",-4.46%
"Sept. 30, 2002",4.43%
"June 30, 2002",5.39%
"March 31, 2002",3.65%
"Dec. 31, 2001",-20.56%
"Sept. 30, 2001",3.42%
"June 30, 2001",2.42%
"March 31, 2001",2.21%
"Dec. 31, 2000",1.31%
"Sept. 30, 2000",-11.81%
"June 30, 2000",0.68%
"March 31, 2000",0.97%
"Dec. 31, 1999",4.20%
"Sept. 30, 1999",3.52%
"June 30, 1999",-0.66%
"March 31, 1999",-1.41%
"Dec. 31, 1998",1.74%
"Sept. 30, 1998",5.01%
"June 30, 1998",4.43%
"March 31, 1998",4.33%
"Dec. 31, 1997",4.71%
"Sept. 30, 1997",5.00%
"June 30, 1997",4.47%
"March 31, 1997",4.35%
"Dec. 31, 1996",6.07%
"Sept. 30, 1996",4.43%
"June 30, 1996",4.23%
"March 31, 1996",5.32%
"Dec. 31, 1995",5.14%
"Sept. 30, 1995",5.17%
"June 30, 1995",-0.95%
"March 31, 1995",2.43%
"Dec. 31, 1994",4.09%
"Sept. 30, 1994",4.45%
"June 30, 1994",4.66%
"March 31, 1994",4.67%
