date,payout_ratio
"Dec. 31, 2019",41.03%
"Sept. 30, 2019",41.82%
"June 30, 2019",41.90%
"March 31, 2019",42.89%
"Dec. 31, 2018",46.51%
"Sept. 30, 2018",75.34%
"June 30, 2018",88.62%
"March 31, 2018",94.59%
"Dec. 31, 2017",110.2%
"Sept. 30, 2017",59.48%
"June 30, 2017",41.68%
"March 31, 2017",40.66%
"Dec. 31, 2016",39.59%
"Sept. 30, 2016",38.56%
"June 30, 2016",53.83%
"March 31, 2016",54.26%
"Dec. 31, 2015",53.59%
"Sept. 30, 2015",53.16%
"June 30, 2015",51.68%
"March 31, 2015",50.97%
"Dec. 31, 2014",48.70%
"Sept. 30, 2014",53.60%
"June 30, 2014",52.25%
"March 31, 2014",51.16%
"Dec. 31, 2013",51.66%
"Sept. 30, 2013",48.50%
"June 30, 2013",49.42%
"March 31, 2013",49.19%
"Dec. 31, 2012",49.25%
"Sept. 30, 2012",45.61%
"June 30, 2012",43.22%
"March 31, 2012",41.39%
"Dec. 31, 2011",41.24%
"Sept. 30, 2011",35.42%
"June 30, 2011",36.59%
"March 31, 2011",34.68%
"Dec. 31, 2010",33.67%
"Sept. 30, 2010",34.91%
"June 30, 2010",31.74%
"March 31, 2010",32.36%
"Dec. 31, 2009",30.54%
"Sept. 30, 2009",29.64%
"June 30, 2009",28.15%
"March 31, 2009",25.12%
"Dec. 31, 2008",22.91%
"Sept. 30, 2008",21.45%
"June 30, 2008",20.77%
"March 31, 2008",25.61%
"Dec. 31, 2007",20.28%
"Sept. 30, 2007",19.88%
"June 30, 2007",20.24%
"March 31, 2007",15.45%
"Dec. 31, 2006",21.27%
"Sept. 30, 2006",21.92%
"June 30, 2006",23.13%
"March 31, 2006",23.64%
"Dec. 31, 2005",25.32%
"Sept. 30, 2005",27.19%
"June 30, 2005",28.56%
"March 31, 2005",31.03%
"Dec. 31, 2004",31.99%
"Sept. 30, 2004",31.66%
"June 30, 2004",30.31%
"March 31, 2004",27.88%
"Dec. 31, 2003",24.79%
"Sept. 30, 2003",58.84%
"June 30, 2003",48.05%
"March 31, 2003",38.53%
"Dec. 31, 2002",39.80%
"Sept. 30, 2002",-29.80%
"June 30, 2002",-26.42%
"March 31, 2002",-20.58%
"Dec. 31, 2001",-18.36%
"Sept. 30, 2001",35.39%
"June 30, 2001",-52.19%
"March 31, 2001",-39.96%
"Dec. 31, 2000",-35.26%
"Sept. 30, 2000",-69.52%
"June 30, 2000",43.23%
"March 31, 2000",57.74%
"Dec. 31, 1999",90.31%
"Sept. 30, 1999",158.4%
"June 30, 1999",104.1%
"March 31, 1999",49.46%
"Dec. 31, 1998",30.97%
"Sept. 30, 1998",24.94%
"June 30, 1998",25.48%
"March 31, 1998",26.43%
"Dec. 31, 1997",27.08%
"Sept. 30, 1997",25.47%
"June 30, 1997",26.20%
"March 31, 1997",27.03%
"Dec. 31, 1996",26.87%
"Sept. 30, 1996",30.43%
"June 30, 1996",29.51%
"March 31, 1996",40.27%
"Dec. 31, 1995",46.04%
"Sept. 30, 1995",44.62%
"June 30, 1995",47.20%
"March 31, 1995",30.22%
"Dec. 31, 1994",26.92%
