date,revenues_ttm
"Dec. 31, 2019",59.81B
"Sept. 30, 2019",58.34B
"June 30, 2019",57.49B
"March 31, 2019",56.46B
"Dec. 31, 2018",53.76B
"Sept. 30, 2018",53.20B
"June 30, 2018",51.22B
"March 31, 2018",50.38B
"Dec. 31, 2017",49.96B
"Sept. 30, 2017",49.91B
"June 30, 2017",49.12B
"March 31, 2017",48.13B
"Dec. 31, 2016",47.29B
"Sept. 30, 2016",45.02B
"June 30, 2016",43.52B
"March 31, 2016",43.59B
"Dec. 31, 2015",43.33B
"Sept. 30, 2015",38.69B
"June 30, 2015",39.74B
"March 31, 2015",39.41B
"Dec. 31, 2014",39.95B
"Sept. 30, 2014",44.60B
"June 30, 2014",44.84B
"March 31, 2014",44.94B
"Dec. 31, 2013",45.36B
"Sept. 30, 2013",45.92B
"June 30, 2013",46.45B
"March 31, 2013",46.96B
"Dec. 31, 2012",47.18B
"Sept. 30, 2012",47.29B
"June 30, 2012",47.54B
"March 31, 2012",47.17B
"Dec. 31, 2011",46.50B
"Sept. 30, 2011",47.05B
"June 30, 2011",46.27B
"March 31, 2011",46.01B
"Dec. 31, 2010",45.72B
"Sept. 30, 2010",45.04B
"June 30, 2010",44.46B
"March 31, 2010",44.25B
"Dec. 31, 2009",44.29B
"Sept. 30, 2009",41.98B
"June 30, 2009",41.80B
"March 31, 2009",41.76B
"Dec. 31, 2008",41.37B
"Sept. 30, 2008",42.44B
"June 30, 2008",42.96B
"March 31, 2008",42.57B
"Dec. 31, 2007",41.86B
"Sept. 30, 2007",41.86B
"June 30, 2007",40.37B
"March 31, 2007",39.68B
"Dec. 31, 2006",39.62B
"Sept. 30, 2006",39.01B
"June 30, 2006",38.60B
"March 31, 2006",37.94B
"Dec. 31, 2005",37.21B
"Sept. 30, 2005",36.95B
"June 30, 2005",36.19B
"March 31, 2005",35.67B
"Dec. 31, 2004",35.53B
"Sept. 30, 2004",34.54B
"June 30, 2004",34.18B
"March 31, 2004",33.11B
"Dec. 31, 2003",31.82B
"Sept. 30, 2003",30.63B
"June 30, 2003",29.09B
"March 31, 2003",27.67B
"Dec. 31, 2002",26.58B
"Sept. 30, 2002",26.13B
"June 30, 2002",25.81B
"March 31, 2002",25.48B
"Dec. 31, 2001",24.26B
"Sept. 30, 2001",23.74B
"June 30, 2001",23.48B
"March 31, 2001",23.73B
"Dec. 31, 2000",24.54B
"Sept. 30, 2000",24.72B
"June 30, 2000",24.91B
"March 31, 2000",24.90B
"Dec. 31, 1999",25.53B
"Sept. 30, 1999",25.73B
"June 30, 1999",25.92B
"March 31, 1999",26.24B
"Dec. 31, 1998",26.27B
"Sept. 30, 1998",26.96B
"June 30, 1998",27.23B
"March 31, 1998",27.61B
"Dec. 31, 1997",28.07B
"Sept. 30, 1997",27.85B
"June 30, 1997",28.26B
"March 31, 1997",28.44B
"Dec. 31, 1996",26.88B
"Sept. 30, 1996",25.26B
"June 30, 1996",23.79B
"March 31, 1996",22.32B
"Dec. 31, 1995",22.85B
"Sept. 30, 1995",23.40B
"June 30, 1995",23.56B
"March 31, 1995",23.51B
"Dec. 31, 1994",22.91B
