date,three_year_return
"March 19, 2020",15.52%
"March 18, 2020",22.59%
"March 17, 2020",17.23%
"March 16, 2020",7.46%
"March 13, 2020",22.07%
"March 12, 2020",15.90%
"March 11, 2020",32.86%
"March 10, 2020",36.67%
"March 9, 2020",31.02%
"March 6, 2020",42.86%
"March 5, 2020",43.67%
"March 4, 2020",50.15%
"March 3, 2020",40.95%
"March 2, 2020",42.83%
"Feb. 28, 2020",38.75%
"Feb. 27, 2020",42.78%
"Feb. 26, 2020",50.71%
"Feb. 25, 2020",50.51%
"Feb. 24, 2020",57.65%
"Feb. 21, 2020",61.03%
"Feb. 20, 2020",60.53%
"Feb. 19, 2020",63.74%
"Feb. 18, 2020",64.14%
"Feb. 14, 2020",66.76%
"Feb. 13, 2020",65.69%
"Feb. 12, 2020",67.57%
"Feb. 11, 2020",68.82%
"Feb. 10, 2020",68.78%
"Feb. 7, 2020",71.30%
"Feb. 6, 2020",71.94%
"Feb. 5, 2020",71.02%
"Feb. 4, 2020",69.29%
"Feb. 3, 2020",66.57%
"Jan. 31, 2020",70.34%
"Jan. 30, 2020",72.41%
"Jan. 29, 2020",71.14%
"Jan. 28, 2020",72.45%
"Jan. 27, 2020",70.56%
"Jan. 24, 2020",71.01%
"Jan. 23, 2020",66.53%
"Jan. 22, 2020",64.68%
"Jan. 21, 2020",65.35%
"Jan. 17, 2020",67.50%
"Jan. 16, 2020",67.25%
"Jan. 15, 2020",65.38%
"Jan. 14, 2020",63.49%
"Jan. 13, 2020",64.62%
"Jan. 10, 2020",61.55%
"Jan. 9, 2020",60.94%
"Jan. 8, 2020",59.41%
"Jan. 7, 2020",60.75%
"Jan. 6, 2020",60.21%
"Jan. 3, 2020",63.33%
"Jan. 2, 2020",59.79%
"Dec. 31, 2019",55.79%
"Dec. 30, 2019",56.80%
"Dec. 27, 2019",56.90%
"Dec. 26, 2019",57.18%
"Dec. 24, 2019",56.32%
"Dec. 23, 2019",57.02%
"Dec. 20, 2019",52.32%
"Dec. 19, 2019",51.94%
"Dec. 18, 2019",52.18%
"Dec. 17, 2019",54.71%
"Dec. 16, 2019",54.33%
"Dec. 13, 2019",53.55%
"Dec. 12, 2019",51.73%
"Dec. 11, 2019",48.82%
"Dec. 10, 2019",48.13%
"Dec. 9, 2019",47.71%
"Dec. 6, 2019",45.44%
"Dec. 5, 2019",44.58%
"Dec. 4, 2019",43.70%
"Dec. 3, 2019",42.60%
"Dec. 2, 2019",43.34%
"Nov. 29, 2019",46.68%
"Nov. 27, 2019",48.26%
"Nov. 26, 2019",47.60%
"Nov. 25, 2019",46.65%
"Nov. 22, 2019",47.64%
"Nov. 21, 2019",48.15%
"Nov. 20, 2019",49.26%
"Nov. 19, 2019",48.55%
"Nov. 18, 2019",49.29%
"Nov. 15, 2019",47.99%
"Nov. 14, 2019",46.00%
"Nov. 13, 2019",49.59%
"Nov. 12, 2019",49.05%
"Nov. 11, 2019",47.15%
"Nov. 8, 2019",59.65%
"Nov. 7, 2019",58.29%
"Nov. 6, 2019",60.74%
"Nov. 5, 2019",58.13%
"Nov. 4, 2019",58.49%
"Nov. 1, 2019",54.78%
"Oct. 31, 2019",52.89%
"Oct. 30, 2019",52.68%
"Oct. 29, 2019",49.64%
"Oct. 28, 2019",49.94%
"Oct. 25, 2019",48.73%
"Oct. 24, 2019",61.41%
"Oct. 23, 2019",61.85%
"Oct. 22, 2019",62.10%
"Oct. 21, 2019",62.26%
"Oct. 18, 2019",60.01%
"Oct. 17, 2019",61.99%
"Oct. 16, 2019",64.61%
"Oct. 15, 2019",64.57%
"Oct. 14, 2019",64.51%
"Oct. 11, 2019",64.53%
"Oct. 10, 2019",65.84%
"Oct. 9, 2019",64.69%
"Oct. 8, 2019",63.63%
