date,revenue_per_employee_annual
"Dec. 31, 2019",556390.7
"Dec. 31, 2018",524507.3
"Dec. 31, 2017",507208.1
"Dec. 31, 2016",424125.6
"Dec. 31, 2015",340638.7
"Dec. 31, 2014",351947.1
"Dec. 31, 2013",386025.5
"Dec. 31, 2012",388329.2
"Dec. 31, 2011",364698.0
"Dec. 31, 2010",335816.2
"Dec. 31, 2009",306762.2
"Dec. 31, 2008",289314.7
"Dec. 31, 2007",299014.3
"Dec. 31, 2006",288145.5
"Dec. 31, 2005",280852.8
"Dec. 31, 2004",273276.9
"Dec. 31, 2003",249600.0
"Dec. 31, 2002",212624.0
"Dec. 31, 2001",191155.4
"Dec. 31, 2000",179787.5
"Dec. 31, 1999",163653.8
"Dec. 31, 1998",155420.1
"Dec. 31, 1997",154650.1
"Dec. 31, 1996",153571.4
"Dec. 31, 1995",192608.5
