date,cash_dividend_payout_ratio
"Dec. 31, 2019",43.86%
"Sept. 30, 2019",37.15%
"June 30, 2019",53.54%
"March 31, 2019",84.98%
"Dec. 31, 2018",126.2%
"Sept. 30, 2018",207.5%
"June 30, 2018",85.98%
"March 31, 2018",52.26%
"Dec. 31, 2017",40.82%
"Sept. 30, 2017",46.24%
"June 30, 2017",50.39%
"March 31, 2017",50.15%
"Dec. 31, 2016",49.64%
"Sept. 30, 2016",42.52%
"June 30, 2016",39.98%
"March 31, 2016",40.65%
"Dec. 31, 2015",46.42%
"Sept. 30, 2015",71.82%
"June 30, 2015",88.24%
"March 31, 2015",97.37%
"Dec. 31, 2014",58.26%
"Sept. 30, 2014",40.77%
"June 30, 2014",40.48%
"March 31, 2014",43.27%
"Dec. 31, 2013",41.51%
"Sept. 30, 2013",108.1%
"June 30, 2013",70.36%
"March 31, 2013",61.47%
"Dec. 31, 2012",218.4%
"Sept. 30, 2012",42.99%
"June 30, 2012",61.88%
"March 31, 2012",57.68%
"Dec. 31, 2011",33.53%
"Sept. 30, 2011",44.61%
"June 30, 2011",43.29%
"March 31, 2011",36.14%
"Dec. 31, 2010",35.53%
"Sept. 30, 2010",46.60%
"June 30, 2010",31.88%
"March 31, 2010",32.92%
"Dec. 31, 2009",39.12%
"Sept. 30, 2009",23.12%
"June 30, 2009",24.48%
"March 31, 2009",20.81%
"Dec. 31, 2008",21.09%
"Sept. 30, 2008",23.80%
"June 30, 2008",23.91%
"March 31, 2008",29.41%
"Dec. 31, 2007",18.65%
"Sept. 30, 2007",18.31%
"June 30, 2007",19.27%
"March 31, 2007",12.76%
"Dec. 31, 2006",18.73%
"Sept. 30, 2006",20.35%
"June 30, 2006",17.72%
"March 31, 2006",24.73%
"Dec. 31, 2005",19.84%
"Sept. 30, 2005",17.80%
"June 30, 2005",16.23%
"March 31, 2005",15.69%
"Dec. 31, 2004",18.79%
"Sept. 30, 2004",17.37%
"June 30, 2004",23.66%
"March 31, 2004",18.92%
"Dec. 31, 2003",23.26%
"Sept. 30, 2003",35.44%
"June 30, 2003",13.70%
"March 31, 2003",11.59%
"Dec. 31, 2002",12.24%
"Sept. 30, 2002",11.90%
"June 30, 2002",13.10%
"March 31, 2002",34.78%
"Dec. 31, 2001",15.92%
"Sept. 30, 2001",10.07%
"June 30, 2001",17.25%
"March 31, 2001",8.93%
"Dec. 31, 2000",12.07%
"Sept. 30, 2000",30.17%
"June 30, 2000",24.49%
"March 31, 2000",-267.3%
"Dec. 31, 1999",-43.40%
"Sept. 30, 1999",32.44%
"June 30, 1999",25.85%
"March 31, 1999",22.77%
"Dec. 31, 1998",23.24%
"Sept. 30, 1998",30.79%
"June 30, 1998",67.42%
"March 31, 1998",164.8%
"Dec. 31, 1997",73.83%
"Sept. 30, 1997",-144.6%
"June 30, 1997",77.92%
"March 31, 1997",31.28%
"Dec. 31, 1996",36.00%
"Sept. 30, 1996",24.32%
"June 30, 1996",35.54%
"March 31, 1996",65.45%
"Dec. 31, 1995",34.70%
"Sept. 30, 1995",107.1%
"June 30, 1995",34.50%
"March 31, 1995",27.46%
"Dec. 31, 1994",23.16%
