date,net_income_annual_cs_rev
"Dec. 31, 2019",10.42%
"Dec. 31, 2018",9.39%
"Dec. 31, 2017",3.93%
"Dec. 31, 2016",10.94%
"Dec. 31, 2015",8.89%
"Dec. 31, 2014",9.05%
"Dec. 31, 2013",6.57%
"Dec. 31, 2012",5.82%
"Dec. 31, 2011",5.71%
"Dec. 31, 2010",6.30%
"Dec. 31, 2009",6.78%
"Dec. 31, 2008",7.78%
"Dec. 31, 2007",7.25%
"Dec. 31, 2006",6.38%
"Dec. 31, 2005",4.90%
"Dec. 31, 2004",3.56%
"Dec. 31, 2003",3.31%
"Dec. 31, 2002",1.88%
"Dec. 31, 2001",-4.36%
"Dec. 31, 2000",-2.11%
"Dec. 31, 1999",1.50%
"Dec. 31, 1998",3.81%
"Dec. 31, 1997",4.63%
"Dec. 31, 1996",5.01%
"Dec. 31, 1995",2.98%
"Dec. 31, 1994",4.44%
"Dec. 31, 1993",3.70%
"Dec. 31, 1992",-2.25%
