date,year_low
"May 16, 2019",241.18
"May 15, 2019",241.18
"May 14, 2019",241.18
"May 13, 2019",241.18
"May 10, 2019",241.18
"May 9, 2019",241.18
"May 8, 2019",241.18
"May 7, 2019",241.18
"May 6, 2019",241.18
"May 3, 2019",241.18
"May 2, 2019",241.18
"May 1, 2019",241.18
"April 30, 2019",241.18
"April 29, 2019",241.18
"April 26, 2019",241.18
"April 25, 2019",241.18
"April 24, 2019",241.18
"April 23, 2019",241.18
"April 22, 2019",241.18
"April 18, 2019",241.18
"April 17, 2019",241.18
"April 16, 2019",241.18
"April 15, 2019",241.18
"April 12, 2019",241.18
"April 11, 2019",241.18
"April 10, 2019",241.18
"April 9, 2019",241.18
"April 8, 2019",241.18
"April 5, 2019",241.18
"April 4, 2019",241.18
"April 3, 2019",241.18
"April 2, 2019",241.18
"April 1, 2019",241.18
"March 29, 2019",241.18
"March 28, 2019",241.18
"March 27, 2019",241.18
"March 26, 2019",241.18
"March 25, 2019",241.18
"March 22, 2019",241.18
"March 21, 2019",241.18
"March 20, 2019",241.18
"March 19, 2019",241.18
"March 18, 2019",241.18
"March 15, 2019",241.18
"March 14, 2019",241.18
"March 13, 2019",241.18
"March 12, 2019",241.18
"March 11, 2019",241.18
"March 8, 2019",241.18
"March 7, 2019",241.18
"March 6, 2019",241.18
"March 5, 2019",241.18
"March 4, 2019",241.18
"March 1, 2019",241.18
"Feb. 28, 2019",241.18
"Feb. 27, 2019",241.18
"Feb. 26, 2019",241.18
"Feb. 25, 2019",241.18
"Feb. 22, 2019",241.18
"Feb. 21, 2019",241.18
"Feb. 20, 2019",241.18
"Feb. 19, 2019",241.18
"Feb. 15, 2019",241.18
"Feb. 14, 2019",241.18
"Feb. 13, 2019",241.18
"Feb. 12, 2019",241.18
"Feb. 11, 2019",241.18
"Feb. 8, 2019",241.18
"Feb. 7, 2019",241.18
"Feb. 6, 2019",241.18
"Feb. 5, 2019",241.18
"Feb. 4, 2019",241.18
"Feb. 1, 2019",241.18
"Jan. 31, 2019",241.18
"Jan. 30, 2019",241.18
"Jan. 29, 2019",241.18
"Jan. 28, 2019",241.18
"Jan. 25, 2019",241.18
"Jan. 24, 2019",241.18
"Jan. 23, 2019",241.18
"Jan. 22, 2019",241.18
"Jan. 18, 2019",241.18
"Jan. 17, 2019",241.18
"Jan. 16, 2019",241.18
"Jan. 15, 2019",241.18
"Jan. 14, 2019",241.18
"Jan. 11, 2019",241.18
"Jan. 10, 2019",241.18
"Jan. 9, 2019",241.18
"Jan. 8, 2019",241.18
"Jan. 7, 2019",241.18
"Jan. 4, 2019",241.18
"Jan. 3, 2019",241.18
"Jan. 2, 2019",241.18
"Dec. 31, 2018",241.18
"Dec. 28, 2018",241.18
"Dec. 27, 2018",241.18
"Dec. 26, 2018",241.18
"Dec. 24, 2018",245.01
"Dec. 21, 2018",255.30
"Dec. 20, 2018",261.41
"Dec. 19, 2018",271.52
"Dec. 18, 2018",277.20
"Dec. 17, 2018",277.20
"Dec. 14, 2018",277.20
"Dec. 13, 2018",277.20
"Dec. 12, 2018",277.20
"Dec. 11, 2018",277.20
"Dec. 10, 2018",277.20
"Dec. 7, 2018",277.20
"Dec. 6, 2018",277.20
"Dec. 4, 2018",283.21
"Dec. 3, 2018",283.21
"Nov. 30, 2018",283.21
"Nov. 29, 2018",283.21
"Nov. 28, 2018",283.21
"Nov. 27, 2018",283.21
"Nov. 26, 2018",283.21
"Nov. 23, 2018",283.21
"Nov. 21, 2018",283.21
"Nov. 20, 2018",283.21
"Nov. 19, 2018",283.21
"Nov. 16, 2018",283.21
"Nov. 15, 2018",283.21
"Nov. 14, 2018",283.21
"Nov. 13, 2018",283.21
"Nov. 12, 2018",283.21
"Nov. 9, 2018",283.21
"Nov. 8, 2018",283.21
"Nov. 7, 2018",283.21
"Nov. 6, 2018",283.21
"Nov. 5, 2018",283.21
"Nov. 2, 2018",283.21
"Nov. 1, 2018",283.21
"Oct. 31, 2018",283.21
"Oct. 30, 2018",283.21
"Oct. 29, 2018",283.21
"Oct. 26, 2018",291.52
"Oct. 25, 2018",291.52
"Oct. 24, 2018",291.52
"Oct. 23, 2018",291.52
"Oct. 22, 2018",291.52
"Oct. 19, 2018",291.52
"Oct. 18, 2018",291.52
"Oct. 17, 2018",291.52
"Oct. 16, 2018",291.52
"Oct. 15, 2018",291.52
"Oct. 12, 2018",291.52
"Oct. 11, 2018",291.52
