date,operating_margin_ttm
"Dec. 31, 2019",14.29%
"Sept. 30, 2019",14.13%
"June 30, 2019",14.10%
"March 31, 2019",14.15%
"Dec. 31, 2018",13.82%
"Sept. 30, 2018",14.15%
"June 30, 2018",14.14%
"March 31, 2018",14.03%
"Dec. 31, 2017",13.50%
"Sept. 30, 2017",13.15%
"June 30, 2017",13.18%
"March 31, 2017",12.74%
"Dec. 31, 2016",12.62%
"Sept. 30, 2016",11.92%
"June 30, 2016",11.46%
"March 31, 2016",11.60%
"Dec. 31, 2015",11.94%
"Sept. 30, 2015",12.33%
"June 30, 2015",12.47%
"March 31, 2015",12.53%
"Dec. 31, 2014",12.55%
"Sept. 30, 2014",12.22%
"June 30, 2014",11.85%
"March 31, 2014",11.54%
"Dec. 31, 2013",10.81%
"Sept. 30, 2013",10.42%
"June 30, 2013",10.10%
"March 31, 2013",9.77%
"Dec. 31, 2012",9.50%
"Sept. 30, 2012",10.23%
"June 30, 2012",9.83%
"March 31, 2012",9.30%
"Dec. 31, 2011",8.94%
"Sept. 30, 2011",9.16%
"June 30, 2011",8.87%
"March 31, 2011",9.21%
"Dec. 31, 2010",9.45%
"Sept. 30, 2010",8.66%
"June 30, 2010",9.21%
"March 31, 2010",9.19%
"Dec. 31, 2009",9.42%
"Sept. 30, 2009",9.99%
"June 30, 2009",10.36%
"March 31, 2009",10.80%
"Dec. 31, 2008",11.06%
"Sept. 30, 2008",10.62%
"June 30, 2008",10.55%
"March 31, 2008",10.74%
"Dec. 31, 2007",10.80%
"Sept. 30, 2007",9.59%
"June 30, 2007",9.35%
"March 31, 2007",8.78%
"Dec. 31, 2006",8.67%
"Sept. 30, 2006",8.35%
"June 30, 2006",7.92%
"March 31, 2006",7.31%
"Dec. 31, 2005",6.30%
"Sept. 30, 2005",6.38%
"June 30, 2005",5.99%
"March 31, 2005",5.73%
"Dec. 31, 2004",5.54%
"Sept. 30, 2004",6.00%
"June 30, 2004",6.13%
"March 31, 2004",5.96%
"Dec. 31, 2003",6.21%
"Sept. 30, 2003",6.19%
"June 30, 2003",6.57%
"March 31, 2003",7.17%
"Dec. 31, 2002",7.33%
"Sept. 30, 2002",7.00%
"June 30, 2002",6.64%
"March 31, 2002",6.38%
"Dec. 31, 2001",6.33%
"Sept. 30, 2001",7.13%
"June 30, 2001",7.08%
"March 31, 2001",7.15%
"Dec. 31, 2000",6.76%
"Sept. 30, 2000",6.91%
"June 30, 2000",7.18%
"March 31, 2000",5.99%
"Dec. 31, 1999",6.52%
"Sept. 30, 1999",5.86%
"June 30, 1999",6.62%
"March 31, 1999",8.47%
"Dec. 31, 1998",8.96%
"Sept. 30, 1998",8.45%
"June 30, 1998",8.30%
"March 31, 1998",8.18%
"Dec. 31, 1997",8.18%
"Sept. 30, 1997",8.66%
"June 30, 1997",8.52%
"March 31, 1997",8.67%
"Dec. 31, 1996",8.49%
"Sept. 30, 1996",9.41%
"June 30, 1996",9.30%
"March 31, 1996",8.92%
"Dec. 31, 1995",8.63%
"Sept. 30, 1995",8.19%
"June 30, 1995",7.85%
"March 31, 1995",7.79%
"Dec. 31, 1994",7.77%
