Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,5.357B,5.272B,5.531B,4.787B,5.363B,5.237B,5.402B,4.627B,4.939B,4.986B,5.423B,4.588B,5.139B,4.711B,4.95B,4.44B,4.598B,4.76B,4.898B,4.222B,4.456B,4.609B,4.796B,3.973B,4.238B,4.347B,4.423B,3.877B,3.981B,4.096B,4.389B,3.788B,3.343B,4.311B,4.136B,3.103B,2.624B,3.192B,3.168B,2.63B,2.712B,2.666B,2.616B,2.357B,2.734B,2.891B,2.869B,2.53B,2.492B,2.588B,2.583B,2.198B,2.276B,2.342B,2.449B,2.019B,1.988B,1.989B,1.944B,1.663B,1.655B,1.674B,1.716B,1.484B,1.517B,1.553B,1.515B,1.351B,1.401B,1.391B,1.473B,1.257B,1.238B,1.335B,1.554B,1.429B,1.468B,1.479B,1.461B,1.243B,1.204B,1.235B,1.220B,1.076B,1.048B,1.095B,1.079B,942.60M,975.60M,997.20M,956.90M,887.10M,831.80M,891.50M,910.30M,772.50M,748.60M,765.00M,738.20M,621.00M,626.10M,685.30M,661.10M,619.40M,768.10M,554.40M,520.50M,453.80M,447.20M,447.30M,416.80M,373.90M,350.90M,355.30M,324.70M,282.80M,301.60M,316.40M,308.20M,260.60M,255.70M,266.40M,263.60M,229.40M,225.80M,239.10M,216.90M,178.60M,180.70M,200.70M,205.30M,178.40M,181.10M,207.60M,193.90M,173.30M,178.70M,199.50M,169.80M,135.70M,133.50M,139.80M,137.60M,125.10M
Revenue,5.73B,5.639B,5.909B,5.149B,5.704B,5.575B,5.742B,4.944B,5.258B,5.303B,5.731B,4.854B,4.939B,5.139B,5.384B,4.826B,4.977B,5.318B,5.111B,4.414B,4.628B,4.80B,5.011B,4.166B,4.428B,4.545B,4.643B,4.084B,4.173B,4.309B,4.616B,3.991B,4.108B,4.311B,4.136B,3.103B,3.114B,3.192B,3.168B,2.63B,2.712B,2.666B,2.616B,2.357B,2.734B,2.891B,2.869B,2.53B,2.492B,2.588B,2.583B,2.198B,2.276B,2.342B,2.449B,2.019B,1.988B,1.989B,1.944B,1.663B,1.655B,1.674B,1.716B,1.484B,1.517B,1.553B,1.515B,1.351B,1.401B,1.391B,1.473B,1.257B,1.238B,1.335B,1.554B,1.429B,1.468B,1.479B,1.461B,1.243B,1.205B,1.235B,1.220B,1.076B,1.048B,1.095B,1.079B,942.60M,975.52M,997.20M,956.90M,887.10M,831.87M,891.50M,910.30M,772.50M,748.60M,765.00M,738.20M,621.00M,626.10M,685.30M,661.10M,619.40M,768.10M,554.40M,520.50M,453.80M,447.20M,447.30M,416.80M,373.90M,350.90M,355.30M,324.70M,282.80M,301.60M,316.40M,308.20M,260.60M,255.70M,266.40M,263.60M,229.40M,225.80M,239.10M,216.90M,178.60M,180.70M,200.70M,205.30M,178.40M,181.10M,207.60M,193.90M,173.30M,178.70M,199.50M,169.80M,135.70M,133.50M,139.80M,137.60M,125.10M
Cost of Goods Sold,4.299B,4.058B,4.173B,3.914B,4.128B,4.038B,4.039B,3.703B,3.825B,3.717B,3.789B,3.56B,3.483B,3.786B,3.489B,3.304B,3.334B,3.515B,3.46B,3.114B,3.383B,3.595B,3.665B,3.407B,3.452B,3.595B,3.665B,3.50B,3.533B,3.604B,3.642B,3.466B,7.166B,2.205B,2.099B,1.484B,5.712B,1.375B,1.378B,1.224B,2.537B,771.00M,690.00M,671.00M,912.00M,1.036B,939.00M,734.00M,847.00M,637.00M,581.00M,,,,,,,,,,,,,894.00M,,847.00M,817.00M,,822.00M,819.00M,817.00M,779.00M,,800.99M,806.62M,780.91M,,747.94M,728.04M,716.20M,673.90M,662.30M,608.40M,576.90M,556.80M,561.90M,558.80M,543.40M,559.10M,565.10M,531.80M,548.00M,549.60M,547.80M,517.60M,492.30M,469.40M,442.70M,429.60M,406.10M,404.00M,388.50M,368.50M,298.40M,402.60M,245.80M,234.50M,215.80M,207.50M,208.80M,198.10M,178.70M,176.70M,172.90M,165.20M,160.50M,179.60M,147.70M,135.30M,133.40M,130.90M,121.80M,125.50M,104.50M,,,,,,,,,,,,,,,,,,,,
Gross Profit,1.431B,1.581B,1.736B,1.235B,1.576B,1.537B,1.703B,1.241B,1.433B,1.586B,1.942B,1.294B,1.456B,1.353B,1.895B,1.522B,1.643B,1.803B,1.651B,1.30B,1.245B,1.205B,1.346B,759.00M,976.00M,950.00M,978.00M,584.00M,640.00M,705.00M,974.00M,525.00M,-3.058B,2.106B,2.037B,1.619B,-2.598B,1.817B,1.79B,1.406B,175.00M,1.895B,1.926B,1.686B,1.822B,1.855B,1.93B,1.796B,1.645B,1.951B,2.002B,,,,,,,,,,,,,590.00M,,706.00M,698.00M,,579.00M,572.00M,656.00M,478.00M,,534.13M,747.17M,647.71M,,730.89M,732.63M,526.44M,530.90M,572.90M,612.03M,498.67M,490.88M,533.00M,520.00M,399.20M,416.42M,432.10M,425.10M,339.10M,282.27M,343.70M,392.70M,280.20M,279.20M,322.30M,308.60M,214.90M,222.10M,296.80M,292.60M,321.00M,365.50M,308.60M,286.00M,238.00M,239.70M,238.50M,218.70M,195.20M,174.20M,182.40M,159.50M,122.30M,122.00M,168.70M,172.90M,127.20M,124.80M,144.60M,138.10M,124.90M,,,,,,,,,,,,,,,,,,,,
Sales and Marketing Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00M,13.00M,,13.00M,12.00M,15.00M,14.00M,,23.24M,30.08M,30.49M,,41.52M,41.31M,37.22M,37.90M,39.20M,40.20M,39.10M,37.70M,40.10M,41.50M,38.40M,39.60M,39.90M,40.60M,37.10M,34.40M,37.10M,37.60M,31.80M,31.00M,31.60M,31.20M,29.50M,47.90M,33.70M,35.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.668B,1.596B,1.333B,,938.00M,1.273B,1.198B,861.00M,909.00M,863.00M,836.00M,846.00M,856.00M,839.00M,800.00M,800.00M,832.00M,814.00M,,,,,,,,,,,,,737.00M,,706.00M,737.00M,,679.00M,667.00M,666.00M,621.00M,,637.79M,628.16M,595.99M,,597.33M,618.87M,533.07M,553.90M,566.20M,559.60M,530.00M,354.14M,522.20M,508.20M,476.00M,319.04M,475.20M,465.80M,439.40M,417.70M,426.20M,424.60M,391.40M,368.90M,372.80M,361.20M,341.50M,363.70M,333.80M,328.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.668B,1.596B,1.333B,,938.00M,1.273B,1.198B,861.00M,909.00M,863.00M,836.00M,846.00M,856.00M,839.00M,800.00M,800.00M,832.00M,814.00M,,,,,,,,,,,,622.00M,737.00M,,695.00M,724.00M,516.00M,666.00M,655.00M,651.00M,607.00M,17.59M,614.55M,598.08M,565.49M,,555.81M,577.56M,495.86M,516.00M,527.00M,519.40M,490.90M,316.44M,482.10M,466.70M,437.60M,279.44M,435.30M,425.20M,402.30M,383.30M,389.10M,387.00M,359.60M,337.90M,341.20M,330.00M,312.00M,315.80M,300.10M,293.10M,212.50M,243.60M,192.30M,183.70M,167.20M,160.30M,157.50M,148.70M,141.70M,129.00M,129.50M,118.10M,112.50M,105.90M,111.90M,111.80M,99.90M,91.40M,93.40M,91.60M,86.10M,,,,,,,,,,,,,,,,,,,,
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.00M,121.00M,116.00M,112.00M,,,,103.00M,,97.00M,95.00M,,93.00M,92.00M,86.00M,85.00M,80.20M,81.72M,78.21M,77.69M,,71.51M,68.52M,66.70M,82.30M,63.80M,59.50M,56.80M,59.61M,59.60M,54.00M,52.00M,49.77M,49.90M,47.50M,48.40M,47.17M,46.20M,46.10M,44.00M,35.40M,38.80M,38.20M,37.30M,20.30M,36.30M,33.80M,32.50M,36.10M,29.50M,27.50M,26.20M,27.10M,27.10M,24.60M,22.30M,23.40M,21.70M,20.90M,20.30M,20.30M,20.10M,19.80M,19.10M,19.00M,18.60M,17.80M,16.90M,,,,,,,,,,,,,,,,,,,,
Rent and Landing Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.00M,226.00M,211.00M,204.00M,205.00M,197.00M,209.00M,178.00M,183.00M,180.00M,,,,,,,,,,,,,148.00M,,141.00M,137.00M,,134.00M,133.00M,135.00M,131.00M,,127.56M,125.04M,118.06M,,119.03M,114.00M,114.37M,111.00M,112.30M,110.60M,107.80M,105.00M,106.30M,104.70M,101.00M,102.00M,102.40M,102.00M,99.40M,99.40M,97.20M,91.30M,90.40M,83.30M,86.00M,81.50M,78.90M,75.50M,70.60M,68.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,,,,,,,,,,,,,,,,,-7.00M,-6.00M,-3.00M,-23.00M,-48.00M,-23.00M,-38.00M,-18.00M,-20.00M,-28.00M,-26.00M,-13.00M,-15.00M,-145.00M,-11.00M,-13.00M,314.00M,-427.00M,55.00M,-76.00M,131.00M,12.00M,-146.00M,-4.00M,56.00M,-2.00M,23.00M,-23.00M,-130.00M,-269.00M,345.00M,-38.00M,71.00M,32.00M,120.00M,-49.00M,79.00M,192.00M,-100.00M,18.00M,45.00M,-76.00M,40.00M,12.00M,50.00M,26.00M,35.00M,20.00M,,-7.00M,265.00M,,-9.00M,46.00M,-7.00M,-2.00M,,150.83M,2.813M,-5.525M,,6.819M,10.62M,11.14M,-0.20M,-0.10M,-0.40M,-9.60M,4.50M,6.00M,6.60M,4.00M,20.86M,-0.10M,-0.20M,-1.00M,40.44M,-0.50M,1.60M,1.30M,0.50M,0.10M,-1.50M,0.10M,0.60M,0.10M,0.10M,2.00M,3.00M,0.50M,2.00M,2.90M,2.00M,1.90M,3.00M,1.00M,2.50M,2.70M,2.10M,2.10M,1.10M,4.30M,1.00M,4.60M,3.90M,11.20M,7.10M,14.40M,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,19.00M,20.00M,22.00M,22.00M,23.00M,24.00M,23.00M,22.00M,19.00M,13.00M,14.00M,18.00M,16.00M,19.00M,21.00M,19.00M,21.00M,22.00M,22.00M,26.00M,28.00M,25.00M,28.00M,26.00M,27.00M,31.00M,25.00M,24.00M,30.00M,30.00M,32.00M,35.00M,47.00M,47.00M,49.00M,40.00M,38.00M,38.00M,37.00M,36.00M,41.00M,43.00M,47.00M,38.00M,30.00M,29.00M,26.00M,28.00M,33.00M,28.00M,29.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,20.00M,23.00M,24.00M,23.00M,22.00M,20.00M,15.00M,12.00M,11.00M,9.00M,8.00M,7.00M,7.00M,6.00M,6.00M,5.00M,4.00M,2.00M,2.00M,1.00M,2.00M,2.00M,2.00M,2.00M,1.00M,1.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,1.00M,4.00M,3.00M,3.00M,2.00M,4.00M,3.00M,2.00M,3.00M,8.00M,4.00M,8.00M,7.00M,5.00M,15.00M,19.00M,22.00M,28.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,1.00M,3.00M,2.00M,1.00M,-1.00M,-4.00M,-8.00M,-10.00M,-8.00M,-4.00M,-6.00M,-11.00M,-9.00M,-13.00M,-15.00M,-14.00M,-17.00M,-20.00M,-20.00M,-25.00M,-26.00M,-23.00M,-26.00M,-24.00M,-26.00M,-30.00M,-23.00M,-22.00M,-28.00M,-28.00M,-30.00M,-33.00M,-45.00M,-46.00M,-45.00M,-37.00M,-35.00M,-36.00M,-33.00M,-33.00M,-39.00M,-40.00M,-39.00M,-34.00M,-22.00M,-22.00M,-21.00M,-13.00M,-14.00M,-6.00M,-1.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,766.00M,762.00M,768.00M,730.00M,756.00M,739.00M,731.00M,625.00M,693.00M,741.00M,727.00M,688.00M,849.00M,658.00M,619.00M,578.00M,610.00M,572.00M,563.00M,497.00M,577.00M,568.00M,533.00M,526.00M,571.00M,532.00M,519.00M,501.00M,534.00M,509.00M,503.00M,490.00M,,,,,396.00M,362.00M,,,347.00M,324.00M,338.00M,328.00M,345.00M,351.00M,344.00M,345.00M,218.00M,362.00M,363.00M,1.979B,1.968B,1.95B,1.92B,1.797B,3.783B,1.62B,1.572B,1.47B,-1.022B,1.375B,790.00M,746.00M,,717.00M,693.00M,696.00M,2.021B,251.00M,257.00M,250.00M,2.017B,250.44M,711.67M,693.34M,,670.44M,614.04M,639.05M,1.500B,195.10M,199.10M,186.10M,1.447B,175.30M,178.20M,168.40M,1.480B,168.80M,154.20M,157.90M,1.277B,156.60M,152.50M,145.40M,143.90M,123.00M,125.10M,113.40M,116.10M,116.30M,115.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,766.00M,762.00M,768.00M,730.00M,756.00M,739.00M,731.00M,625.00M,693.00M,741.00M,727.00M,688.00M,849.00M,658.00M,619.00M,578.00M,610.00M,572.00M,563.00M,497.00M,577.00M,568.00M,533.00M,526.00M,571.00M,532.00M,519.00M,501.00M,534.00M,509.00M,503.00M,490.00M,-3.242B,1.859B,1.772B,1.488B,-2.821B,1.461B,1.427B,1.352B,1.362B,1.395B,1.351B,1.314B,1.345B,1.359B,1.331B,1.29B,1.162B,1.334B,1.314B,2.114B,2.102B,2.081B,2.047B,1.921B,1.382B,1.741B,1.688B,1.582B,2.123B,1.483B,1.519B,1.586B,1.097B,1.509B,1.512B,1.305B,2.78B,998.00M,994.00M,942.00M,2.115B,946.70M,1.388B,1.337B,868.52M,1.298B,1.260B,1.202B,2.098B,785.90M,778.00M,733.80M,1.823B,717.00M,698.90M,658.00M,1.809B,654.00M,626.90M,608.60M,1.707B,591.90M,585.60M,549.00M,517.20M,503.00M,493.30M,462.70M,452.20M,452.70M,442.00M,245.00M,279.70M,221.80M,211.20M,193.40M,187.40M,184.60M,173.30M,164.00M,152.40M,151.20M,139.00M,132.80M,126.20M,132.00M,131.60M,119.00M,110.40M,112.00M,109.40M,103.00M,,,,,,,,,,,,,,,,,,,,
