date,gross_profit_margin
"Dec. 31, 2019",39.64%
"Sept. 30, 2019",47.03%
"June 30, 2019",40.98%
"March 31, 2019",36.33%
"Dec. 31, 2018",34.55%
"Sept. 30, 2018",44.23%
"June 30, 2018",38.86%
"March 31, 2018",36.56%
"Dec. 31, 2017",36.39%
"Sept. 30, 2017",46.50%
"June 30, 2017",39.02%
"March 31, 2017",36.22%
"Dec. 31, 2016",36.58%
"Sept. 30, 2016",43.97%
"June 30, 2016",37.94%
"March 31, 2016",36.53%
"Dec. 31, 2015",34.72%
"Sept. 30, 2015",42.96%
"June 30, 2015",35.04%
"March 31, 2015",31.86%
"Dec. 31, 2014",28.64%
"Sept. 30, 2014",38.83%
"June 30, 2014",31.27%
"March 31, 2014",29.42%
"Dec. 31, 2013",27.48%
"Sept. 30, 2013",37.80%
"June 30, 2013",31.36%
"March 31, 2013",31.65%
"Dec. 31, 2012",28.24%
"Sept. 30, 2012",41.44%
"June 30, 2012",34.76%
"March 31, 2012",30.18%
"Dec. 31, 2011",-33.90%
"Sept. 30, 2011",56.05%
"June 30, 2011",52.45%
"March 31, 2011",47.34%
"Dec. 31, 2010",-31.64%
"Sept. 30, 2010",54.88%
"June 30, 2010",51.57%
"March 31, 2010",43.82%
"Dec. 31, 2009",45.26%
"Sept. 30, 2009",54.26%
"June 30, 2009",53.00%
"March 31, 2009",43.54%
"Dec. 31, 2008",40.26%
"Sept. 30, 2008",41.29%
"June 30, 2008",39.24%
"March 31, 2008",64.07%
"Dec. 31, 2007",41.55%
"Sept. 30, 2007",50.37%
"June 30, 2007",44.80%
"March 31, 2007",64.56%
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",54.13%
"March 31, 2006",65.56%
"Dec. 31, 2005",60.92%
"Sept. 30, 2005",50.96%
"June 30, 2005",55.80%
"March 31, 2005",68.15%
"Dec. 31, 2004",66.38%
"Sept. 30, 2004",54.99%
"June 30, 2004",58.99%
"March 31, 2004",69.99%
"Dec. 31, 2003",66.30%
"Sept. 30, 2003",59.31%
"June 30, 2003",62.67%
"March 31, 2003",71.47%
"Dec. 31, 2002",
"Sept. 30, 2002",74.99%
"June 30, 2002",75.54%
"March 31, 2002",85.29%
"Dec. 31, 2001",
"Sept. 30, 2001",68.21%
"June 30, 2001",77.36%
"March 31, 2001",81.47%
"Dec. 31, 2000",24.29%
"Sept. 30, 2000",54.24%
"June 30, 2000",78.56%
"March 31, 2000",59.15%
"Dec. 31, 1999",43.56%
"Sept. 30, 1999",63.81%
"June 30, 1999",64.33%
"March 31, 1999",62.30%
"Dec. 31, 1998",49.75%
"Sept. 30, 1998",69.39%
"June 30, 1998",67.20%
"March 31, 1998",62.69%
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",69.27%
"March 31, 1997",60.73%
"Dec. 31, 1996",63.56%
"Sept. 30, 1996",73.84%
"June 30, 1996",69.53%
"March 31, 1996",62.18%
"Dec. 31, 1995",66.97%
"Sept. 30, 1995",71.79%
"June 30, 1995",67.88%
"March 31, 1995",64.53%
"Dec. 31, 1994",66.62%
"Sept. 30, 1994",70.08%
"June 30, 1994",66.65%
"March 31, 1994",62.79%
