date,sales_est_0y
"March 14, 2020",12.41B
"March 4, 2020",12.41B
"Feb. 25, 2020",12.43B
"Feb. 21, 2020",12.46B
"Feb. 14, 2020",12.43B
"Feb. 11, 2020",12.42B
"Feb. 10, 2020",12.42B
"Jan. 31, 2020",12.34B
"Jan. 30, 2020",12.46B
"Jan. 22, 2020",12.43B
"Jan. 17, 2020",12.46B
"Jan. 15, 2020",12.48B
"Jan. 9, 2020",12.47B
"Dec. 31, 2019",11.85B
"Dec. 16, 2019",11.85B
"Nov. 19, 2019",11.87B
"Nov. 6, 2019",11.86B
"Nov. 4, 2019",11.86B
"Oct. 29, 2019",11.86B
"Oct. 28, 2019",11.89B
"Oct. 25, 2019",11.91B
"Oct. 24, 2019",11.96B
"Oct. 21, 2019",12.03B
"Oct. 17, 2019",12.03B
"Oct. 14, 2019",12.04B
"Oct. 10, 2019",12.03B
"Sept. 30, 2019",12.06B
"Sept. 24, 2019",12.09B
"Sept. 13, 2019",12.06B
"Sept. 9, 2019",12.06B
"Aug. 30, 2019",12.07B
"Aug. 9, 2019",11.95B
"Aug. 7, 2019",11.97B
"Aug. 2, 2019",12.00B
"Aug. 1, 2019",11.75B
"July 22, 2019",12.11B
"July 18, 2019",12.11B
"July 16, 2019",11.98B
"July 15, 2019",11.98B
"July 12, 2019",11.98B
"June 25, 2019",11.97B
"June 20, 2019",11.98B
"June 10, 2019",12.13B
"June 4, 2019",12.13B
"May 23, 2019",12.10B
"May 22, 2019",12.10B
"May 16, 2019",11.96B
"May 1, 2019",11.98B
"April 30, 2019",11.98B
"April 29, 2019",11.98B
"April 26, 2019",11.81B
"April 25, 2019",11.79B
"April 24, 2019",12.27B
"April 23, 2019",12.27B
"April 18, 2019",12.27B
"April 15, 2019",12.27B
"April 8, 2019",12.25B
"April 5, 2019",12.23B
"March 20, 2019",12.23B
"March 13, 2019",12.24B
"March 12, 2019",12.25B
"March 7, 2019",12.07B
"Feb. 19, 2019",12.08B
"Feb. 1, 2019",11.92B
"Jan. 31, 2019",11.99B
"Jan. 30, 2019",12.23B
"Jan. 14, 2019",12.23B
"Jan. 7, 2019",12.23B
"Jan. 4, 2019",12.28B
"Dec. 31, 2018",11.57B
"Dec. 14, 2018",11.59B
"Nov. 7, 2018",11.58B
"Nov. 2, 2018",11.58B
"Oct. 31, 2018",11.64B
"Oct. 30, 2018",11.61B
"Oct. 29, 2018",11.69B
"Oct. 27, 2018",11.69B
"Oct. 26, 2018",11.69B
"Oct. 25, 2018",11.59B
"Oct. 23, 2018",11.76B
"Oct. 18, 2018",11.76B
"Oct. 9, 2018",11.76B
"Sept. 24, 2018",11.76B
"Sept. 21, 2018",11.76B
"Sept. 17, 2018",11.76B
"Sept. 10, 2018",11.76B
"Sept. 7, 2018",11.76B
"Aug. 29, 2018",11.76B
"Aug. 28, 2018",11.76B
"Aug. 16, 2018",11.76B
"Aug. 14, 2018",11.77B
"Aug. 8, 2018",11.77B
"Aug. 7, 2018",11.78B
"July 31, 2018",11.78B
"July 27, 2018",11.84B
"July 13, 2018",11.87B
"July 11, 2018",11.88B
"June 20, 2018",11.88B
"June 6, 2018",11.90B
"May 15, 2018",11.94B
"May 11, 2018",12.00B
"May 8, 2018",11.80B
"May 7, 2018",11.83B
"May 4, 2018",11.83B
"April 27, 2018",11.83B
"April 20, 2018",11.94B
"April 19, 2018",11.95B
"April 16, 2018",11.88B
"April 13, 2018",11.89B
"April 10, 2018",11.93B
"March 28, 2018",11.93B
"March 27, 2018",11.93B
"March 15, 2018",11.94B
"March 2, 2018",11.95B
"Feb. 20, 2018",12.01B
"Feb. 13, 2018",12.01B
"Feb. 8, 2018",11.86B
"Feb. 7, 2018",11.83B
"Feb. 6, 2018",11.97B
"Feb. 2, 2018",11.97B
"Feb. 1, 2018",12.04B
"Jan. 24, 2018",12.07B
"Jan. 19, 2018",12.07B
"Jan. 17, 2018",12.06B
"Jan. 11, 2018",12.11B
"Jan. 2, 2018",12.11B
