date,ni_per_employee_annual
"Dec. 31, 2019",122450.8
"Dec. 31, 2018",113470.7
"Dec. 31, 2017",101386.6
"Dec. 31, 2016",96814.52
"Dec. 31, 2015",84181.71
"Dec. 31, 2014",87771.23
"Dec. 31, 2013",83255.10
"Dec. 31, 2012",80429.05
"Dec. 31, 2011",74433.41
"Dec. 31, 2010",66766.84
"Dec. 31, 2009",60324.89
"Dec. 31, 2008",76460.26
"Dec. 31, 2007",74990.00
"Dec. 31, 2006",58593.36
"Dec. 31, 2005",50215.07
"Dec. 31, 2004",32810.49
"Dec. 31, 2003",48454.03
"Dec. 31, 2002",-142010.5
"Dec. 31, 2001",49061.38
"Dec. 31, 2000",42298.51
"Dec. 31, 1999",71175.34
"Dec. 31, 1998",86712.50
"Dec. 31, 1997",32502.40
"Dec. 31, 1996",37052.03
"Dec. 31, 1995",35958.28
"Dec. 31, 1994",31318.33
"Dec. 31, 1993",27529.26
"Dec. 31, 1992",28248.82
"Dec. 31, 1991",30718.60
"Dec. 31, 1990",26110.18
