date,cash_dividend_payout_ratio
"Dec. 31, 2019",-82.22%
"Sept. 30, 2019",-69.77%
"June 30, 2019",-98.06%
"March 31, 2019",-81.27%
"Dec. 31, 2018",-87.43%
"Sept. 30, 2018",-174.3%
"June 30, 2018",-205.4%
"March 31, 2018",-1.20K%
"Dec. 31, 2017",-611.0%
"Sept. 30, 2017",-262.6%
"June 30, 2017",-208.0%
"March 31, 2017",-250.4%
"Dec. 31, 2016",-476.2%
"Sept. 30, 2016",-93.36%
"June 30, 2016",-96.97%
"March 31, 2016",-82.55%
"Dec. 31, 2015",-94.11%
"Sept. 30, 2015",989.3%
"June 30, 2015",2.17K%
"March 31, 2015",-600.2%
"Dec. 31, 2014",-103.9%
"Sept. 30, 2014",-83.64%
"June 30, 2014",-65.22%
"March 31, 2014",-56.01%
"Dec. 31, 2013",-63.36%
"Sept. 30, 2013",-64.68%
"June 30, 2013",-58.68%
"March 31, 2013",-75.04%
"Dec. 31, 2012",-86.08%
"Sept. 30, 2012",-137.3%
"June 30, 2012",-1.23K%
"March 31, 2012",782.6%
"Dec. 31, 2011",237.4%
"Sept. 30, 2011",1.38K%
"June 30, 2011",-168.9%
"March 31, 2011",-161.5%
"Dec. 31, 2010",-134.1%
"Sept. 30, 2010",-187.8%
"June 30, 2010",-398.0%
"March 31, 2010",-302.9%
"Dec. 31, 2009",329.3%
"Sept. 30, 2009",190.4%
"June 30, 2009",-2.81K%
"March 31, 2009",-254.3%
"Dec. 31, 2008",-89.73%
"Sept. 30, 2008",-52.69%
"June 30, 2008",-54.95%
"March 31, 2008",-65.32%
"Dec. 31, 2007",-69.70%
"Sept. 30, 2007",-157.7%
"June 30, 2007",-151.8%
"March 31, 2007",895.0%
"Dec. 31, 2006",115.9%
"Sept. 30, 2006",-346.1%
"June 30, 2006",184.1%
"March 31, 2006",653.2%
"Dec. 31, 2005",-231.4%
"Sept. 30, 2005",195.5%
"June 30, 2005",-282.3%
"March 31, 2005",-73.61%
"Dec. 31, 2004",-67.43%
"Sept. 30, 2004",40.61%
"June 30, 2004",30.71%
"March 31, 2004",22.53%
"Dec. 31, 2003",22.65%
"Sept. 30, 2003",12.75%
"June 30, 2003",16.45%
"March 31, 2003",24.16%
"Dec. 31, 2002",35.22%
"Sept. 30, 2002",-49.82%
"June 30, 2002",-30.11%
"March 31, 2002",-18.95%
"Dec. 31, 2001",-13.72%
"Sept. 30, 2001",-13.70%
"June 30, 2001",-16.96%
"March 31, 2001",-36.44%
"Dec. 31, 2000",-27.91%
"Sept. 30, 2000",-22.51%
"June 30, 2000",-29.76%
"March 31, 2000",-15.62%
"Dec. 31, 1999",-33.42%
"Sept. 30, 1999",127.8%
"June 30, 1999",-31.02%
"March 31, 1999",70.45%
"Dec. 31, 1998",75.50%
"Sept. 30, 1998",64.30%
"June 30, 1998",77.59%
"March 31, 1998",70.72%
"Dec. 31, 1997",70.84%
"Sept. 30, 1997",103.4%
"June 30, 1997",73.75%
"March 31, 1997",133.5%
"Dec. 31, 1996",150.2%
"Sept. 30, 1996",227.4%
"June 30, 1996",254.4%
"March 31, 1996",138.9%
"Dec. 31, 1995",110.8%
"Sept. 30, 1995",112.6%
"June 30, 1995",157.9%
"March 31, 1995",165.6%
"Dec. 31, 1994",204.4%
