date,return_on_equity
"Dec. 31, 2019",10.84%
"Sept. 30, 2019",10.40%
"June 30, 2019",10.36%
"March 31, 2019",10.72%
"Dec. 31, 2018",10.68%
"Sept. 30, 2018",10.61%
"June 30, 2018",10.81%
"March 31, 2018",10.58%
"Dec. 31, 2017",10.22%
"Sept. 30, 2017",10.65%
"June 30, 2017",10.48%
"March 31, 2017",10.29%
"Dec. 31, 2016",10.40%
"Sept. 30, 2016",10.32%
"June 30, 2016",10.16%
"March 31, 2016",10.26%
"Dec. 31, 2015",9.49%
"Sept. 30, 2015",9.45%
"June 30, 2015",9.00%
"March 31, 2015",9.08%
"Dec. 31, 2014",10.29%
"Sept. 30, 2014",9.96%
"June 30, 2014",10.10%
"March 31, 2014",10.28%
"Dec. 31, 2013",10.21%
"Sept. 30, 2013",10.26%
"June 30, 2013",10.86%
"March 31, 2013",10.89%
"Dec. 31, 2012",10.45%
"Sept. 30, 2012",10.56%
"June 30, 2012",10.01%
"March 31, 2012",9.81%
"Dec. 31, 2011",10.16%
"Sept. 30, 2011",10.33%
"June 30, 2011",10.27%
"March 31, 2011",10.26%
"Dec. 31, 2010",10.02%
"Sept. 30, 2010",10.70%
"June 30, 2010",9.60%
"March 31, 2010",9.37%
"Dec. 31, 2009",9.57%
"Sept. 30, 2009",9.62%
"June 30, 2009",9.88%
"March 31, 2009",9.92%
"Dec. 31, 2008",9.83%
"Sept. 30, 2008",9.54%
"June 30, 2008",10.27%
"March 31, 2008",9.82%
"Dec. 31, 2007",9.44%
"Sept. 30, 2007",9.09%
"June 30, 2007",8.81%
"March 31, 2007",9.49%
"Dec. 31, 2006",10.22%
"Sept. 30, 2006",10.64%
"June 30, 2006",10.29%
"March 31, 2006",10.12%
"Dec. 31, 2005",9.68%
"Sept. 30, 2005",9.01%
"June 30, 2005",6.20%
"March 31, 2005",6.26%
"Dec. 31, 2004",6.82%
"Sept. 30, 2004",14.86%
"June 30, 2004",20.22%
"March 31, 2004",13.03%
"Dec. 31, 2003",13.13%
"Sept. 30, 2003",-1.26%
"June 30, 2003",-48.26%
"March 31, 2003",-37.95%
"Dec. 31, 2002",-36.75%
"Sept. 30, 2002",-29.46%
"June 30, 2002",9.37%
"March 31, 2002",11.12%
"Dec. 31, 2001",13.32%
"Sept. 30, 2001",13.51%
"June 30, 2001",11.82%
"March 31, 2001",13.12%
"Dec. 31, 2000",9.73%
"Sept. 30, 2000",18.23%
"June 30, 2000",22.35%
"March 31, 2000",18.45%
"Dec. 31, 1999",18.66%
"Sept. 30, 1999",24.34%
"June 30, 1999",24.31%
"March 31, 1999",25.47%
"Dec. 31, 1998",25.93%
"Sept. 30, 1998",10.86%
"June 30, 1998",10.57%
"March 31, 1998",10.04%
"Dec. 31, 1997",10.66%
"Sept. 30, 1997",11.58%
"June 30, 1997",11.73%
"March 31, 1997",12.97%
"Dec. 31, 1996",13.19%
"Sept. 30, 1996",12.35%
"June 30, 1996",12.77%
"March 31, 1996",13.79%
"Dec. 31, 1995",14.08%
"Sept. 30, 1995",13.75%
"June 30, 1995",13.30%
"March 31, 1995",13.06%
"Dec. 31, 1994",12.99%
"Sept. 30, 1994",13.72%
