date,total_employee_number
"Dec. 31, 2019",11317
"Dec. 31, 2018",11092
"Dec. 31, 2017",11134
"Dec. 31, 2016",11512
"Dec. 31, 2015",11687
"Dec. 31, 2014",11691
"Dec. 31, 2013",11581
"Dec. 31, 2012",11198
"Dec. 31, 2011",11312
"Dec. 31, 2010",11290
"Dec. 31, 2009",11351
"Dec. 31, 2008",11223
"Dec. 31, 2007",5663
"Dec. 31, 2006",9735
"Dec. 31, 2005",9781
"Dec. 31, 2004",10650
"Dec. 31, 2003",11048
"Dec. 31, 2002",14642
"Dec. 31, 2001",16595
"Dec. 31, 2000",15812
"Dec. 31, 1999",9098
"Dec. 31, 1998",6945
"Dec. 31, 1997",7455
"Dec. 31, 1996",7147
"Dec. 31, 1995",7670
"Dec. 31, 1994",7670
"Dec. 31, 1993",7880
"Dec. 31, 1992",7500
"Dec. 31, 1991",7113
"Dec. 31, 1990",7471
"Dec. 31, 1989",7504
