date,free_cash_flow
"Dec. 31, 2019",-501.00M
"Sept. 30, 2019",-106.00M
"June 30, 2019",-304.00M
"March 31, 2019",-51.00M
"Dec. 31, 2018",-647.00M
"Sept. 30, 2018",229.00M
"June 30, 2018",-444.00M
"March 31, 2018",27.00M
"Dec. 31, 2017",-229.00M
"Sept. 30, 2017",293.00M
"June 30, 2017",-151.00M
"March 31, 2017",-31.00M
"Dec. 31, 2016",-381.86M
"Sept. 30, 2016",226.96M
"June 30, 2016",-90.33M
"March 31, 2016",102.23M
"Dec. 31, 2015",-948.55M
"Sept. 30, 2015",272.47M
"June 30, 2015",-183.70M
"March 31, 2015",214.78M
"Dec. 31, 2014",-243.31M
"Sept. 30, 2014",239.24M
"June 30, 2014",-306.26M
"March 31, 2014",-229.98M
"Dec. 31, 2013",-360.00M
"Sept. 30, 2013",71.26M
"June 30, 2013",-412.63M
"March 31, 2013",-109.92M
"Dec. 31, 2012",-331.53M
"Sept. 30, 2012",4.344M
"June 30, 2012",-218.53M
"March 31, 2012",-19.74M
"Dec. 31, 2011",-119.96M
"Sept. 30, 2011",319.06M
"June 30, 2011",-118.26M
"March 31, 2011",119.10M
"Dec. 31, 2010",-286.59M
"Sept. 30, 2010",18.45M
"June 30, 2010",-124.45M
"March 31, 2010",70.34M
"Dec. 31, 2009",-192.13M
"Sept. 30, 2009",139.84M
"June 30, 2009",-156.42M
"March 31, 2009",334.71M
"Dec. 31, 2008",-114.15M
"Sept. 30, 2008",-77.88M
"June 30, 2008",-293.83M
"March 31, 2008",59.81M
"Dec. 31, 2007",-448.78M
"Sept. 30, 2007",-35.92M
"June 30, 2007",-167.39M
"March 31, 2007",108.52M
"Dec. 31, 2006",-141.61M
"Sept. 30, 2006",-40.88M
"June 30, 2006",114.49M
"March 31, 2006",377.45M
"Dec. 31, 2005",-553.59M
"Sept. 30, 2005",252.45M
"June 30, 2005",-23.23M
"March 31, 2005",176.07M
"Dec. 31, 2004",-231.29M
"Sept. 30, 2004",-40.72M
"June 30, 2004",-350.65M
"March 31, 2004",147.40M
"Dec. 31, 2003",1.011B
"Sept. 30, 2003",180.44M
"June 30, 2003",7.706M
"March 31, 2003",139.98M
"Dec. 31, 2002",2.051B
"Sept. 30, 2002",96.19M
"June 30, 2002",-460.15M
"March 31, 2002",-277.20M
"Dec. 31, 2001",-464.65M
"Sept. 30, 2001",-562.17M
"June 30, 2001",-1.445B
"March 31, 2001",-1.310B
"Dec. 31, 2000",-66.91M
"Sept. 30, 2000",-142.66M
"June 30, 2000",-34.73M
"March 31, 2000",-1.529B
"Dec. 31, 1999",-1.597B
"Sept. 30, 1999",1.040B
"June 30, 1999",-1.083B
"March 31, 1999",165.50M
"Dec. 31, 1998",52.30M
"Sept. 30, 1998",149.20M
"June 30, 1998",-56.40M
"March 31, 1998",145.90M
"Dec. 31, 1997",104.20M
"Sept. 30, 1997",85.70M
"June 30, 1997",-34.90M
"March 31, 1997",138.20M
"Dec. 31, 1996",6.10M
"Sept. 30, 1996",163.00M
"June 30, 1996",-157.30M
"March 31, 1996",120.20M
"Dec. 31, 1995",-39.40M
"Sept. 30, 1995",153.10M
"June 30, 1995",-94.80M
"March 31, 1995",153.90M
"Dec. 31, 1994",-43.40M
"Sept. 30, 1994",103.90M
"June 30, 1994",-101.20M
"March 31, 1994",132.00M
