date,sales_est_0q
"Feb. 14, 2020",3.283B
"Feb. 3, 2020",3.267B
"Dec. 31, 2019",3.040B
"Dec. 16, 2019",3.037B
"Oct. 28, 2019",3.029B
"Oct. 25, 2019",3.028B
"Oct. 24, 2019",2.820B
"Oct. 21, 2019",3.023B
"Oct. 14, 2019",3.021B
"Oct. 11, 2019",3.012B
"Sept. 30, 2019",3.546B
"Sept. 9, 2019",3.533B
"Aug. 14, 2019",3.621B
"Aug. 7, 2019",3.494B
"July 23, 2019",3.534B
"July 18, 2019",3.524B
"July 15, 2019",3.609B
"June 30, 2019",2.837B
"June 25, 2019",2.903B
"June 24, 2019",3.003B
"May 23, 2019",3.003B
"May 22, 2019",3.005B
"April 30, 2019",2.831B
"April 26, 2019",2.827B
"April 22, 2019",3.002B
"April 17, 2019",3.002B
"April 15, 2019",2.967B
"March 31, 2019",3.110B
"March 20, 2019",3.062B
"March 12, 2019",3.145B
"March 7, 2019",3.108B
"Feb. 19, 2019",3.112B
"Feb. 1, 2019",3.017B
"Jan. 31, 2019",3.016B
"Jan. 24, 2019",3.207B
"Dec. 31, 2018",2.845B
"Nov. 7, 2018",2.878B
"Oct. 31, 2018",2.925B
"Oct. 30, 2018",2.937B
"Oct. 27, 2018",2.915B
"Oct. 26, 2018",2.864B
"Oct. 25, 2018",2.863B
"Oct. 19, 2018",3.034B
"Oct. 18, 2018",3.034B
"Oct. 9, 2018",2.704B
"Sept. 30, 2018",3.715B
"Sept. 7, 2018",3.702B
"Aug. 14, 2018",3.704B
"July 27, 2018",3.771B
"July 17, 2018",3.663B
"July 11, 2018",3.663B
"June 30, 2018",2.712B
"June 20, 2018",2.738B
"June 16, 2018",2.752B
"June 1, 2018",2.752B
"May 11, 2018",2.752B
"May 7, 2018",2.684B
"May 4, 2018",2.684B
"May 1, 2018",2.746B
"April 27, 2018",2.746B
"April 20, 2018",2.749B
"April 19, 2018",2.755B
"April 18, 2018",2.614B
"April 10, 2018",2.606B
"March 31, 2018",2.975B
"March 28, 2018",2.788B
"March 15, 2018",2.787B
"March 3, 2018",2.738B
"Feb. 13, 2018",2.952B
"Feb. 8, 2018",3.016B
"Feb. 7, 2018",2.654B
"Feb. 2, 2018",2.732B
"Jan. 19, 2018",2.943B
