date,three_year_return
"March 19, 2020",32.25%
"March 18, 2020",39.95%
"March 17, 2020",48.07%
"March 16, 2020",33.91%
"March 13, 2020",54.61%
"March 12, 2020",40.90%
"March 11, 2020",53.61%
"March 10, 2020",57.45%
"March 9, 2020",57.86%
"March 6, 2020",60.82%
"March 5, 2020",58.39%
"March 4, 2020",58.28%
"March 3, 2020",50.30%
"March 2, 2020",50.22%
"Feb. 28, 2020",42.58%
"Feb. 27, 2020",49.73%
"Feb. 26, 2020",57.71%
"Feb. 25, 2020",58.84%
"Feb. 24, 2020",62.37%
"Feb. 21, 2020",66.91%
"Feb. 20, 2020",68.26%
"Feb. 19, 2020",68.55%
"Feb. 18, 2020",69.43%
"Feb. 14, 2020",68.41%
"Feb. 13, 2020",66.12%
"Feb. 12, 2020",64.59%
"Feb. 11, 2020",64.43%
"Feb. 10, 2020",64.66%
"Feb. 7, 2020",64.93%
"Feb. 6, 2020",66.99%
"Feb. 5, 2020",67.19%
"Feb. 4, 2020",67.19%
"Feb. 3, 2020",67.55%
"Jan. 31, 2020",67.45%
"Jan. 30, 2020",68.82%
"Jan. 29, 2020",65.57%
"Jan. 28, 2020",65.08%
"Jan. 27, 2020",64.34%
"Jan. 24, 2020",64.67%
"Jan. 23, 2020",63.93%
"Jan. 22, 2020",61.21%
"Jan. 21, 2020",60.70%
"Jan. 17, 2020",58.66%
"Jan. 16, 2020",59.98%
"Jan. 15, 2020",58.60%
"Jan. 14, 2020",56.14%
"Jan. 13, 2020",55.89%
"Jan. 10, 2020",55.47%
"Jan. 9, 2020",55.19%
"Jan. 8, 2020",52.49%
"Jan. 7, 2020",52.64%
"Jan. 6, 2020",52.96%
"Jan. 3, 2020",54.31%
"Jan. 2, 2020",53.27%
"Dec. 31, 2019",56.00%
"Dec. 30, 2019",55.50%
"Dec. 27, 2019",54.96%
"Dec. 26, 2019",54.39%
"Dec. 24, 2019",54.56%
"Dec. 23, 2019",54.95%
"Dec. 20, 2019",56.54%
"Dec. 19, 2019",56.65%
"Dec. 18, 2019",56.77%
"Dec. 17, 2019",55.96%
