date,return_on_invested_capital
"Dec. 31, 2019",4.47%
"Sept. 30, 2019",4.31%
"June 30, 2019",4.28%
"March 31, 2019",4.46%
"Dec. 31, 2018",4.46%
"Sept. 30, 2018",4.45%
"June 30, 2018",4.53%
"March 31, 2018",4.46%
"Dec. 31, 2017",4.33%
"Sept. 30, 2017",4.53%
"June 30, 2017",4.46%
"March 31, 2017",4.41%
"Dec. 31, 2016",4.48%
"Sept. 30, 2016",4.48%
"June 30, 2016",4.43%
"March 31, 2016",4.50%
"Dec. 31, 2015",4.19%
"Sept. 30, 2015",4.20%
"June 30, 2015",4.00%
"March 31, 2015",4.04%
"Dec. 31, 2014",4.58%
"Sept. 30, 2014",4.45%
"June 30, 2014",4.51%
"March 31, 2014",4.61%
"Dec. 31, 2013",4.58%
"Sept. 30, 2013",4.60%
"June 30, 2013",4.86%
"March 31, 2013",4.88%
"Dec. 31, 2012",4.69%
"Sept. 30, 2012",4.76%
"June 30, 2012",4.53%
"March 31, 2012",4.45%
"Dec. 31, 2011",4.60%
"Sept. 30, 2011",4.65%
"June 30, 2011",4.61%
"March 31, 2011",4.60%
"Dec. 31, 2010",4.49%
"Sept. 30, 2010",4.80%
"June 30, 2010",4.29%
"March 31, 2010",4.20%
"Dec. 31, 2009",4.27%
"Sept. 30, 2009",4.27%
"June 30, 2009",4.33%
"March 31, 2009",4.33%
"Dec. 31, 2008",4.26%
"Sept. 30, 2008",4.12%
"June 30, 2008",4.44%
"March 31, 2008",4.27%
"Dec. 31, 2007",4.12%
"Sept. 30, 2007",3.97%
"June 30, 2007",3.85%
"March 31, 2007",4.13%
"Dec. 31, 2006",4.40%
"Sept. 30, 2006",4.57%
"June 30, 2006",4.39%
"March 31, 2006",4.32%
"Dec. 31, 2005",4.11%
"Sept. 30, 2005",3.85%
"June 30, 2005",2.65%
"March 31, 2005",2.69%
"Dec. 31, 2004",2.94%
"Sept. 30, 2004",6.36%
"June 30, 2004",8.54%
"March 31, 2004",4.71%
"Dec. 31, 2003",4.70%
"Sept. 30, 2003",-0.39%
"June 30, 2003",-14.47%
"March 31, 2003",-10.94%
"Dec. 31, 2002",-11.02%
"Sept. 30, 2002",-8.46%
"June 30, 2002",2.81%
"March 31, 2002",3.38%
"Dec. 31, 2001",4.18%
"Sept. 30, 2001",4.42%
"June 30, 2001",3.93%
"March 31, 2001",4.39%
"Dec. 31, 2000",3.39%
"Sept. 30, 2000",6.44%
"June 30, 2000",8.02%
"March 31, 2000",7.18%
"Dec. 31, 1999",8.03%
"Sept. 30, 1999",11.04%
"June 30, 1999",11.40%
"March 31, 1999",12.46%
"Dec. 31, 1998",12.61%
"Sept. 30, 1998",5.29%
"June 30, 1998",5.06%
"March 31, 1998",4.84%
"Dec. 31, 1997",5.09%
"Sept. 30, 1997",5.51%
"June 30, 1997",5.49%
"March 31, 1997",6.16%
"Dec. 31, 1996",6.24%
"Sept. 30, 1996",5.90%
"June 30, 1996",6.09%
"March 31, 1996",6.65%
"Dec. 31, 1995",6.78%
"Sept. 30, 1995",6.64%
"June 30, 1995",6.39%
"March 31, 1995",6.35%
"Dec. 31, 1994",6.31%
"Sept. 30, 1994",6.72%
