date,revenue_per_employee_annual
"Dec. 31, 2019",1.029M
"Dec. 31, 2018",1.038M
"Dec. 31, 2017",1.007M
"Dec. 31, 2016",957541.3
"Dec. 31, 2015",943108.9
"Dec. 31, 2014",1.004M
"Dec. 31, 2013",958332.0
"Dec. 31, 2012",899886.5
"Dec. 31, 2011",942816.6
"Dec. 31, 2010",910820.8
"Dec. 31, 2009",854461.2
"Dec. 31, 2008",1.327M
"Dec. 31, 2007",1.303M
"Dec. 31, 2006",1.008M
"Dec. 31, 2005",942242.4
"Dec. 31, 2004",757264.4
"Dec. 31, 2003",601889.2
"Dec. 31, 2002",446537.4
"Dec. 31, 2001",538403.9
"Dec. 31, 2000",916024.2
"Dec. 31, 1999",963087.0
"Dec. 31, 1998",918376.4
"Dec. 31, 1997",374441.9
"Dec. 31, 1996",358264.2
"Dec. 31, 1995",334889.2
"Dec. 31, 1994",319807.1
"Dec. 31, 1993",312613.8
"Dec. 31, 1992",295558.7
"Dec. 31, 1991",301865.1
"Dec. 31, 1990",275726.2
