date,days_payables_outstanding
"Dec. 31, 2019",68.94
"Sept. 30, 2019",63.74
"June 30, 2019",64.71
"March 31, 2019",57.51
"Dec. 31, 2018",58.10
"Sept. 30, 2018",60.61
"June 30, 2018",58.81
"March 31, 2018",59.05
"Dec. 31, 2017",57.58
"Sept. 30, 2017",53.12
"June 30, 2017",51.18
"March 31, 2017",48.48
"Dec. 31, 2016",50.80
"Sept. 30, 2016",46.82
"June 30, 2016",50.71
"March 31, 2016",48.34
"Dec. 31, 2015",50.88
"Sept. 30, 2015",45.30
"June 30, 2015",47.46
"March 31, 2015",49.05
"Dec. 31, 2014",49.66
"Sept. 30, 2014",49.01
"June 30, 2014",48.46
"March 31, 2014",49.99
"Dec. 31, 2013",52.04
"Sept. 30, 2013",48.04
"June 30, 2013",48.48
"March 31, 2013",47.57
"Dec. 31, 2012",46.65
"Sept. 30, 2012",47.56
"June 30, 2012",50.99
"March 31, 2012",46.51
"Dec. 31, 2011",23.01
"Sept. 30, 2011",59.87
"June 30, 2011",68.56
"March 31, 2011",61.13
"Dec. 31, 2010",24.18
"Sept. 30, 2010",56.85
"June 30, 2010",68.05
"March 31, 2010",60.06
"Dec. 31, 2009",59.87
"Sept. 30, 2009",62.17
"June 30, 2009",80.83
"March 31, 2009",69.10
"Dec. 31, 2008",58.15
"Sept. 30, 2008",50.51
"June 30, 2008",51.45
"March 31, 2008",99.63
"Dec. 31, 2007",58.53
"Sept. 30, 2007",62.74
"June 30, 2007",67.47
"March 31, 2007",108.66
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",86.34
"March 31, 2006",113.22
"Dec. 31, 2005",70.00
"Sept. 30, 2005",72.65
"June 30, 2005",75.44
"March 31, 2005",98.20
"Dec. 31, 2004",142.25
"Sept. 30, 2004",68.56
"June 30, 2004",84.72
"March 31, 2004",99.64
"Dec. 31, 2003",105.46
"Sept. 30, 2003",69.59
"June 30, 2003",225.44
"March 31, 2003",126.11
"Dec. 31, 2002",383.63
"Sept. 30, 2002",202.48
"June 30, 2002",198.50
"March 31, 2002",284.80
"Dec. 31, 2001",185.10
"Sept. 30, 2001",116.89
"June 30, 2001",123.20
"March 31, 2001",166.75
"Dec. 31, 2000",36.90
"Sept. 30, 2000",50.48
"June 30, 2000",56.54
"March 31, 2000",272.99
"Dec. 31, 1999",14.74
"Sept. 30, 1999",77.29
"June 30, 1999",87.73
"March 31, 1999",89.69
"Dec. 31, 1998",9.830
"Sept. 30, 1998",75.89
"June 30, 1998",83.08
"March 31, 1998",78.90
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",92.27
"March 31, 1997",68.28
"Dec. 31, 1996",78.10
"Sept. 30, 1996",90.43
"June 30, 1996",98.35
"March 31, 1996",84.63
"Dec. 31, 1995",95.70
"Sept. 30, 1995",87.08
"June 30, 1995",88.67
"March 31, 1995",83.43
"Dec. 31, 1994",93.63
"Sept. 30, 1994",88.72
"June 30, 1994",88.49
