date,kz_index
"Dec. 31, 2018",1.394
"Dec. 31, 2017",1.374
"Dec. 31, 2016",1.210
"Dec. 31, 2015",
"Dec. 31, 2014",1.150
"Dec. 31, 2013",1.053
"Dec. 31, 2012",
"Dec. 31, 2011",1.021
"Dec. 31, 2010",0.964
"Dec. 31, 2009",
"Dec. 31, 2008",0.942
"Dec. 31, 2007",1.063
"Dec. 31, 2006",1.082
"Dec. 31, 2005",1.076
"Dec. 31, 2004",1.074
"Dec. 31, 2003",1.020
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",0.7911
"Dec. 31, 1999",-2.679
"Dec. 31, 1998",-0.2376
"Dec. 31, 1997",-0.0759
"Dec. 31, 1996",-0.0807
"Dec. 31, 1995",-0.0726
