date,return_on_assets
"Dec. 31, 2019",2.82%
"Sept. 30, 2019",2.72%
"June 30, 2019",2.72%
"March 31, 2019",2.84%
"Dec. 31, 2018",2.85%
"Sept. 30, 2018",2.84%
"June 30, 2018",2.88%
"March 31, 2018",2.83%
"Dec. 31, 2017",2.73%
"Sept. 30, 2017",2.86%
"June 30, 2017",2.82%
"March 31, 2017",2.78%
"Dec. 31, 2016",2.82%
"Sept. 30, 2016",2.82%
"June 30, 2016",2.78%
"March 31, 2016",2.82%
"Dec. 31, 2015",2.62%
"Sept. 30, 2015",2.63%
"June 30, 2015",2.52%
"March 31, 2015",2.56%
"Dec. 31, 2014",2.92%
"Sept. 30, 2014",2.85%
"June 30, 2014",2.89%
"March 31, 2014",2.95%
"Dec. 31, 2013",2.93%
"Sept. 30, 2013",2.95%
"June 30, 2013",3.12%
"March 31, 2013",3.13%
"Dec. 31, 2012",3.00%
"Sept. 30, 2012",3.05%
"June 30, 2012",2.91%
"March 31, 2012",2.87%
"Dec. 31, 2011",2.99%
"Sept. 30, 2011",3.04%
"June 30, 2011",3.01%
"March 31, 2011",3.00%
"Dec. 31, 2010",2.91%
"Sept. 30, 2010",3.09%
"June 30, 2010",2.76%
"March 31, 2010",2.69%
"Dec. 31, 2009",2.72%
"Sept. 30, 2009",2.72%
"June 30, 2009",2.76%
"March 31, 2009",2.75%
"Dec. 31, 2008",2.70%
"Sept. 30, 2008",2.60%
"June 30, 2008",2.77%
"March 31, 2008",2.65%
"Dec. 31, 2007",2.54%
"Sept. 30, 2007",2.43%
"June 30, 2007",2.34%
"March 31, 2007",2.51%
"Dec. 31, 2006",2.67%
"Sept. 30, 2006",2.75%
"June 30, 2006",2.63%
"March 31, 2006",2.59%
"Dec. 31, 2005",2.46%
"Sept. 30, 2005",2.31%
"June 30, 2005",1.61%
"March 31, 2005",1.63%
"Dec. 31, 2004",1.78%
"Sept. 30, 2004",3.88%
"June 30, 2004",5.26%
"March 31, 2004",3.06%
"Dec. 31, 2003",2.76%
"Sept. 30, 2003",-0.25%
"June 30, 2003",-9.58%
"March 31, 2003",-7.50%
"Dec. 31, 2002",-7.58%
"Sept. 30, 2002",-6.46%
"June 30, 2002",2.13%
"March 31, 2002",2.54%
"Dec. 31, 2001",3.10%
"Sept. 30, 2001",3.27%
"June 30, 2001",2.90%
"March 31, 2001",3.24%
"Dec. 31, 2000",2.50%
"Sept. 30, 2000",4.76%
"June 30, 2000",5.94%
"March 31, 2000",5.22%
"Dec. 31, 1999",5.70%
"Sept. 30, 1999",7.71%
"June 30, 1999",7.90%
"March 31, 1999",8.52%
"Dec. 31, 1998",8.64%
"Sept. 30, 1998",3.62%
"June 30, 1998",3.47%
"March 31, 1998",3.28%
"Dec. 31, 1997",3.46%
"Sept. 30, 1997",3.75%
"June 30, 1997",3.77%
"March 31, 1997",4.21%
"Dec. 31, 1996",4.28%
"Sept. 30, 1996",4.03%
"June 30, 1996",4.16%
"March 31, 1996",4.49%
"Dec. 31, 1995",4.57%
"Sept. 30, 1995",4.47%
"June 30, 1995",4.30%
"March 31, 1995",4.23%
"Dec. 31, 1994",4.21%
"Sept. 30, 1994",4.47%
