date,graham_number
"Dec. 31, 2019",38.72
"Sept. 30, 2019",37.54
"June 30, 2019",36.39
"March 31, 2019",36.78
"Dec. 31, 2018",36.35
"Sept. 30, 2018",35.92
"June 30, 2018",35.38
"March 31, 2018",34.74
"Dec. 31, 2017",33.87
"Sept. 30, 2017",34.44
"June 30, 2017",33.45
"March 31, 2017",32.93
"Dec. 31, 2016",32.87
"Sept. 30, 2016",32.50
"June 30, 2016",31.63
"March 31, 2016",31.58
"Dec. 31, 2015",30.19
"Sept. 30, 2015",29.97
"June 30, 2015",28.72
"March 31, 2015",28.65
"Dec. 31, 2014",30.37
"Sept. 30, 2014",29.61
"June 30, 2014",29.28
"March 31, 2014",29.21
"Dec. 31, 2013",28.73
"Sept. 30, 2013",28.64
"June 30, 2013",28.86
"March 31, 2013",28.57
"Dec. 31, 2012",27.59
"Sept. 30, 2012",27.56
"June 30, 2012",26.25
"March 31, 2012",25.82
"Dec. 31, 2011",26.05
"Sept. 30, 2011",25.94
"June 30, 2011",25.50
"March 31, 2011",25.20
"Dec. 31, 2010",24.64
"Sept. 30, 2010",25.07
"June 30, 2010",23.30
"March 31, 2010",22.86
"Dec. 31, 2009",22.95
"Sept. 30, 2009",22.83
"June 30, 2009",22.89
"March 31, 2009",22.81
"Dec. 31, 2008",22.57
"Sept. 30, 2008",21.93
"June 30, 2008",22.12
"March 31, 2008",21.49
"Dec. 31, 2007",20.89
"Sept. 30, 2007",20.40
"June 30, 2007",19.72
"March 31, 2007",20.41
"Dec. 31, 2006",20.98
"Sept. 30, 2006",20.99
"June 30, 2006",20.32
"March 31, 2006",19.96
"Dec. 31, 2005",19.24
"Sept. 30, 2005",18.50
"June 30, 2005",15.13
"March 31, 2005",15.26
"Dec. 31, 2004",15.86
"Sept. 30, 2004",23.10
"June 30, 2004",26.66
"March 31, 2004",20.91
"Dec. 31, 2003",20.63
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",26.81
"March 31, 2002",28.39
"Dec. 31, 2001",30.45
"Sept. 30, 2001",30.44
"June 30, 2001",26.40
"March 31, 2001",25.58
"Dec. 31, 2000",22.59
"Sept. 30, 2000",35.90
"June 30, 2000",39.73
"March 31, 2000",36.41
"Dec. 31, 1999",53.25
"Sept. 30, 1999",38.22
"June 30, 1999",37.59
"March 31, 1999",38.55
"Dec. 31, 1998",38.63
"Sept. 30, 1998",24.71
"June 30, 1998",24.13
"March 31, 1998",23.50
"Dec. 31, 1997",24.07
"Sept. 30, 1997",25.01
"June 30, 1997",24.21
"March 31, 1997",25.71
"Dec. 31, 1996",25.78
"Sept. 30, 1996",24.64
"June 30, 1996",24.84
"March 31, 1996",25.66
"Dec. 31, 1995",25.61
"Sept. 30, 1995",25.04
"June 30, 1995",24.15
"March 31, 1995",23.70
"Dec. 31, 1994",23.49
"Sept. 30, 1994",24.06
"June 30, 1994",22.98
"March 31, 1994",22.13
