date,long_term_debt
"Dec. 31, 2019",17.41B
"Sept. 30, 2019",16.82B
"June 30, 2019",16.00B
"March 31, 2019",16.12B
"Dec. 31, 2018",15.80B
"Sept. 30, 2018",15.51B
"June 30, 2018",15.31B
"March 31, 2018",14.52B
"Dec. 31, 2017",14.52B
"Sept. 30, 2017",14.57B
"June 30, 2017",14.09B
"March 31, 2017",13.70B
"Dec. 31, 2016",14.20B
"Sept. 30, 2016",13.40B
"June 30, 2016",13.10B
"March 31, 2016",13.15B
"Dec. 31, 2015",12.40B
"Sept. 30, 2015",12.69B
"June 30, 2015",11.90B
"March 31, 2015",11.50B
"Dec. 31, 2014",11.50B
"Sept. 30, 2014",11.50B
"June 30, 2014",11.75B
"March 31, 2014",11.21B
"Dec. 31, 2013",10.91B
"Sept. 30, 2013",10.91B
"June 30, 2013",10.82B
"March 31, 2013",10.64B
"Dec. 31, 2012",10.14B
"Sept. 30, 2012",10.11B
"June 30, 2012",8.706B
"March 31, 2012",8.598B
"Dec. 31, 2011",8.849B
"Sept. 30, 2011",9.450B
"June 30, 2011",9.264B
"March 31, 2011",9.264B
"Dec. 31, 2010",9.263B
"Sept. 30, 2010",8.865B
"June 30, 2010",8.410B
"March 31, 2010",7.863B
"Dec. 31, 2009",7.889B
"Sept. 30, 2009",7.945B
"June 30, 2009",8.056B
"March 31, 2009",7.666B
"Dec. 31, 2008",7.732B
"Sept. 30, 2008",7.486B
"June 30, 2008",7.140B
"March 31, 2008",7.140B
"Dec. 31, 2007",6.342B
"Sept. 30, 2007",7.253B
"June 30, 2007",6.615B
"March 31, 2007",6.452B
"Dec. 31, 2006",6.450B
"Sept. 30, 2006",6.688B
"June 30, 2006",6.237B
"March 31, 2006",5.545B
"Dec. 31, 2005",5.898B
"Sept. 30, 2005",6.159B
"June 30, 2005",6.377B
"March 31, 2005",6.477B
"Dec. 31, 2004",6.493B
"Sept. 30, 2004",6.698B
"June 30, 2004",6.563B
"March 31, 2004",6.577B
"Dec. 31, 2003",6.494B
"Sept. 30, 2003",6.412B
"June 30, 2003",5.472B
"March 31, 2003",6.607B
"Dec. 31, 2002",5.319B
"Sept. 30, 2002",6.889B
"June 30, 2002",8.336B
"March 31, 2002",12.21B
"Dec. 31, 2001",11.89B
"Sept. 30, 2001",10.96B
"June 30, 2001",10.09B
"March 31, 2001",8.169B
"Dec. 31, 2000",7.583B
"Sept. 30, 2000",7.132B
"June 30, 2000",4.839B
"March 31, 2000",4.984B
"Dec. 31, 1999",5.827B
"Sept. 30, 1999",2.393B
"June 30, 1999",2.153B
"March 31, 1999",1.844B
"Dec. 31, 1998",1.851B
"Sept. 30, 1998",1.848B
"June 30, 1998",2.049B
"March 31, 1998",2.123B
"Dec. 31, 1997",1.879B
"Sept. 30, 1997",1.856B
"June 30, 1997",1.840B
"March 31, 1997",1.589B
"Dec. 31, 1996",1.593B
"Sept. 30, 1996",1.673B
"June 30, 1996",1.666B
"March 31, 1996",1.668B
"Dec. 31, 1995",1.542B
"Sept. 30, 1995",1.545B
"June 30, 1995",1.466B
"March 31, 1995",1.456B
"Dec. 31, 1994",1.463B
"Sept. 30, 1994",1.312B
"June 30, 1994",1.314B
"March 31, 1994",1.308B
