date,net_income_annual_cs_rev
"Dec. 31, 2019",11.90%
"Dec. 31, 2018",10.93%
"Dec. 31, 2017",10.07%
"Dec. 31, 2016",10.11%
"Dec. 31, 2015",8.93%
"Dec. 31, 2014",8.74%
"Dec. 31, 2013",8.69%
"Dec. 31, 2012",8.94%
"Dec. 31, 2011",7.89%
"Dec. 31, 2010",7.33%
"Dec. 31, 2009",7.06%
"Dec. 31, 2008",5.76%
"Dec. 31, 2007",5.75%
"Dec. 31, 2006",5.81%
"Dec. 31, 2005",5.33%
"Dec. 31, 2004",4.33%
"Dec. 31, 2003",8.05%
"Dec. 31, 2002",-31.80%
"Dec. 31, 2001",9.11%
"Dec. 31, 2000",4.62%
"Dec. 31, 1999",7.39%
"Dec. 31, 1998",9.44%
"Dec. 31, 1997",8.68%
"Dec. 31, 1996",10.34%
"Dec. 31, 1995",10.74%
"Dec. 31, 1994",9.79%
"Dec. 31, 1993",8.81%
"Dec. 31, 1992",9.56%
"Dec. 31, 1991",10.18%
"Dec. 31, 1990",9.47%
"Dec. 31, 1989",11.16%
"Dec. 31, 1988",10.71%
"Dec. 31, 1987",11.57%
"Dec. 31, 1986",11.61%
"Dec. 31, 1985",11.05%
"Dec. 31, 1984",10.82%
