date,assets
"Dec. 31, 2019",50.45B
"Sept. 30, 2019",50.24B
"June 30, 2019",48.58B
"March 31, 2019",47.85B
"Dec. 31, 2018",45.99B
"Sept. 30, 2018",44.84B
"June 30, 2018",44.24B
"March 31, 2018",43.16B
"Dec. 31, 2017",43.03B
"Sept. 30, 2017",42.47B
"June 30, 2017",41.86B
"March 31, 2017",41.29B
"Dec. 31, 2016",41.16B
"Sept. 30, 2016",40.32B
"June 30, 2016",39.49B
"March 31, 2016",39.07B
"Dec. 31, 2015",38.82B
"Sept. 30, 2015",38.03B
"June 30, 2015",37.27B
"March 31, 2015",36.88B
"Dec. 31, 2014",36.96B
"Sept. 30, 2014",35.36B
"June 30, 2014",34.72B
"March 31, 2014",34.20B
"Dec. 31, 2013",33.91B
"Sept. 30, 2013",33.13B
"June 30, 2013",32.27B
"March 31, 2013",31.59B
"Dec. 31, 2012",31.14B
"Sept. 30, 2012",31.06B
"June 30, 2012",29.82B
"March 31, 2012",29.45B
"Dec. 31, 2011",29.50B
"Sept. 30, 2011",28.54B
"June 30, 2011",28.00B
"March 31, 2011",27.47B
"Dec. 31, 2010",27.39B
"Sept. 30, 2010",26.30B
"June 30, 2010",25.56B
"March 31, 2010",25.33B
"Dec. 31, 2009",25.31B
"Sept. 30, 2009",25.08B
"June 30, 2009",24.99B
"March 31, 2009",24.63B
"Dec. 31, 2008",24.96B
"Sept. 30, 2008",24.50B
"June 30, 2008",23.72B
"March 31, 2008",23.36B
"Dec. 31, 2007",23.18B
"Sept. 30, 2007",22.82B
"June 30, 2007",22.29B
"March 31, 2007",21.98B
"Dec. 31, 2006",21.96B
"Sept. 30, 2006",21.22B
"June 30, 2006",21.26B
"March 31, 2006",21.14B
"Dec. 31, 2005",21.50B
"Sept. 30, 2005",21.54B
"June 30, 2005",20.47B
"March 31, 2005",20.30B
"Dec. 31, 2004",20.30B
"Sept. 30, 2004",20.06B
"June 30, 2004",19.74B
"March 31, 2004",19.83B
"Dec. 31, 2003",20.21B
"Sept. 30, 2003",18.26B
"June 30, 2003",17.10B
"March 31, 2003",27.77B
"Dec. 31, 2002",29.44B
"Sept. 30, 2002",28.41B
"June 30, 2002",30.40B
"March 31, 2002",29.33B
"Dec. 31, 2001",28.72B
"Sept. 30, 2001",27.75B
"June 30, 2001",26.39B
"March 31, 2001",23.61B
"Dec. 31, 2000",21.77B
"Sept. 30, 2000",21.08B
"June 30, 2000",11.93B
"March 31, 2000",11.60B
"Dec. 31, 1999",18.07B
"Sept. 30, 1999",8.685B
"June 30, 1999",8.539B
"March 31, 1999",7.379B
"Dec. 31, 1998",7.396B
"Sept. 30, 1998",7.266B
"June 30, 1998",7.130B
"March 31, 1998",7.191B
"Dec. 31, 1997",7.144B
"Sept. 30, 1997",7.059B
"June 30, 1997",6.869B
"March 31, 1997",6.599B
"Dec. 31, 1996",6.637B
"Sept. 30, 1996",6.395B
"June 30, 1996",6.401B
"March 31, 1996",6.381B
"Dec. 31, 1995",6.229B
"Sept. 30, 1995",6.073B
"June 30, 1995",6.004B
"March 31, 1995",5.914B
"Dec. 31, 1994",5.950B
"Sept. 30, 1994",5.782B
"June 30, 1994",5.733B
"March 31, 1994",5.670B
