date,enterprise_value
"March 19, 2020",48.88B
"March 18, 2020",50.65B
"March 17, 2020",52.52B
"March 16, 2020",49.08B
"March 13, 2020",53.52B
"March 12, 2020",50.61B
"March 11, 2020",53.51B
"March 10, 2020",54.39B
"March 9, 2020",54.13B
"March 6, 2020",55.26B
"March 5, 2020",54.79B
"March 4, 2020",54.76B
"March 3, 2020",52.93B
"March 2, 2020",53.02B
"Feb. 28, 2020",51.15B
"Feb. 27, 2020",52.48B
"Feb. 26, 2020",54.32B
"Feb. 25, 2020",54.57B
"Feb. 24, 2020",55.38B
"Feb. 21, 2020",55.61B
"Feb. 20, 2020",55.53B
"Feb. 19, 2020",55.60B
"Feb. 18, 2020",55.79B
"Feb. 14, 2020",55.32B
"Feb. 13, 2020",55.09B
"Feb. 12, 2020",54.66B
"Feb. 11, 2020",54.63B
"Feb. 10, 2020",54.68B
"Feb. 7, 2020",54.50B
"Feb. 6, 2020",54.81B
"Feb. 5, 2020",54.81B
"Feb. 4, 2020",54.81B
"Feb. 3, 2020",54.89B
"Jan. 31, 2020",54.75B
"Jan. 30, 2020",54.52B
"Jan. 29, 2020",53.82B
"Jan. 28, 2020",53.72B
"Jan. 27, 2020",53.56B
"Jan. 24, 2020",53.69B
"Jan. 23, 2020",53.55B
"Jan. 22, 2020",53.19B
"Jan. 21, 2020",53.08B
"Jan. 17, 2020",52.75B
"Jan. 16, 2020",52.57B
"Jan. 15, 2020",52.27B
"Jan. 14, 2020",51.75B
"Jan. 13, 2020",51.70B
"Jan. 10, 2020",51.31B
"Jan. 9, 2020",51.26B
"Jan. 8, 2020",51.19B
"Jan. 7, 2020",51.22B
"Jan. 6, 2020",51.29B
"Jan. 3, 2020",51.33B
"Jan. 2, 2020",51.18B
"Dec. 31, 2019",51.76B
"Dec. 30, 2019",50.93B
"Dec. 27, 2019",50.84B
"Dec. 26, 2019",50.67B
"Dec. 24, 2019",50.70B
"Dec. 23, 2019",50.79B
"Dec. 20, 2019",51.38B
"Dec. 19, 2019",51.22B
"Dec. 18, 2019",51.19B
"Dec. 17, 2019",51.02B
"Dec. 16, 2019",50.79B
"Dec. 13, 2019",50.39B
"Dec. 12, 2019",49.92B
"Dec. 11, 2019",50.34B
"Dec. 10, 2019",50.15B
"Dec. 9, 2019",50.11B
"Dec. 6, 2019",50.25B
"Dec. 5, 2019",50.33B
"Dec. 4, 2019",50.26B
"Dec. 3, 2019",49.97B
"Dec. 2, 2019",49.83B
"Nov. 29, 2019",49.99B
"Nov. 27, 2019",50.02B
"Nov. 26, 2019",49.82B
"Nov. 25, 2019",49.62B
"Nov. 22, 2019",49.87B
"Nov. 21, 2019",50.10B
"Nov. 20, 2019",50.09B
"Nov. 19, 2019",49.90B
"Nov. 18, 2019",49.67B
"Nov. 15, 2019",49.66B
"Nov. 14, 2019",49.89B
