date,tangible_common_equity_ratio
"Dec. 31, 2019",26.24%
"Sept. 30, 2019",26.16%
"June 30, 2019",25.45%
"March 31, 2019",25.77%
"Dec. 31, 2018",26.58%
"Sept. 30, 2018",27.13%
"June 30, 2018",26.33%
"March 31, 2018",26.79%
"Dec. 31, 2017",26.62%
"Sept. 30, 2017",26.94%
"June 30, 2017",26.57%
"March 31, 2017",26.81%
"Dec. 31, 2016",26.78%
"Sept. 30, 2016",27.25%
"June 30, 2016",27.10%
"March 31, 2016",27.31%
"Dec. 31, 2015",27.31%
"Sept. 30, 2015",27.73%
"June 30, 2015",27.55%
"March 31, 2015",27.70%
"Dec. 31, 2014",27.64%
"Sept. 30, 2014",28.72%
"June 30, 2014",28.58%
"March 31, 2014",28.50%
"Dec. 31, 2013",28.21%
"Sept. 30, 2013",28.82%
"June 30, 2013",28.82%
"March 31, 2013",28.98%
"Dec. 31, 2012",28.50%
"Sept. 30, 2012",28.50%
"June 30, 2012",28.75%
"March 31, 2012",28.99%
"Dec. 31, 2011",28.76%
"Sept. 30, 2011",29.54%
"June 30, 2011",29.41%
"March 31, 2011",29.79%
"Dec. 31, 2010",29.52%
"Sept. 30, 2010",28.92%
"June 30, 2010",28.92%
"March 31, 2010",29.04%
"Dec. 31, 2009",28.78%
"Sept. 30, 2009",28.67%
"June 30, 2009",28.31%
"March 31, 2009",28.62%
"Dec. 31, 2008",27.90%
"Sept. 30, 2008",27.95%
"June 30, 2008",26.88%
"March 31, 2008",27.22%
"Dec. 31, 2007",27.18%
"Sept. 30, 2007",27.00%
"June 30, 2007",26.90%
"March 31, 2007",26.70%
"Dec. 31, 2006",26.49%
"Sept. 30, 2006",26.80%
"June 30, 2006",26.13%
"March 31, 2006",26.10%
"Dec. 31, 2005",25.09%
"Sept. 30, 2005",24.97%
"June 30, 2005",25.63%
"March 31, 2005",25.94%
"Dec. 31, 2004",25.62%
"Sept. 30, 2004",25.99%
"June 30, 2004",26.64%
"March 31, 2004",26.41%
"Dec. 31, 2003",25.57%
"Sept. 30, 2003",25.54%
"June 30, 2003",25.35%
"March 31, 2003",16.85%
"Dec. 31, 2002",15.85%
"Sept. 30, 2002",18.18%
"June 30, 2002",23.79%
"March 31, 2002",22.82%
"Dec. 31, 2001",21.25%
"Sept. 30, 2001",22.36%
"June 30, 2001",22.83%
"March 31, 2001",24.81%
"Dec. 31, 2000",25.55%
"Sept. 30, 2000",26.09%
"June 30, 2000",22.38%
"March 31, 2000",21.07%
"Dec. 31, 1999",29.28%
"Sept. 30, 1999",28.30%
"June 30, 1999",28.11%
"March 31, 1999",32.95%
"Dec. 31, 1998",32.67%
"Sept. 30, 1998",32.55%
"June 30, 1998",32.25%
"March 31, 1998",32.37%
"Dec. 31, 1997",32.32%
"Sept. 30, 1997",33.02%
"June 30, 1997",30.16%
"March 31, 1997",31.28%
"Dec. 31, 1996",31.11%
"Sept. 30, 1996",31.93%
"June 30, 1996",31.36%
"March 31, 1996",31.33%
"Dec. 31, 1995",31.61%
"Sept. 30, 1995",32.03%
"June 30, 1995",31.53%
"March 31, 1995",31.55%
"Dec. 31, 1994",31.09%
"Sept. 30, 1994",31.86%
"June 30, 1994",31.59%
"March 31, 1994",31.81%
