date,cash_financing_ttm
"Dec. 31, 2019",1.181B
"Sept. 30, 2019",1.874B
"June 30, 2019",831.00M
"March 31, 2019",916.00M
"Dec. 31, 2018",928.00M
"Sept. 30, 2018",556.00M
"June 30, 2018",686.00M
"March 31, 2018",167.00M
"Dec. 31, 2017",168.00M
"Sept. 30, 2017",114.64M
"June 30, 2017",357.94M
"March 31, 2017",319.89M
"Dec. 31, 2016",209.00M
"Sept. 30, 2016",665.23M
"June 30, 2016",622.10M
"March 31, 2016",691.68M
"Dec. 31, 2015",590.00M
"Sept. 30, 2015",143.22M
"June 30, 2015",-75.91M
"March 31, 2015",3.37M
"Dec. 31, 2014",430.23M
"Sept. 30, 2014",587.91M
"June 30, 2014",724.03M
"March 31, 2014",785.89M
"Dec. 31, 2013",654.17M
"Sept. 30, 2013",-47.04M
"June 30, 2013",670.16M
"March 31, 2013",490.81M
"Dec. 31, 2012",349.82M
"Sept. 30, 2012",696.24M
"June 30, 2012",-71.50M
"March 31, 2012",-195.69M
"Dec. 31, 2011",-205.47M
"Sept. 30, 2011",625.53M
"June 30, 2011",885.25M
"March 31, 2011",978.11M
"Dec. 31, 2010",905.57M
"Sept. 30, 2010",271.89M
"June 30, 2010",-281.65M
"March 31, 2010",-158.54M
"Dec. 31, 2009",-322.42M
"Sept. 30, 2009",-526.67M
"June 30, 2009",332.04M
"March 31, 2009",302.12M
"Dec. 31, 2008",671.03M
"Sept. 30, 2008",800.22M
"June 30, 2008",706.59M
"March 31, 2008",651.51M
"Dec. 31, 2007",483.17M
"Sept. 30, 2007",514.18M
"June 30, 2007",101.34M
"March 31, 2007",-73.63M
"Dec. 31, 2006",-421.70M
"Sept. 30, 2006",-158.74M
"June 30, 2006",-171.02M
"March 31, 2006",-113.60M
"Dec. 31, 2005",111.32M
"Sept. 30, 2005",-125.86M
"June 30, 2005",-31.12M
"March 31, 2005",-97.20M
"Dec. 31, 2004",-110.69M
"Sept. 30, 2004",-396.15M
"June 30, 2004",-328.26M
"March 31, 2004",-515.24M
"Dec. 31, 2003",-366.87M
"Sept. 30, 2003",-437.22M
"June 30, 2003",87.60M
"March 31, 2003",1.055B
"Dec. 31, 2002",1.580B
"Sept. 30, 2002",2.135B
"June 30, 2002",2.289B
"March 31, 2002",2.576B
"Dec. 31, 2001",3.713B
"Sept. 30, 2001",3.423B
"June 30, 2001",2.899B
"March 31, 2001",1.903B
"Dec. 31, 2000",2.016B
"Sept. 30, 2000",2.613B
"June 30, 2000",2.356B
"March 31, 2000",3.490B
"Dec. 31, 1999",1.668B
"Sept. 30, 1999",986.10M
"June 30, 1999",946.49M
"March 31, 1999",-199.53M
"Dec. 31, 1998",-107.40M
"Sept. 30, 1998",-74.60M
"June 30, 1998",17.50M
"March 31, 1998",350.60M
"Dec. 31, 1997",262.40M
"Sept. 30, 1997",370.00M
"June 30, 1997",152.30M
"March 31, 1997",-24.00M
"Dec. 31, 1996",125.90M
"Sept. 30, 1996",49.60M
"June 30, 1996",111.10M
"March 31, 1996",73.80M
"Dec. 31, 1995",-90.90M
"Sept. 30, 1995",-36.70M
"June 30, 1995",0.30M
"March 31, 1995",-36.40M
"Dec. 31, 1994",42.10M
