date,ohlson_score
"Dec. 31, 2019",2.092
"Sept. 30, 2019",1.339
"June 30, 2019",2.121
"March 31, 2019",1.605
"Dec. 31, 2018",2.352
"Sept. 30, 2018",1.278
"June 30, 2018",1.702
"March 31, 2018",1.551
"Dec. 31, 2017",2.496
"Sept. 30, 2017",1.176
"June 30, 2017",1.673
"March 31, 2017",1.670
"Dec. 31, 2016",2.006
"Sept. 30, 2016",1.146
"June 30, 2016",1.728
"March 31, 2016",1.422
"Dec. 31, 2015",2.298
"Sept. 30, 2015",0.9881
"June 30, 2015",1.380
"March 31, 2015",1.713
"Dec. 31, 2014",1.995
"Sept. 30, 2014",1.140
"June 30, 2014",1.484
"March 31, 2014",1.212
"Dec. 31, 2013",2.227
"Sept. 30, 2013",1.016
"June 30, 2013",1.414
"March 31, 2013",1.077
"Dec. 31, 2012",2.448
"Sept. 30, 2012",1.048
"June 30, 2012",1.832
"March 31, 2012",1.667
"Dec. 31, 2011",2.317
"Sept. 30, 2011",1.004
"June 30, 2011",1.568
"March 31, 2011",1.170
"Dec. 31, 2010",1.977
"Sept. 30, 2010",1.020
"June 30, 2010",1.575
"March 31, 2010",1.603
"Dec. 31, 2009",1.651
"Sept. 30, 2009",1.22
"June 30, 2009",1.740
"March 31, 2009",1.530
"Dec. 31, 2008",1.710
"Sept. 30, 2008",1.244
"June 30, 2008",2.012
"March 31, 2008",1.594
"Dec. 31, 2007",2.362
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",2.017
"March 31, 2006",1.838
"Dec. 31, 2005",2.323
"Sept. 30, 2005",1.365
"June 30, 2005",1.907
"March 31, 2005",1.393
"Dec. 31, 2004",1.512
"Sept. 30, 2004",2.020
"June 30, 2004",1.918
"March 31, 2004",2.698
"Dec. 31, 2003",1.435
"Sept. 30, 2003",0.7847
"June 30, 2003",1.825
"March 31, 2003",2.918
"Dec. 31, 2002",9.666
"Sept. 30, 2002",3.577
"June 30, 2002",3.517
"March 31, 2002",2.400
"Dec. 31, 2001",2.822
"Sept. 30, 2001",2.272
"June 30, 2001",2.413
"March 31, 2001",1.926
"Dec. 31, 2000",2.014
"Sept. 30, 2000",2.571
"June 30, 2000",2.126
"March 31, 2000",6.696
"Dec. 31, 1999",1.845
"Sept. 30, 1999",2.409
"June 30, 1999",4.895
"March 31, 1999",6.008
"Dec. 31, 1998",1.788
"Sept. 30, 1998",
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",3.610
"March 31, 1997",2.182
"Dec. 31, 1996",2.216
