date,shares_outstanding
"Feb. 13, 2020",524.67M
"Dec. 31, 2019",524.54M
"Oct. 17, 2019",524.39M
"Sept. 30, 2019",524.38M
"Aug. 29, 2019",524.37M
"July 25, 2019",515.01M
"June 30, 2019",514.87M
"April 18, 2019",514.67M
"March 31, 2019",514.67M
"March 21, 2019",514.67M
"Feb. 14, 2019",514.21M
"Dec. 31, 2018",514.04M
"Oct. 31, 2018",514.02M
"Oct. 19, 2018",513.85M
"Sept. 30, 2018",513.30M
"July 23, 2018",509.09M
"June 30, 2018",508.90M
"April 23, 2018",508.86M
"March 31, 2018",508.66M
"March 20, 2018",508.66M
"Feb. 19, 2018",508.06M
"Dec. 31, 2017",507.76M
"Oct. 23, 2017",507.76M
"Sept. 30, 2017",507.76M
"July 24, 2017",507.76M
"June 30, 2017",507.76M
"April 24, 2017",507.76M
"March 31, 2017",507.76M
"March 21, 2017",507.76M
"Feb. 20, 2017",507.22M
"Dec. 31, 2016",507.22M
"Oct. 24, 2016",507.95M
"Sept. 30, 2016",507.95M
"Aug. 1, 2016",507.95M
"June 30, 2016",507.95M
"May 4, 2016",507.95M
"March 31, 2016",507.95M
"March 22, 2016",507.95M
"Feb. 15, 2016",507.55M
"Dec. 31, 2015",507.54M
"Oct. 26, 2015",507.50M
"Sept. 30, 2015",507.27M
"July 27, 2015",507.21M
"June 30, 2015",506.96M
"April 27, 2015",506.91M
"March 31, 2015",506.66M
"March 24, 2015",506.66M
"Feb. 16, 2015",505.98M
"Dec. 31, 2014",505.73M
"Oct. 24, 2014",505.69M
"Sept. 30, 2014",505.42M
"July 25, 2014",505.37M
"June 30, 2014",505.11M
"April 28, 2014",501.97M
"March 31, 2014",501.15M
"March 25, 2014",500.88M
"Feb. 17, 2014",498.29M
"Dec. 31, 2013",497.97M
"Oct. 18, 2013",497.64M
"Sept. 30, 2013",497.63M
"July 26, 2013",497.57M
"June 30, 2013",497.30M
"April 26, 2013",497.24M
"March 31, 2013",494.76M
"March 26, 2013",494.28M
"Feb. 14, 2013",488.28M
"Dec. 31, 2012",487.96M
"Oct. 18, 2012",487.62M
"Sept. 30, 2012",487.61M
"July 26, 2012",487.55M
"June 30, 2012",487.29M
"April 19, 2012",486.94M
"March 31, 2012",486.94M
"March 20, 2012",486.93M
"Feb. 21, 2012",486.83M
"Dec. 31, 2011",486.49M
"Oct. 20, 2011",484.96M
"Sept. 30, 2011",484.95M
"July 19, 2011",484.56M
"June 30, 2011",484.54M
