date,operating_margin_ttm
"Dec. 31, 2019",12.61%
"Sept. 30, 2019",11.73%
"June 30, 2019",10.95%
"March 31, 2019",11.20%
"Dec. 31, 2018",10.66%
"Sept. 30, 2018",11.83%
"June 30, 2018",13.02%
"March 31, 2018",11.33%
"Dec. 31, 2017",11.74%
"Sept. 30, 2017",11.41%
"June 30, 2017",10.65%
"March 31, 2017",11.87%
"Dec. 31, 2016",10.39%
"Sept. 30, 2016",10.12%
"June 30, 2016",10.45%
"March 31, 2016",12.41%
"Dec. 31, 2015",14.91%
"Sept. 30, 2015",13.10%
"June 30, 2015",14.00%
"March 31, 2015",12.31%
"Dec. 31, 2014",8.71%
"Sept. 30, 2014",11.52%
"June 30, 2014",11.00%
"March 31, 2014",12.71%
"Dec. 31, 2013",14.65%
"Sept. 30, 2013",13.96%
"June 30, 2013",11.42%
"March 31, 2013",10.48%
"Dec. 31, 2012",10.52%
"Sept. 30, 2012",13.00%
"June 30, 2012",16.76%
"March 31, 2012",19.46%
"Dec. 31, 2011",23.50%
"Sept. 30, 2011",22.69%
"June 30, 2011",23.61%
"March 31, 2011",23.65%
"Dec. 31, 2010",25.35%
"Sept. 30, 2010",26.62%
"June 30, 2010",28.30%
"March 31, 2010",28.71%
"Dec. 31, 2009",27.43%
"Sept. 30, 2009",28.30%
"June 30, 2009",27.00%
"March 31, 2009",28.49%
"Dec. 31, 2008",28.10%
"Sept. 30, 2008",25.69%
"June 30, 2008",25.63%
"March 31, 2008",24.73%
"Dec. 31, 2007",24.68%
"Sept. 30, 2007",27.25%
"June 30, 2007",23.00%
"March 31, 2007",23.94%
"Dec. 31, 2006",23.04%
"Sept. 30, 2006",12.93%
"June 30, 2006",18.38%
"March 31, 2006",16.68%
"Dec. 31, 2005",17.74%
"Sept. 30, 2005",25.74%
"June 30, 2005",26.25%
"March 31, 2005",26.03%
"Dec. 31, 2004",24.76%
"Sept. 30, 2004",26.33%
"June 30, 2004",16.80%
"March 31, 2004",16.12%
"Dec. 31, 2003",15.56%
"Sept. 30, 2003",15.33%
"June 30, 2003",21.66%
"March 31, 2003",22.03%
"Dec. 31, 2002",22.06%
"Sept. 30, 2002",21.92%
"June 30, 2002",21.59%
"March 31, 2002",21.30%
"Dec. 31, 2001",22.54%
"Sept. 30, 2001",20.42%
"June 30, 2001",20.88%
"March 31, 2001",20.71%
"Dec. 31, 2000",20.37%
"Sept. 30, 2000",24.82%
"June 30, 2000",24.83%
"March 31, 2000",24.65%
"Dec. 31, 1999",25.55%
"Sept. 30, 1999",21.94%
"June 30, 1999",23.15%
"March 31, 1999",25.19%
"Dec. 31, 1998",23.81%
"Sept. 30, 1998",23.77%
"June 30, 1998",22.94%
"March 31, 1998",22.83%
"Dec. 31, 1997",23.29%
"Sept. 30, 1997",28.68%
"June 30, 1997",28.84%
"March 31, 1997",27.90%
"Dec. 31, 1996",29.15%
"Sept. 30, 1996",30.43%
"June 30, 1996",31.96%
"March 31, 1996",34.75%
"Dec. 31, 1995",35.62%
"Sept. 30, 1995",35.54%
"June 30, 1995",29.15%
"March 31, 1995",26.55%
"Dec. 31, 1994",26.32%
"Sept. 30, 1994",42.11%
"June 30, 1994",64.72%
"March 31, 1994",81.10%
