date,operating_pe_ratio
"May 20, 2019",11.85
"May 17, 2019",11.86
"May 16, 2019",11.85
"May 15, 2019",11.81
"May 14, 2019",11.86
"May 13, 2019",12.07
"May 10, 2019",11.95
"May 9, 2019",11.81
"May 8, 2019",11.77
"May 7, 2019",11.89
"May 6, 2019",11.96
"May 3, 2019",12.08
"May 2, 2019",12.04
"May 1, 2019",12.18
"April 30, 2019",12.34
"April 29, 2019",12.13
"April 26, 2019",12.22
"April 25, 2019",12.20
"April 24, 2019",12.13
"April 23, 2019",12.05
"April 22, 2019",11.98
"April 18, 2019",11.96
"April 17, 2019",11.84
"April 16, 2019",11.92
"April 15, 2019",12.16
"April 12, 2019",12.04
"April 11, 2019",12.06
"April 10, 2019",12.00
"April 9, 2019",11.99
"April 8, 2019",12.02
"April 5, 2019",12.09
"April 4, 2019",12.02
"April 3, 2019",12.10
"April 2, 2019",12.18
"April 1, 2019",12.07
"March 31, 2019",
"March 29, 2019",12.67
"March 28, 2019",12.57
"March 27, 2019",12.77
"March 26, 2019",12.81
"March 25, 2019",12.73
"March 22, 2019",12.70
"March 21, 2019",12.55
"March 20, 2019",12.41
"March 19, 2019",12.40
"March 18, 2019",12.55
"March 15, 2019",12.63
"March 14, 2019",12.54
"March 13, 2019",12.54
"March 12, 2019",12.50
"March 11, 2019",12.40
"March 8, 2019",12.33
"March 7, 2019",12.27
"March 6, 2019",12.24
"March 5, 2019",12.23
"March 4, 2019",12.24
"March 1, 2019",12.26
"Feb. 28, 2019",12.28
"Feb. 27, 2019",12.20
"Feb. 26, 2019",12.27
"Feb. 25, 2019",12.23
"Feb. 22, 2019",12.32
"Feb. 21, 2019",12.25
"Feb. 20, 2019",12.16
"Feb. 19, 2019",12.17
"Feb. 15, 2019",12.19
"Feb. 14, 2019",12.09
"Feb. 13, 2019",12.10
"Feb. 12, 2019",12.11
"Feb. 11, 2019",12.08
"Feb. 8, 2019",12.06
"Feb. 7, 2019",12.16
"Feb. 6, 2019",11.96
"Feb. 5, 2019",11.95
"Feb. 4, 2019",11.96
"Feb. 1, 2019",11.99
"Jan. 31, 2019",12.07
"Jan. 30, 2019",11.79
"Jan. 29, 2019",11.67
"Jan. 28, 2019",11.66
"Jan. 25, 2019",11.73
"Jan. 24, 2019",11.87
"Jan. 23, 2019",11.84
"Jan. 22, 2019",11.69
"Jan. 18, 2019",11.64
"Jan. 17, 2019",11.63
"Jan. 16, 2019",11.57
"Jan. 15, 2019",11.57
"Jan. 14, 2019",11.38
