date,price_to_book_value
"March 19, 2020",0.9796
"March 18, 2020",0.9986
"March 17, 2020",1.088
"March 16, 2020",0.9221
"March 13, 2020",1.099
"March 12, 2020",1.066
"March 11, 2020",1.203
"March 10, 2020",1.303
"March 9, 2020",1.267
"March 6, 2020",1.365
"March 5, 2020",1.394
"March 4, 2020",1.415
"March 3, 2020",1.336
"March 2, 2020",1.373
"Feb. 28, 2020",1.304
"Feb. 27, 2020",1.365
"Feb. 26, 2020",1.423
"Feb. 25, 2020",1.440
"Feb. 24, 2020",1.476
"Feb. 21, 2020",1.503
"Feb. 20, 2020",1.507
"Feb. 19, 2020",1.500
"Feb. 18, 2020",1.523
"Feb. 14, 2020",1.504
"Feb. 13, 2020",1.499
"Feb. 12, 2020",1.489
"Feb. 11, 2020",1.492
"Feb. 10, 2020",1.461
"Feb. 7, 2020",1.457
"Feb. 6, 2020",1.459
"Feb. 5, 2020",1.461
"Feb. 4, 2020",1.454
"Feb. 3, 2020",1.457
"Jan. 31, 2020",1.439
"Jan. 30, 2020",1.451
"Jan. 29, 2020",1.444
"Jan. 28, 2020",1.441
"Jan. 27, 2020",1.427
"Jan. 24, 2020",1.441
"Jan. 23, 2020",1.448
"Jan. 22, 2020",1.439
"Jan. 21, 2020",1.437
"Jan. 17, 2020",1.431
"Jan. 16, 2020",1.411
"Jan. 15, 2020",1.406
"Jan. 14, 2020",1.383
"Jan. 13, 2020",1.395
"Jan. 10, 2020",1.397
"Jan. 9, 2020",1.394
"Jan. 8, 2020",1.389
"Jan. 7, 2020",1.379
"Jan. 6, 2020",1.378
"Jan. 3, 2020",1.376
"Jan. 2, 2020",1.372
"Dec. 31, 2019",1.377
"Dec. 30, 2019",1.378
"Dec. 27, 2019",1.378
"Dec. 26, 2019",1.376
"Dec. 24, 2019",1.376
"Dec. 23, 2019",1.372
"Dec. 20, 2019",1.380
"Dec. 19, 2019",1.365
"Dec. 18, 2019",1.377
"Dec. 17, 2019",1.365
"Dec. 16, 2019",1.357
"Dec. 13, 2019",1.330
"Dec. 12, 2019",1.339
"Dec. 11, 2019",1.342
"Dec. 10, 2019",1.358
"Dec. 9, 2019",1.364
"Dec. 6, 2019",1.362
"Dec. 5, 2019",1.362
"Dec. 4, 2019",1.352
"Dec. 3, 2019",1.344
"Dec. 2, 2019",1.333
"Nov. 29, 2019",1.348
"Nov. 27, 2019",1.344
"Nov. 26, 2019",1.336
"Nov. 25, 2019",1.341
"Nov. 22, 2019",1.349
"Nov. 21, 2019",1.348
"Nov. 20, 2019",1.377
"Nov. 19, 2019",1.377
"Nov. 18, 2019",1.378
"Nov. 15, 2019",1.367
"Nov. 14, 2019",1.355
"Nov. 13, 2019",1.351
"Nov. 12, 2019",1.345
"Nov. 11, 2019",1.336
"Nov. 8, 2019",1.357
"Nov. 7, 2019",1.357
"Nov. 6, 2019",1.361
"Nov. 5, 2019",1.359
"Nov. 4, 2019",1.351
"Nov. 1, 2019",1.376
"Oct. 31, 2019",1.381
"Oct. 30, 2019",1.416
"Oct. 29, 2019",1.392
"Oct. 28, 2019",1.384
"Oct. 25, 2019",1.393
"Oct. 24, 2019",1.402
"Oct. 23, 2019",1.386
"Oct. 22, 2019",1.374
"Oct. 21, 2019",1.357
"Oct. 18, 2019",1.356
"Oct. 17, 2019",1.338
"Oct. 16, 2019",1.363
"Oct. 15, 2019",1.429
"Oct. 14, 2019",1.430
"Oct. 11, 2019",1.442
"Oct. 10, 2019",1.440
"Oct. 9, 2019",1.454
"Oct. 8, 2019",1.450
"Oct. 7, 2019",1.471
"Oct. 4, 2019",1.471
"Oct. 3, 2019",1.449
"Oct. 2, 2019",1.446
"Oct. 1, 2019",1.456
"Sept. 30, 2019",1.466
"Sept. 27, 2019",1.496
"Sept. 26, 2019",1.515
"Sept. 25, 2019",1.509
"Sept. 24, 2019",1.503
"Sept. 23, 2019",1.488
"Sept. 20, 2019",1.492
"Sept. 19, 2019",1.472
"Sept. 18, 2019",1.476
"Sept. 17, 2019",1.456
"Sept. 16, 2019",1.459
"Sept. 13, 2019",1.456
"Sept. 12, 2019",1.475
"Sept. 11, 2019",1.501
"Sept. 10, 2019",1.489
"Sept. 9, 2019",1.479
"Sept. 6, 2019",1.482
"Sept. 5, 2019",1.482
"Sept. 4, 2019",1.478
"Sept. 3, 2019",1.476
"Aug. 30, 2019",1.456
"Aug. 29, 2019",1.440
"Aug. 28, 2019",1.430
"Aug. 27, 2019",1.424
"Aug. 26, 2019",1.407
"Aug. 23, 2019",1.382
"Aug. 22, 2019",1.402
"Aug. 21, 2019",1.399
"Aug. 20, 2019",1.392
"Aug. 19, 2019",1.394
"Aug. 16, 2019",1.390
"Aug. 15, 2019",1.375
"Aug. 14, 2019",1.370
"Aug. 13, 2019",1.402
"Aug. 12, 2019",1.392
"Aug. 9, 2019",1.392
"Aug. 8, 2019",1.399
"Aug. 7, 2019",1.386
"Aug. 6, 2019",1.392
"Aug. 5, 2019",1.368
"Aug. 2, 2019",1.378
"Aug. 1, 2019",1.367
"July 31, 2019",1.388
"July 30, 2019",1.418
"July 29, 2019",1.418
