date,days_payables_outstanding
"Dec. 31, 2019",53.00
"Sept. 30, 2019",49.04
"June 30, 2019",54.59
"March 31, 2019",49.15
"Dec. 31, 2018",49.29
"Sept. 30, 2018",43.65
"June 30, 2018",50.23
"March 31, 2018",44.36
"Dec. 31, 2017",51.90
"Sept. 30, 2017",48.59
"June 30, 2017",46.18
"March 31, 2017",47.02
"Dec. 31, 2016",53.49
"Sept. 30, 2016",43.52
"June 30, 2016",52.59
"March 31, 2016",43.51
"Dec. 31, 2015",52.24
"Sept. 30, 2015",48.54
"June 30, 2015",54.94
"March 31, 2015",42.98
"Dec. 31, 2014",40.98
"Sept. 30, 2014",49.11
"June 30, 2014",49.17
"March 31, 2014",39.13
"Dec. 31, 2013",50.80
"Sept. 30, 2013",48.28
"June 30, 2013",48.99
"March 31, 2013",48.79
"Dec. 31, 2012",48.98
"Sept. 30, 2012",41.83
"June 30, 2012",46.24
"March 31, 2012",44.38
"Dec. 31, 2011",19.49
"Sept. 30, 2011",56.04
"June 30, 2011",67.59
"March 31, 2011",64.16
"Dec. 31, 2010",
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",95.07
"Dec. 31, 2009",90.95
"Sept. 30, 2009",82.04
"June 30, 2009",72.17
"March 31, 2009",88.02
"Dec. 31, 2008",88.68
"Sept. 30, 2008",58.41
"June 30, 2008",77.14
"March 31, 2008",81.55
"Dec. 31, 2007",66.38
"Sept. 30, 2007",55.94
"June 30, 2007",67.73
"March 31, 2007",63.83
"Dec. 31, 2006",92.53
"Sept. 30, 2006",70.39
"June 30, 2006",94.72
"March 31, 2006",85.87
"Dec. 31, 2005",77.95
"Sept. 30, 2005",69.12
"June 30, 2005",94.94
"March 31, 2005",101.80
"Dec. 31, 2004",93.00
"Sept. 30, 2004",84.88
"June 30, 2004",88.46
"March 31, 2004",83.00
"Dec. 31, 2003",107.29
"Sept. 30, 2003",84.32
"June 30, 2003",117.58
"March 31, 2003",89.94
"Dec. 31, 2002",106.59
"Sept. 30, 2002",66.35
"June 30, 2002",86.69
"March 31, 2002",81.01
"Dec. 31, 2001",98.59
"Sept. 30, 2001",61.44
"June 30, 2001",85.47
"March 31, 2001",84.46
"Dec. 31, 2000",52.16
"Sept. 30, 2000",45.47
"June 30, 2000",48.59
"March 31, 2000",54.90
"Dec. 31, 1999",68.06
"Sept. 30, 1999",41.95
"June 30, 1999",57.35
"March 31, 1999",60.52
"Dec. 31, 1998",81.71
"Sept. 30, 1998",36.10
"June 30, 1998",65.43
"March 31, 1998",69.59
"Dec. 31, 1997",77.32
"Sept. 30, 1997",46.99
"June 30, 1997",48.87
"March 31, 1997",51.50
"Dec. 31, 1996",73.81
"Sept. 30, 1996",69.17
"June 30, 1996",93.53
"March 31, 1996",84.55
"Dec. 31, 1995",148.41
"Sept. 30, 1995",83.82
"June 30, 1995",103.92
"March 31, 1995",125.54
"Dec. 31, 1994",231.16
"Sept. 30, 1994",135.09
"June 30, 1994",101.98
