date,return_on_assets
"Dec. 31, 2019",2.40%
"Sept. 30, 2019",1.91%
"June 30, 2019",1.89%
"March 31, 2019",1.95%
"Dec. 31, 2018",1.70%
"Sept. 30, 2018",3.17%
"June 30, 2018",3.26%
"March 31, 2018",2.88%
"Dec. 31, 2017",3.23%
"Sept. 30, 2017",1.80%
"June 30, 2017",1.53%
"March 31, 2017",1.70%
"Dec. 31, 2016",1.02%
"Sept. 30, 2016",1.17%
"June 30, 2016",1.36%
"March 31, 2016",1.82%
"Dec. 31, 2015",2.49%
"Sept. 30, 2015",2.22%
"June 30, 2015",2.69%
"March 31, 2015",2.64%
"Dec. 31, 2014",1.96%
"Sept. 30, 2014",2.57%
"June 30, 2014",2.30%
"March 31, 2014",2.29%
"Dec. 31, 2013",2.18%
"Sept. 30, 2013",2.04%
"June 30, 2013",1.48%
"March 31, 2013",1.22%
"Dec. 31, 2012",1.58%
"Sept. 30, 2012",2.03%
"June 30, 2012",2.68%
"March 31, 2012",3.49%
"Dec. 31, 2011",4.71%
"Sept. 30, 2011",4.60%
"June 30, 2011",5.12%
"March 31, 2011",4.82%
"Dec. 31, 2010",5.05%
"Sept. 30, 2010",5.26%
"June 30, 2010",5.10%
"March 31, 2010",5.55%
"Dec. 31, 2009",5.55%
"Sept. 30, 2009",5.90%
"June 30, 2009",5.85%
"March 31, 2009",6.12%
"Dec. 31, 2008",5.93%
"Sept. 30, 2008",5.66%
"June 30, 2008",5.83%
"March 31, 2008",5.79%
"Dec. 31, 2007",6.07%
"Sept. 30, 2007",6.24%
"June 30, 2007",4.45%
"March 31, 2007",4.37%
"Dec. 31, 2006",3.73%
"Sept. 30, 2006",0.38%
"June 30, 2006",2.19%
"March 31, 2006",1.89%
"Dec. 31, 2005",2.17%
"Sept. 30, 2005",5.00%
"June 30, 2005",4.65%
"March 31, 2005",4.63%
"Dec. 31, 2004",4.39%
"Sept. 30, 2004",4.25%
"June 30, 2004",2.67%
"March 31, 2004",2.33%
"Dec. 31, 2003",2.27%
"Sept. 30, 2003",2.67%
"June 30, 2003",4.45%
"March 31, 2003",4.89%
"Dec. 31, 2002",4.04%
"Sept. 30, 2002",3.92%
"June 30, 2002",3.42%
"March 31, 2002",2.96%
"Dec. 31, 2001",4.08%
"Sept. 30, 2001",3.69%
"June 30, 2001",3.77%
"March 31, 2001",3.62%
"Dec. 31, 2000",3.33%
"Sept. 30, 2000",4.90%
"June 30, 2000",4.92%
"March 31, 2000",4.47%
"Dec. 31, 1999",4.28%
"Sept. 30, 1999",3.17%
"June 30, 1999",3.54%
"March 31, 1999",4.23%
"Dec. 31, 1998",4.07%
"Sept. 30, 1998",-10.43%
"June 30, 1998",-10.82%
"March 31, 1998",-10.56%
"Dec. 31, 1997",-10.15%
"Sept. 30, 1997",3.36%
"June 30, 1997",3.32%
"March 31, 1997",3.18%
"Dec. 31, 1996",3.44%
"Sept. 30, 1996",3.46%
"June 30, 1996",3.68%
"March 31, 1996",4.03%
"Dec. 31, 1995",4.04%
"Sept. 30, 1995",4.09%
"June 30, 1995",3.02%
"March 31, 1995",2.77%
"Dec. 31, 1994",2.82%
"Sept. 30, 1994",2.87%
