date,book_value_of_equity_per_share
"Dec. 31, 2019",33.12
"Sept. 30, 2019",32.94
"June 30, 2019",32.47
"March 31, 2019",32.30
"Dec. 31, 2018",31.76
"Sept. 30, 2018",32.08
"June 30, 2018",31.59
"March 31, 2018",31.32
"Dec. 31, 2017",31.04
"Sept. 30, 2017",29.24
"June 30, 2017",28.69
"March 31, 2017",28.65
"Dec. 31, 2016",27.96
"Sept. 30, 2016",28.19
"June 30, 2016",27.91
"March 31, 2016",28.98
"Dec. 31, 2015",28.04
"Sept. 30, 2015",28.02
"June 30, 2015",27.28
"March 31, 2015",26.78
"Dec. 31, 2014",26.29
"Sept. 30, 2014",27.45
"June 30, 2014",26.60
"March 31, 2014",26.28
"Dec. 31, 2013",26.53
"Sept. 30, 2013",25.51
"June 30, 2013",24.93
"March 31, 2013",24.64
"Dec. 31, 2012",25.07
"Sept. 30, 2012",25.54
"June 30, 2012",25.81
"March 31, 2012",25.59
"Dec. 31, 2011",21.70
"Sept. 30, 2011",21.65
"June 30, 2011",21.30
"March 31, 2011",21.03
"Dec. 31, 2010",20.48
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",20.36
"Dec. 31, 2009",19.15
"Sept. 30, 2009",18.94
"June 30, 2009",18.44
"March 31, 2009",18.37
"Dec. 31, 2008",16.78
"Sept. 30, 2008",17.61
"June 30, 2008",15.05
"March 31, 2008",14.99
"Dec. 31, 2007",15.34
"Sept. 30, 2007",15.79
"June 30, 2007",16.57
"March 31, 2007",15.04
"Dec. 31, 2006",14.94
"Sept. 30, 2006",14.46
"June 30, 2006",14.54
"March 31, 2006",13.74
"Dec. 31, 2005",13.69
"Sept. 30, 2005",15.22
"June 30, 2005",14.97
"March 31, 2005",14.53
"Dec. 31, 2004",14.23
"Sept. 30, 2004",14.41
"June 30, 2004",13.67
"March 31, 2004",13.16
"Dec. 31, 2003",12.96
"Sept. 30, 2003",12.73
"June 30, 2003",12.86
"March 31, 2003",12.34
"Dec. 31, 2002",11.97
"Sept. 30, 2002",13.18
"June 30, 2002",12.92
"March 31, 2002",12.50
"Dec. 31, 2001",12.62
"Sept. 30, 2001",12.20
"June 30, 2001",11.75
"March 31, 2001",11.47
"Dec. 31, 2000",11.27
"Sept. 30, 2000",2.712
"June 30, 2000",4.337
"March 31, 2000",5.222
"Dec. 31, 1999",4.890
"Sept. 30, 1999",5.040
"June 30, 1999",4.523
"March 31, 1999",6.461
"Dec. 31, 1998",6.803
"Sept. 30, 1998",6.964
"June 30, 1998",6.457
"March 31, 1998",6.242
"Dec. 31, 1997",6.126
"Sept. 30, 1997",10.61
"June 30, 1997",10.50
"March 31, 1997",10.46
"Dec. 31, 1996",10.44
"Sept. 30, 1996",10.41
"June 30, 1996",10.30
"March 31, 1996",10.30
"Dec. 31, 1995",10.20
"Sept. 30, 1995",10.16
"June 30, 1995",9.966
"March 31, 1995",9.835
"Dec. 31, 1994",9.707
"Sept. 30, 1994",9.634
"June 30, 1994",9.818
"March 31, 1994",9.768
