date,gross_profit_margin
"Dec. 31, 2019",28.53%
"Sept. 30, 2019",32.53%
"June 30, 2019",29.98%
"March 31, 2019",28.86%
"Dec. 31, 2018",25.10%
"Sept. 30, 2018",28.98%
"June 30, 2018",30.39%
"March 31, 2018",26.64%
"Dec. 31, 2017",29.88%
"Sept. 30, 2017",33.66%
"June 30, 2017",21.32%
"March 31, 2017",27.55%
"Dec. 31, 2016",30.77%
"Sept. 30, 2016",32.33%
"June 30, 2016",28.23%
"March 31, 2016",19.60%
"Dec. 31, 2015",24.24%
"Sept. 30, 2015",28.56%
"June 30, 2015",31.06%
"March 31, 2015",25.81%
"Dec. 31, 2014",15.01%
"Sept. 30, 2014",33.02%
"June 30, 2014",24.00%
"March 31, 2014",14.36%
"Dec. 31, 2013",27.63%
"Sept. 30, 2013",31.13%
"June 30, 2013",29.80%
"March 31, 2013",21.98%
"Dec. 31, 2012",24.19%
"Sept. 30, 2012",21.02%
"June 30, 2012",25.46%
"March 31, 2012",20.41%
"Dec. 31, 2011",-51.79%
"Sept. 30, 2011",59.63%
"June 30, 2011",61.83%
"March 31, 2011",59.62%
"Dec. 31, 2010",-40.03%
"Sept. 30, 2010",63.03%
"June 30, 2010",65.28%
"March 31, 2010",71.78%
"Dec. 31, 2009",69.85%
"Sept. 30, 2009",72.34%
"June 30, 2009",66.65%
"March 31, 2009",69.10%
"Dec. 31, 2008",68.64%
"Sept. 30, 2008",60.88%
"June 30, 2008",67.16%
"March 31, 2008",64.36%
"Dec. 31, 2007",57.93%
"Sept. 30, 2007",58.84%
"June 30, 2007",63.56%
"March 31, 2007",58.27%
"Dec. 31, 2006",67.20%
"Sept. 30, 2006",66.26%
"June 30, 2006",70.98%
"March 31, 2006",62.47%
"Dec. 31, 2005",57.43%
"Sept. 30, 2005",62.42%
"June 30, 2005",67.28%
"March 31, 2005",66.58%
"Dec. 31, 2004",65.34%
"Sept. 30, 2004",67.10%
"June 30, 2004",66.46%
"March 31, 2004",61.62%
"Dec. 31, 2003",58.41%
"Sept. 30, 2003",58.05%
"June 30, 2003",62.73%
"March 31, 2003",57.36%
"Dec. 31, 2002",65.88%
"Sept. 30, 2002",60.87%
"June 30, 2002",68.09%
"March 31, 2002",65.33%
"Dec. 31, 2001",71.06%
"Sept. 30, 2001",61.03%
"June 30, 2001",67.51%
"March 31, 2001",65.21%
"Dec. 31, 2000",65.18%
"Sept. 30, 2000",64.64%
"June 30, 2000",65.63%
"March 31, 2000",65.78%
"Dec. 31, 1999",68.01%
"Sept. 30, 1999",54.54%
"June 30, 1999",58.22%
"March 31, 1999",63.82%
"Dec. 31, 1998",70.47%
"Sept. 30, 1998",58.95%
"June 30, 1998",70.36%
"March 31, 1998",67.82%
"Dec. 31, 1997",70.63%
"Sept. 30, 1997",72.30%
"June 30, 1997",74.22%
"March 31, 1997",71.29%
"Dec. 31, 1996",76.75%
"Sept. 30, 1996",79.64%
"June 30, 1996",78.64%
"March 31, 1996",74.41%
"Dec. 31, 1995",81.04%
"Sept. 30, 1995",82.40%
"June 30, 1995",82.62%
"March 31, 1995",81.08%
"Dec. 31, 1994",85.25%
"Sept. 30, 1994",85.91%
"June 30, 1994",83.03%
"March 31, 1994",76.98%
