date,return_on_equity
"Dec. 31, 2019",9.29%
"Sept. 30, 2019",7.37%
"June 30, 2019",7.32%
"March 31, 2019",7.56%
"Dec. 31, 2018",6.57%
"Sept. 30, 2018",12.45%
"June 30, 2018",13.05%
"March 31, 2018",11.86%
"Dec. 31, 2017",13.70%
"Sept. 30, 2017",7.83%
"June 30, 2017",6.70%
"March 31, 2017",7.46%
"Dec. 31, 2016",4.34%
"Sept. 30, 2016",4.80%
"June 30, 2016",5.45%
"March 31, 2016",7.06%
"Dec. 31, 2015",9.40%
"Sept. 30, 2015",8.35%
"June 30, 2015",10.13%
"March 31, 2015",9.71%
"Dec. 31, 2014",7.10%
"Sept. 30, 2014",9.24%
"June 30, 2014",8.28%
"March 31, 2014",8.27%
"Dec. 31, 2013",7.92%
"Sept. 30, 2013",7.45%
"June 30, 2013",5.38%
"March 31, 2013",4.42%
"Dec. 31, 2012",5.72%
"Sept. 30, 2012",7.35%
"June 30, 2012",9.76%
"March 31, 2012",12.89%
"Dec. 31, 2011",17.73%
"Sept. 30, 2011",17.38%
"June 30, 2011",19.63%
"March 31, 2011",18.78%
"Dec. 31, 2010",19.93%
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",21.84%
"Dec. 31, 2009",22.40%
"Sept. 30, 2009",23.86%
"June 30, 2009",24.45%
"March 31, 2009",26.33%
"Dec. 31, 2008",26.06%
"Sept. 30, 2008",24.99%
"June 30, 2008",25.97%
"March 31, 2008",25.41%
"Dec. 31, 2007",26.38%
"Sept. 30, 2007",26.89%
"June 30, 2007",19.13%
"March 31, 2007",19.31%
"Dec. 31, 2006",16.67%
"Sept. 30, 2006",1.70%
"June 30, 2006",9.66%
"March 31, 2006",8.33%
"Dec. 31, 2005",9.52%
"Sept. 30, 2005",21.70%
"June 30, 2005",20.57%
"March 31, 2005",21.23%
"Dec. 31, 2004",20.59%
"Sept. 30, 2004",20.12%
"June 30, 2004",12.87%
"March 31, 2004",11.41%
"Dec. 31, 2003",11.05%
"Sept. 30, 2003",12.55%
"June 30, 2003",20.51%
"March 31, 2003",22.06%
"Dec. 31, 2002",17.68%
"Sept. 30, 2002",16.92%
"June 30, 2002",15.14%
"March 31, 2002",13.34%
"Dec. 31, 2001",18.77%
"Sept. 30, 2001",17.94%
"June 30, 2001",19.60%
"March 31, 2001",20.16%
"Dec. 31, 2000",20.77%
"Sept. 30, 2000",37.30%
"June 30, 2000",37.41%
"March 31, 2000",31.16%
"Dec. 31, 1999",26.22%
"Sept. 30, 1999",17.12%
"June 30, 1999",17.43%
"March 31, 1999",18.95%
"Dec. 31, 1998",17.17%
"Sept. 30, 1998",-41.66%
"June 30, 1998",-41.28%
"March 31, 1998",-38.26%
"Dec. 31, 1997",-34.94%
"Sept. 30, 1997",10.98%
"June 30, 1997",10.87%
"March 31, 1997",10.39%
"Dec. 31, 1996",11.25%
"Sept. 30, 1996",11.35%
"June 30, 1996",12.22%
"March 31, 1996",13.56%
"Dec. 31, 1995",13.77%
"Sept. 30, 1995",14.15%
"June 30, 1995",10.52%
"March 31, 1995",9.70%
"Dec. 31, 1994",9.89%
"Sept. 30, 1994",10.11%
