date,earning_yield
"March 19, 2020",9.29%
"March 18, 2020",9.11%
"March 17, 2020",8.36%
"March 16, 2020",9.87%
"March 13, 2020",8.28%
"March 12, 2020",8.53%
"March 11, 2020",7.56%
"March 10, 2020",6.98%
"March 9, 2020",7.18%
"March 6, 2020",6.66%
"March 5, 2020",6.52%
"March 4, 2020",6.43%
"March 3, 2020",6.81%
"March 2, 2020",6.63%
"Feb. 28, 2020",6.98%
"Feb. 27, 2020",6.67%
"Feb. 26, 2020",6.40%
"Feb. 25, 2020",6.32%
"Feb. 24, 2020",6.17%
"Feb. 21, 2020",6.05%
"Feb. 20, 2020",6.04%
"Feb. 19, 2020",6.07%
"Feb. 18, 2020",5.97%
"Feb. 14, 2020",6.05%
"Feb. 13, 2020",6.07%
"Feb. 12, 2020",6.11%
"Feb. 11, 2020",6.10%
"Feb. 10, 2020",6.23%
"Feb. 7, 2020",6.25%
"Feb. 6, 2020",6.24%
"Feb. 5, 2020",6.23%
"Feb. 4, 2020",6.26%
"Feb. 3, 2020",6.24%
"Jan. 31, 2020",6.32%
"Jan. 30, 2020",6.26%
"Jan. 29, 2020",6.30%
"Jan. 28, 2020",6.31%
"Jan. 27, 2020",6.37%
"Jan. 24, 2020",6.31%
"Jan. 23, 2020",6.28%
"Jan. 22, 2020",6.32%
"Jan. 21, 2020",6.33%
"Jan. 17, 2020",6.35%
"Jan. 16, 2020",6.44%
"Jan. 15, 2020",6.47%
"Jan. 14, 2020",6.57%
"Jan. 13, 2020",6.52%
"Jan. 10, 2020",6.51%
"Jan. 9, 2020",6.52%
"Jan. 8, 2020",6.54%
"Jan. 7, 2020",6.59%
"Jan. 6, 2020",6.60%
"Jan. 3, 2020",6.61%
"Jan. 2, 2020",6.63%
"Dec. 31, 2019",6.60%
"Dec. 30, 2019",5.24%
"Dec. 27, 2019",5.24%
"Dec. 26, 2019",5.25%
"Dec. 24, 2019",5.25%
"Dec. 23, 2019",5.27%
"Dec. 20, 2019",5.24%
"Dec. 19, 2019",5.29%
"Dec. 18, 2019",5.25%
"Dec. 17, 2019",5.29%
"Dec. 16, 2019",5.32%
"Dec. 13, 2019",5.43%
"Dec. 12, 2019",5.40%
"Dec. 11, 2019",5.39%
"Dec. 10, 2019",5.32%
"Dec. 9, 2019",5.30%
"Dec. 6, 2019",5.31%
"Dec. 5, 2019",5.31%
"Dec. 4, 2019",5.34%
"Dec. 3, 2019",5.38%
"Dec. 2, 2019",5.42%
"Nov. 29, 2019",5.36%
"Nov. 27, 2019",5.38%
"Nov. 26, 2019",5.41%
"Nov. 25, 2019",5.39%
"Nov. 22, 2019",5.36%
"Nov. 21, 2019",5.36%
"Nov. 20, 2019",5.25%
"Nov. 19, 2019",5.25%
"Nov. 18, 2019",5.24%
"Nov. 15, 2019",5.29%
"Nov. 14, 2019",5.33%
"Nov. 13, 2019",5.35%
"Nov. 12, 2019",5.37%
"Nov. 11, 2019",5.41%
"Nov. 8, 2019",5.32%
"Nov. 7, 2019",5.32%
"Nov. 6, 2019",5.31%
"Nov. 5, 2019",5.31%
"Nov. 4, 2019",5.35%
"Nov. 1, 2019",5.25%
"Oct. 31, 2019",5.23%
"Oct. 30, 2019",5.10%
