date,sales_est_0y
"March 12, 2020",30.67B
"Feb. 18, 2020",30.69B
"Feb. 14, 2020",30.75B
"Feb. 13, 2020",31.41B
"Feb. 12, 2020",32.21B
"Feb. 11, 2020",30.62B
"Feb. 6, 2020",30.61B
"Feb. 4, 2020",30.73B
"Jan. 22, 2020",30.71B
"Jan. 21, 2020",30.72B
"Jan. 17, 2020",31.27B
"Jan. 15, 2020",31.31B
"Jan. 14, 2020",31.32B
"Jan. 7, 2020",31.37B
"Dec. 31, 2019",33.27B
"Dec. 16, 2019",32.39B
"Nov. 17, 2019",32.40B
"Nov. 8, 2019",32.57B
"Nov. 5, 2019",32.57B
"Nov. 1, 2019",32.53B
"Oct. 31, 2019",26.42B
"Oct. 24, 2019",32.34B
"Oct. 21, 2019",32.34B
"Oct. 18, 2019",32.34B
"Oct. 17, 2019",32.34B
"Oct. 16, 2019",32.35B
"Sept. 24, 2019",32.58B
"Sept. 18, 2019",32.35B
"Sept. 13, 2019",32.35B
"Sept. 9, 2019",32.34B
"Aug. 27, 2019",32.34B
"Aug. 26, 2019",32.34B
"Aug. 16, 2019",32.34B
"Aug. 13, 2019",32.15B
"Aug. 9, 2019",31.80B
"Aug. 5, 2019",31.75B
"Aug. 2, 2019",31.69B
"Aug. 1, 2019",32.85B
"July 22, 2019",31.95B
"July 19, 2019",32.11B
"July 18, 2019",32.07B
"July 16, 2019",32.07B
"June 14, 2019",31.90B
"June 12, 2019",31.91B
"June 11, 2019",31.94B
"June 10, 2019",31.94B
"June 4, 2019",31.94B
"May 18, 2019",31.60B
"May 16, 2019",31.78B
"May 6, 2019",31.79B
"May 3, 2019",31.49B
"April 24, 2019",31.50B
"April 22, 2019",31.50B
"April 18, 2019",31.50B
"April 17, 2019",32.17B
"April 12, 2019",31.58B
"April 9, 2019",30.06B
"April 2, 2019",30.06B
"March 20, 2019",31.26B
"Feb. 20, 2019",31.95B
"Feb. 13, 2019",31.95B
"Feb. 12, 2019",33.44B
"Feb. 11, 2019",34.04B
"Feb. 8, 2019",33.18B
"Feb. 4, 2019",33.25B
"Jan. 29, 2019",33.25B
"Jan. 18, 2019",33.23B
"Jan. 14, 2019",33.17B
"Jan. 11, 2019",33.17B
"Jan. 7, 2019",32.63B
"Jan. 4, 2019",33.17B
"Dec. 31, 2018",33.56B
"Dec. 14, 2018",33.16B
"Dec. 11, 2018",33.15B
"Nov. 30, 2018",33.05B
"Nov. 9, 2018",32.98B
"Nov. 6, 2018",32.97B
"Nov. 2, 2018",32.95B
"Oct. 11, 2018",32.59B
"Oct. 9, 2018",32.89B
"Oct. 1, 2018",33.24B
"Sept. 24, 2018",33.26B
"Aug. 20, 2018",33.26B
"Aug. 17, 2018",33.32B
"Aug. 16, 2018",32.98B
"Aug. 9, 2018",32.85B
"Aug. 7, 2018",32.79B
"Aug. 6, 2018",32.78B
"Aug. 3, 2018",32.77B
"July 24, 2018",30.93B
"July 23, 2018",31.53B
"July 19, 2018",31.59B
"July 18, 2018",31.83B
"July 17, 2018",32.17B
"July 13, 2018",31.92B
"July 11, 2018",31.50B
"July 9, 2018",32.23B
"July 2, 2018",32.61B
"June 30, 2018",32.72B
"June 22, 2018",32.83B
"June 19, 2018",32.76B
"May 26, 2018",33.01B
"May 25, 2018",32.93B
"May 9, 2018",32.99B
"May 4, 2018",32.89B
"May 3, 2018",32.89B
"April 27, 2018",34.65B
"April 19, 2018",34.69B
"April 18, 2018",34.30B
"April 14, 2018",34.09B
"April 13, 2018",34.02B
"April 10, 2018",34.02B
"April 2, 2018",34.03B
"Feb. 21, 2018",34.01B
"Feb. 15, 2018",34.00B
"Feb. 9, 2018",33.99B
"Feb. 8, 2018",33.72B
"Feb. 7, 2018",33.16B
"Feb. 2, 2018",34.14B
"Jan. 23, 2018",34.28B
"Jan. 22, 2018",34.31B
"Jan. 18, 2018",33.79B
"Jan. 17, 2018",34.30B
"Jan. 9, 2018",33.99B
