date,max_drawdown_all
"Feb. 29, 2020",62.25%
"Jan. 31, 2020",62.25%
"Dec. 31, 2019",62.25%
"Nov. 30, 2019",62.25%
"Oct. 31, 2019",62.25%
"Sept. 30, 2019",62.25%
"Aug. 31, 2019",62.25%
"July 31, 2019",62.25%
"June 30, 2019",62.25%
"May 31, 2019",62.25%
"April 30, 2019",62.25%
"March 31, 2019",62.25%
"Feb. 28, 2019",62.25%
"Jan. 31, 2019",62.25%
"Dec. 31, 2018",62.25%
"Nov. 30, 2018",62.25%
"Oct. 31, 2018",62.25%
"Sept. 30, 2018",62.25%
"Aug. 31, 2018",62.25%
"July 31, 2018",62.25%
"June 30, 2018",62.25%
"May 31, 2018",62.25%
"April 30, 2018",62.25%
"March 31, 2018",62.25%
"Feb. 28, 2018",62.25%
"Jan. 31, 2018",62.25%
"Dec. 31, 2017",62.25%
"Nov. 30, 2017",62.25%
"Oct. 31, 2017",62.25%
"Sept. 30, 2017",62.25%
"Aug. 31, 2017",62.25%
"July 31, 2017",62.25%
"June 30, 2017",62.25%
"May 31, 2017",62.25%
"April 30, 2017",62.25%
"March 31, 2017",62.25%
"Feb. 28, 2017",62.25%
"Jan. 31, 2017",62.25%
"Dec. 31, 2016",62.25%
"Nov. 30, 2016",62.25%
"Oct. 31, 2016",62.25%
"Sept. 30, 2016",62.25%
"Aug. 31, 2016",62.25%
"July 31, 2016",62.25%
"June 30, 2016",62.25%
"May 31, 2016",62.25%
"April 30, 2016",62.25%
"March 31, 2016",62.25%
"Feb. 29, 2016",62.25%
"Jan. 31, 2016",62.25%
"Dec. 31, 2015",62.25%
"Nov. 30, 2015",62.25%
"Oct. 31, 2015",62.25%
"Sept. 30, 2015",62.25%
"Aug. 31, 2015",62.25%
"July 31, 2015",62.25%
"June 30, 2015",62.25%
"May 31, 2015",62.25%
"April 30, 2015",62.25%
"March 31, 2015",62.25%
"Feb. 28, 2015",62.25%
"Jan. 31, 2015",62.25%
"Dec. 31, 2014",62.25%
"Nov. 30, 2014",62.25%
"Oct. 31, 2014",62.25%
"Sept. 30, 2014",62.25%
"Aug. 31, 2014",62.25%
"July 31, 2014",62.25%
"June 30, 2014",62.25%
"May 31, 2014",62.25%
"April 30, 2014",62.25%
"March 31, 2014",62.25%
"Feb. 28, 2014",62.25%
"Jan. 31, 2014",62.25%
"Dec. 31, 2013",61.85%
"Nov. 30, 2013",61.83%
"Oct. 31, 2013",61.34%
"Sept. 30, 2013",61.34%
"Aug. 31, 2013",61.34%
"July 31, 2013",61.34%
"June 30, 2013",61.34%
"May 31, 2013",61.34%
"April 30, 2013",61.34%
"March 31, 2013",61.34%
"Feb. 28, 2013",61.34%
"Jan. 31, 2013",61.34%
"Dec. 31, 2012",61.34%
"Nov. 30, 2012",61.34%
"Oct. 31, 2012",60.21%
"Sept. 30, 2012",60.21%
"Aug. 31, 2012",60.21%
"July 31, 2012",60.21%
"June 30, 2012",60.21%
"May 31, 2012",60.21%
"April 30, 2012",60.21%
"March 31, 2012",60.21%
"Feb. 29, 2012",60.21%
"Jan. 31, 2012",60.21%
"Dec. 31, 2011",60.21%
"Nov. 30, 2011",60.21%
"Oct. 31, 2011",60.21%
"Sept. 30, 2011",60.21%
"Aug. 31, 2011",60.21%
"July 31, 2011",60.21%
"June 30, 2011",60.21%
"May 31, 2011",60.21%
"April 30, 2011",60.21%
"March 31, 2011",60.21%
"Feb. 28, 2011",60.21%
"Jan. 31, 2011",60.21%
"Dec. 31, 2010",60.21%
"Nov. 30, 2010",60.21%
"Oct. 31, 2010",60.21%
"Sept. 30, 2010",60.21%
"Aug. 31, 2010",60.21%
"July 31, 2010",60.21%
"June 30, 2010",60.21%
"May 31, 2010",60.21%
"April 30, 2010",60.21%
"March 31, 2010",60.21%
"Feb. 28, 2010",60.21%
"Jan. 31, 2010",60.21%
"Dec. 31, 2009",60.21%
"Nov. 30, 2009",60.21%
"Oct. 31, 2009",60.21%
"Sept. 30, 2009",60.21%
"Aug. 31, 2009",60.21%
"July 31, 2009",60.21%
"June 30, 2009",60.21%
"May 31, 2009",60.21%
"April 30, 2009",60.21%
"March 31, 2009",60.21%
"Feb. 28, 2009",60.21%
"Jan. 31, 2009",60.21%
"Dec. 31, 2008",60.21%
"Nov. 30, 2008",60.21%
"Oct. 31, 2008",60.21%
"Sept. 30, 2008",60.21%
"Aug. 31, 2008",60.21%
"July 31, 2008",60.21%
"June 30, 2008",60.21%
"May 31, 2008",60.21%
"April 30, 2008",60.21%
"March 31, 2008",60.21%
"Feb. 29, 2008",60.21%
"Jan. 31, 2008",60.21%
"Dec. 31, 2007",60.21%
"Nov. 30, 2007",60.21%
"Oct. 31, 2007",60.21%
"Sept. 30, 2007",60.21%
