date,cash_on_hand
"Dec. 31, 2019",587.00M
"Sept. 30, 2019",1.992B
"June 30, 2019",987.00M
"March 31, 2019",1.103B
"Dec. 31, 2018",1.349B
"Sept. 30, 2018",1.918B
"June 30, 2018",694.00M
"March 31, 2018",787.00M
"Dec. 31, 2017",1.105B
"Sept. 30, 2017",1.203B
"June 30, 2017",536.00M
"March 31, 2017",609.00M
"Dec. 31, 2016",635.00M
"Sept. 30, 2016",1.897B
"June 30, 2016",1.647B
"March 31, 2016",960.00M
"Dec. 31, 2015",6.502B
"Sept. 30, 2015",7.265B
"June 30, 2015",6.014B
"March 31, 2015",1.825B
"Dec. 31, 2014",1.878B
"Sept. 30, 2014",2.763B
"June 30, 2014",1.362B
"March 31, 2014",914.00M
"Dec. 31, 2013",1.609B
"Sept. 30, 2013",1.644B
"June 30, 2013",991.00M
"March 31, 2013",772.00M
"Dec. 31, 2012",1.486B
"Sept. 30, 2012",1.70B
"June 30, 2012",1.349B
"March 31, 2012",721.00M
"Dec. 31, 2011",1.016B
"Sept. 30, 2011",1.071B
"June 30, 2011",562.00M
"March 31, 2011",487.00M
"Dec. 31, 2010",1.612B
"March 31, 2010",2.524B
"Dec. 31, 2009",2.01B
"Sept. 30, 2009",2.374B
"June 30, 2009",1.838B
"March 31, 2009",2.149B
"Dec. 31, 2008",1.751B
"Sept. 30, 2008",182.00M
"June 30, 2008",332.00M
"March 31, 2008",162.00M
"Dec. 31, 2007",558.00M
"Sept. 30, 2007",514.00M
"June 30, 2007",233.00M
"March 31, 2007",380.00M
"Dec. 31, 2006",224.00M
"Sept. 30, 2006",279.00M
"June 30, 2006",282.00M
"March 31, 2006",174.00M
"Dec. 31, 2005",140.00M
"Sept. 30, 2005",153.00M
"June 30, 2005",545.00M
"March 31, 2005",360.00M
"Dec. 31, 2004",499.00M
"Sept. 30, 2004",584.00M
"June 30, 2004",794.00M
"March 31, 2004",499.00M
"Dec. 31, 2003",493.00M
"Sept. 30, 2003",604.00M
"June 30, 2003",464.00M
"March 31, 2003",503.00M
"Dec. 31, 2002",469.00M
"Sept. 30, 2002",461.00M
"June 30, 2002",713.00M
"March 31, 2002",696.00M
"Dec. 31, 2001",485.00M
"Sept. 30, 2001",1.377B
"June 30, 2001",1.16B
"March 31, 2001",825.00M
"Dec. 31, 2000",840.00M
"Sept. 30, 2000",169.00M
"June 30, 2000",263.00M
"March 31, 2000",110.00M
"Dec. 31, 1999",228.00M
"Sept. 30, 1999",641.80M
"June 30, 1999",899.60M
"March 31, 1999",2.703B
"Dec. 31, 1998",48.00M
"Sept. 30, 1998",43.90M
"June 30, 1998",105.30M
"March 31, 1998",55.00M
"Dec. 31, 1997",33.40M
"Sept. 30, 1997",67.70M
"June 30, 1997",42.00M
"March 31, 1997",39.70M
"Dec. 31, 1996",29.20M
"Sept. 30, 1996",60.80M
"June 30, 1996",24.60M
"March 31, 1996",71.50M
"Dec. 31, 1995",20.60M
"Sept. 30, 1995",198.60M
"June 30, 1995",130.10M
"March 31, 1995",66.40M
"Dec. 31, 1994",47.00M
"Sept. 30, 1994",46.60M
"June 30, 1994",52.10M
"March 31, 1994",52.80M
