date,sales_est_0q
"March 19, 2020",8.310B
"Feb. 14, 2020",8.310B
"Feb. 13, 2020",8.569B
"Feb. 12, 2020",9.588B
"Feb. 11, 2020",8.074B
"Feb. 4, 2020",8.017B
"Jan. 21, 2020",7.996B
"Jan. 7, 2020",8.078B
"Dec. 31, 2019",6.964B
"Nov. 5, 2019",7.920B
"Nov. 1, 2019",8.382B
"Oct. 21, 2019",7.776B
"Oct. 17, 2019",7.775B
"Sept. 30, 2019",8.699B
"Sept. 18, 2019",8.701B
"Sept. 13, 2019",8.701B
"Sept. 9, 2019",8.701B
"Aug. 26, 2019",8.666B
"Aug. 13, 2019",8.667B
"Aug. 9, 2019",8.692B
"Aug. 5, 2019",8.583B
"Aug. 2, 2019",8.564B
"July 22, 2019",8.816B
"July 18, 2019",9.029B
"June 30, 2019",7.032B
"June 18, 2019",7.071B
"June 11, 2019",7.071B
"June 6, 2019",6.631B
"May 18, 2019",6.631B
"May 10, 2019",6.777B
"May 6, 2019",6.777B
"May 3, 2019",7.198B
"April 17, 2019",7.203B
"April 12, 2019",6.830B
"April 9, 2019",6.824B
"March 31, 2019",9.235B
"March 6, 2019",7.110B
"Feb. 13, 2019",7.110B
"Feb. 12, 2019",8.20B
"Jan. 29, 2019",8.20B
"Jan. 11, 2019",8.160B
"Jan. 7, 2019",8.093B
"Jan. 4, 2019",8.156B
"Dec. 31, 2018",6.806B
"Dec. 11, 2018",6.605B
"Nov. 30, 2018",6.630B
"Nov. 2, 2018",6.510B
"Oct. 19, 2018",6.337B
"Oct. 1, 2018",6.325B
"Sept. 30, 2018",8.736B
"Sept. 24, 2018",8.799B
"Aug. 7, 2018",8.834B
"Aug. 3, 2018",8.313B
"July 19, 2018",9.462B
"July 17, 2018",10.65B
"July 13, 2018",11.43B
"July 11, 2018",8.87B
"July 2, 2018",8.865B
"June 30, 2018",7.390B
"June 22, 2018",7.551B
"May 26, 2018",7.477B
"May 16, 2018",7.182B
"May 9, 2018",8.021B
"April 19, 2018",7.868B
"April 18, 2018",8.033B
"April 14, 2018",7.916B
"April 10, 2018",7.618B
"April 2, 2018",7.623B
"March 31, 2018",9.178B
"Feb. 21, 2018",9.170B
"Feb. 15, 2018",9.139B
"Feb. 9, 2018",9.665B
"Feb. 8, 2018",10.05B
"Feb. 7, 2018",8.694B
"Feb. 2, 2018",8.482B
"Jan. 22, 2018",8.589B
