date,operating_earning_yield
"March 19, 2020",13.75%
"March 18, 2020",13.49%
"March 17, 2020",12.38%
"March 16, 2020",14.61%
"March 13, 2020",12.26%
"March 12, 2020",12.64%
"March 11, 2020",11.20%
"March 10, 2020",10.34%
"March 9, 2020",10.63%
"March 6, 2020",9.87%
"March 5, 2020",9.66%
"March 4, 2020",9.52%
"March 3, 2020",10.09%
"March 2, 2020",9.81%
"Feb. 28, 2020",10.34%
"Feb. 27, 2020",9.87%
"Feb. 26, 2020",9.47%
"Feb. 25, 2020",9.36%
"Feb. 24, 2020",9.13%
"Feb. 21, 2020",8.96%
"Feb. 20, 2020",8.94%
"Feb. 19, 2020",8.99%
"Feb. 18, 2020",8.85%
"Feb. 14, 2020",8.96%
"Feb. 13, 2020",8.99%
"Feb. 12, 2020",9.05%
"Feb. 11, 2020",9.03%
"Feb. 10, 2020",9.23%
"Feb. 7, 2020",9.25%
"Feb. 6, 2020",9.23%
"Feb. 5, 2020",9.22%
"Feb. 4, 2020",9.27%
"Feb. 3, 2020",9.25%
"Jan. 31, 2020",9.36%
"Jan. 30, 2020",9.27%
"Jan. 29, 2020",9.32%
"Jan. 28, 2020",9.34%
"Jan. 27, 2020",9.43%
"Jan. 24, 2020",9.34%
"Jan. 23, 2020",9.29%
"Jan. 22, 2020",9.35%
"Jan. 21, 2020",9.37%
"Jan. 17, 2020",9.40%
"Jan. 16, 2020",9.54%
"Jan. 15, 2020",9.57%
"Jan. 14, 2020",9.73%
"Jan. 13, 2020",9.65%
"Jan. 10, 2020",9.63%
"Jan. 9, 2020",9.66%
"Jan. 8, 2020",9.69%
"Jan. 7, 2020",9.76%
"Jan. 6, 2020",9.77%
"Jan. 3, 2020",9.78%
"Jan. 2, 2020",9.81%
"Dec. 31, 2019",9.78%
"Dec. 30, 2019",9.28%
"Dec. 27, 2019",9.27%
"Dec. 26, 2019",9.29%
"Dec. 24, 2019",9.29%
"Dec. 23, 2019",9.32%
"Dec. 20, 2019",9.26%
"Dec. 19, 2019",9.36%
"Dec. 18, 2019",9.28%
"Dec. 17, 2019",9.36%
"Dec. 16, 2019",9.42%
"Dec. 13, 2019",9.61%
"Dec. 12, 2019",9.55%
"Dec. 11, 2019",9.53%
"Dec. 10, 2019",9.42%
