date,return_on_invested_capital
"Dec. 31, 2019",4.12%
"Sept. 30, 2019",3.27%
"June 30, 2019",3.24%
"March 31, 2019",3.34%
"Dec. 31, 2018",2.91%
"Sept. 30, 2018",5.46%
"June 30, 2018",5.66%
"March 31, 2018",5.05%
"Dec. 31, 2017",5.75%
"Sept. 30, 2017",3.23%
"June 30, 2017",2.75%
"March 31, 2017",3.04%
"Dec. 31, 2016",1.83%
"Sept. 30, 2016",2.09%
"June 30, 2016",2.42%
"March 31, 2016",3.25%
"Dec. 31, 2015",4.49%
"Sept. 30, 2015",4.01%
"June 30, 2015",4.91%
"March 31, 2015",4.84%
"Dec. 31, 2014",3.60%
"Sept. 30, 2014",4.73%
"June 30, 2014",4.27%
"March 31, 2014",4.28%
"Dec. 31, 2013",4.10%
"Sept. 30, 2013",3.84%
"June 30, 2013",2.79%
"March 31, 2013",2.31%
"Dec. 31, 2012",3.00%
"Sept. 30, 2012",3.84%
"June 30, 2012",5.07%
"March 31, 2012",6.64%
"Dec. 31, 2011",9.03%
"Sept. 30, 2011",8.75%
"June 30, 2011",9.78%
"March 31, 2011",9.29%
"Dec. 31, 2010",9.86%
"Sept. 30, 2010",10.06%
"June 30, 2010",9.82%
"March 31, 2010",10.60%
"Dec. 31, 2009",10.64%
"Sept. 30, 2009",11.19%
"June 30, 2009",11.13%
"March 31, 2009",11.54%
"Dec. 31, 2008",11.23%
"Sept. 30, 2008",10.65%
"June 30, 2008",11.00%
"March 31, 2008",10.92%
"Dec. 31, 2007",11.52%
"Sept. 30, 2007",11.72%
"June 30, 2007",8.28%
"March 31, 2007",8.10%
"Dec. 31, 2006",6.87%
"Sept. 30, 2006",0.70%
"June 30, 2006",3.96%
"March 31, 2006",3.40%
"Dec. 31, 2005",3.92%
"Sept. 30, 2005",8.96%
"June 30, 2005",8.28%
"March 31, 2005",8.32%
"Dec. 31, 2004",7.85%
"Sept. 30, 2004",7.43%
"June 30, 2004",4.60%
"March 31, 2004",3.98%
"Dec. 31, 2003",3.77%
"Sept. 30, 2003",4.34%
"June 30, 2003",7.14%
"March 31, 2003",7.72%
"Dec. 31, 2002",6.26%
"Sept. 30, 2002",6.05%
"June 30, 2002",5.28%
"March 31, 2002",4.56%
"Dec. 31, 2001",6.29%
"Sept. 30, 2001",5.71%
"June 30, 2001",5.80%
"March 31, 2001",5.57%
"Dec. 31, 2000",5.17%
"Sept. 30, 2000",7.65%
"June 30, 2000",7.67%
"March 31, 2000",6.89%
"Dec. 31, 1999",6.64%
"Sept. 30, 1999",4.90%
"June 30, 1999",5.48%
"March 31, 1999",6.57%
"Dec. 31, 1998",6.42%
"Sept. 30, 1998",-16.38%
"June 30, 1998",-16.88%
"March 31, 1998",-16.51%
"Dec. 31, 1997",-15.86%
"Sept. 30, 1997",5.21%
"June 30, 1997",5.12%
"March 31, 1997",4.88%
"Dec. 31, 1996",5.27%
"Sept. 30, 1996",5.26%
"June 30, 1996",5.60%
"March 31, 1996",6.13%
"Dec. 31, 1995",6.14%
"Sept. 30, 1995",6.21%
"June 30, 1995",4.56%
"March 31, 1995",4.16%
"Dec. 31, 1994",4.23%
"Sept. 30, 1994",4.31%
